 C	21.08565630 6.89845716 3.40000000
 C	17.39565629 -13.69552752 3.40000000
 C	20.55850289 8.21731651 3.40000000
 C	18.80137409 -3.95642892 3.40000000
 C	19.15280969 -1.52161166 3.40000000
 C	17.04424529 -16.13017434 3.40000000
 C	20.90993849 10.65213377 3.40000000
 C	16.69280969 -18.56499160 3.40000000
 C	21.26137409 13.08695103 3.40000000
 C	16.34137409 -20.99980886 3.40000000
 C	21.61278509 15.52159786 3.40000000
 C	15.98993849 -23.43462612 3.40000000
 C	21.96422069 17.95641512 3.40000000
 C	15.63852749 -25.86927295 3.40000000
 C	22.31563169 20.39106194 3.40000000
 C	15.28709189 -28.30409021 3.40000000
 C	22.66706729 22.82587920 3.40000000
 C	14.93568089 -30.73873703 3.40000000
 C	23.01850289 25.26069646 3.40000000
 C	14.58424529 -33.17355429 3.40000000
 C	23.36993849 27.69551372 3.40000000
 C	14.23280969 -35.60837155 3.40000000
 C	23.72134949 30.13016054 3.40000000
 C	13.88137409 -38.04318881 3.40000000
 C	18.44993849 -6.39124617 3.40000000
 C	19.50422069 0.91303517 3.40000000
 C	13.52996309 -40.47783563 3.40000000
 C	18.09850289 -8.82606343 3.40000000
 C	19.85565629 3.34785243 3.40000000
 C	17.74709189 -11.26071026 3.40000000
 C	20.20706729 5.78249925 3.40000000
 C	15.98991390 -13.49262608 3.40000000
 C	19.15276050 8.42021795 3.40000000
 C	17.39563170 -3.75352748 3.40000000
 C	17.74705910 -1.31876703 3.40000000
 C	15.63849470 -15.92732972 3.40000000
 C	19.50419610 10.85503521 3.40000000
 C	15.28706730 -18.36209017 3.40000000
 C	19.85562350 13.28979566 3.40000000
 C	14.93563170 -20.79690742 3.40000000
 C	20.20704270 15.72449929 3.40000000
 C	14.58422070 -23.23155425 3.40000000
 C	20.55847830 18.15931655 3.40000000
 C	14.23278510 -25.66637151 3.40000000
 C	20.90991390 20.59413381 3.40000000
 C	13.88134950 -28.10118877 3.40000000
 C	21.26132490 23.02878064 3.40000000
 C	13.52993030 -30.53589241 3.40000000
 C	21.61276050 25.46359790 3.40000000
 C	13.17850290 -32.97065285 3.40000000
 C	21.96418790 27.89835834 3.40000000
 C	12.82706730 -35.40547011 3.40000000
 C	22.31560710 30.33306198 3.40000000
 C	12.47565630 -37.84011694 3.40000000
 C	17.04419610 -6.18834474 3.40000000
 C	18.09847830 1.11593661 3.40000000
 C	12.12422070 -40.27493420 3.40000000
 C	16.69278510 -8.62299156 3.40000000
 C	18.44991390 3.55075387 3.40000000
 C	16.34134950 -11.05780882 3.40000000
 C	18.80134950 5.98557112 3.40000000
 C	16.86847829 -2.43466813 3.40000000
 C	15.11134949 -14.60841356 3.40000000
 C	18.62560709 9.73907730 3.40000000
 C	14.75991389 -17.04323082 3.40000000
 C	18.97704269 12.17389456 3.40000000
 C	14.40847829 -19.47804808 3.40000000
 C	19.32847829 14.60871182 3.40000000
 C	14.05704269 -21.91286533 3.40000000
 C	19.67988929 17.04335864 3.40000000
 C	13.70563169 -24.34751216 3.40000000
 C	20.03132489 19.47817590 3.40000000
 C	16.51704269 -4.86948539 3.40000000
 C	13.35419609 -26.78232942 3.40000000
 C	20.38273589 21.91282273 3.40000000
 C	17.21991389 0.00014913 3.40000000
 C	13.00278509 -29.21697624 3.40000000
 C	20.73417149 24.34763999 3.40000000
 C	12.65134949 -31.65179350 3.40000000
 C	21.08560709 26.78245725 3.40000000
 C	12.29991389 -34.08661076 3.40000000
 C	21.43704269 29.21727450 3.40000000
 C	11.94847829 -36.52142802 3.40000000
 C	21.78845369 31.65192133 3.40000000
 C	11.59706729 -38.95607485 3.40000000
 C	16.16560709 -7.30430265 3.40000000
 C	17.57132489 2.43479596 3.40000000
 C	15.81419609 -9.73894947 3.40000000
 C	17.92276049 4.86961321 3.40000000
 C	15.46276049 -12.17376673 3.40000000
 C	18.27417149 7.30426004 3.40000000
 C	15.46278099 -2.23180220 3.40000000
 C	13.70564399 -14.40560444 3.40000000
 C	17.21990979 9.94194323 3.40000000
 C	13.35421659 -16.84036488 3.40000000
 C	17.57134539 12.37676049 3.40000000
 C	13.00278099 -19.27518214 3.40000000
 C	17.92277279 14.81152094 3.40000000
 C	12.65136999 -21.70982897 3.40000000
 C	18.27419199 17.24622457 3.40000000
 C	12.29993439 -24.14464623 3.40000000
 C	18.62562759 19.68104183 3.40000000
 C	11.94849879 -26.57946349 3.40000000
 C	15.11134539 -4.66661946 3.40000000
 C	18.97706319 22.11585909 3.40000000
 C	15.81420839 0.20295825 3.40000000
 C	11.59707959 -29.01416712 3.40000000
 C	19.32847419 24.55050592 3.40000000
 C	11.24565219 -31.44892757 3.40000000
 C	19.67990979 26.98532318 3.40000000
 C	10.89421659 -33.88374483 3.40000000
 C	20.03133719 29.42008363 3.40000000
 C	10.54280559 -36.31839166 3.40000000
 C	20.38275639 31.85478726 3.40000000
 C	10.19136999 -38.75320892 3.40000000
 C	14.75993439 -7.10126628 3.40000000
 C	16.16562759 2.63766189 3.40000000
 C	14.40849879 -9.53608354 3.40000000
 C	16.51706319 5.07247915 3.40000000
 C	14.05706319 -11.97090080 3.40000000
 C	16.86849879 7.50729641 3.40000000
 C	13.17845370 -13.08665277 3.40000000
 C	16.34127570 8.82602083 3.40000000
 C	14.58414690 -3.34772460 3.40000000
 C	14.93558250 -0.91290734 3.40000000
 C	12.82701810 -15.52147003 3.40000000
 C	16.69271130 11.26083809 3.40000000
 C	12.47558250 -17.95628729 3.40000000
 C	17.04414690 13.69565535 3.40000000
 C	12.12414690 -20.39110455 3.40000000
 C	17.39558250 16.13047260 3.40000000
 C	11.77273590 -22.82575137 3.40000000
 C	17.74699350 18.56511943 3.40000000
 C	11.42130030 -25.26056863 3.40000000
 C	18.09842910 20.99993669 3.40000000
 C	11.06988930 -27.69521546 3.40000000
 C	18.44984010 23.43458351 3.40000000
 C	10.71845370 -30.13003272 3.40000000
 C	18.80127570 25.86940077 3.40000000
 C	10.36701810 -32.56484998 3.40000000
 C	19.15271130 28.30421803 3.40000000
 C	10.01558250 -34.99966724 3.40000000
 C	19.50414690 30.73903529 3.40000000
 C	9.66417150 -37.43431406 3.40000000
 C	19.85555790 33.17368212 3.40000000
 C	14.23271130 -5.78254186 3.40000000
 C	15.28701810 1.52190992 3.40000000
 C	13.88130030 -8.21718869 3.40000000
 C	15.63842910 3.95655674 3.40000000
 C	13.52986470 -10.65200594 3.40000000
 C	15.98986470 6.39137400 3.40000000
 C	11.77283839 -12.88391466 3.40000000
