 C	4.19267875 -23.77786277 3.40000000
 C	-7.92035971 -25.91371827 3.40000000
 C	16.30583026 -21.64198734 3.40000000
 C	-10.34303523 -26.34090133 3.40000000
 C	18.72839273 -21.21482421 3.40000000
 C	-12.76559770 -26.76806445 3.40000000
 C	21.15106826 -20.78764115 3.40000000
 C	-15.18821670 -27.19523755 3.40000000
 C	23.57374378 -20.36045809 3.40000000
 C	-17.61089222 -27.62242061 3.40000000
 C	25.99624972 -19.93330493 3.40000000
 C	1.77011628 -24.20502590 3.40000000
 C	-20.03339816 -28.04957377 3.40000000
 C	28.41892525 -19.50612187 3.40000000
 C	6.61535427 -23.35067971 3.40000000
 C	-22.45607369 -28.47675683 3.40000000
 C	30.84154424 -19.07894878 3.40000000
 C	-24.87874921 -28.90393989 3.40000000
 C	33.26410671 -18.65178565 3.40000000
 C	-27.30131168 -29.33110301 3.40000000
 C	-29.72393068 -29.75827611 3.40000000
 C	-32.14660620 -30.18545917 3.40000000
 C	-34.56911215 -30.61261233 3.40000000
 C	-0.65250272 -24.63219899 3.40000000
 C	9.03802980 -22.92349665 3.40000000
 C	-3.07517824 -25.05938205 3.40000000
 C	11.46053574 -22.49634349 3.40000000
 C	-5.49768418 -25.48653521 3.40000000
 C	13.88321127 -22.06916043 3.40000000
 C	-6.83233907 -25.00076056 3.40000000
 C	14.97123190 -21.15620272 3.40000000
 C	2.85819344 -23.29205822 3.40000000
 C	5.28069939 -22.86490506 3.40000000
 C	-9.25501460 -25.42794362 3.40000000
 C	17.39390743 -20.72901966 3.40000000
 C	-11.67752054 -25.85509678 3.40000000
 C	19.81641337 -20.30186650 3.40000000
 C	-14.10019606 -26.28227984 3.40000000
 C	22.23908889 -19.87468344 3.40000000
 C	-16.52287159 -26.70946290 3.40000000
 C	24.66159483 -19.44753028 3.40000000
 C	-18.94554711 -27.13664596 3.40000000
 C	27.08427036 -19.02034722 3.40000000
 C	-21.36805305 -27.56379912 3.40000000
 C	29.50694588 -18.59316416 3.40000000
 C	-23.79072858 -27.99098218 3.40000000
 C	31.92962141 -18.16598110 3.40000000
 C	-26.21323452 -28.41813534 3.40000000
 C	34.35212735 -17.73882794 3.40000000
 C	-28.63591004 -28.84531840 3.40000000
 C	-31.05858557 -29.27250146 3.40000000
 C	0.43551792 -23.71924128 3.40000000
 C	7.70337491 -22.43772200 3.40000000
 C	-33.48126109 -29.69968452 3.40000000
 C	-35.90376704 -30.12683768 3.40000000
 C	-1.98715761 -24.14642434 3.40000000
 C	10.12588085 -22.01056884 3.40000000
 C	-4.40983313 -24.57360740 3.40000000
 C	12.54855638 -21.58338578 3.40000000
 C	-7.07897333 -23.60202819 3.40000000
 C	14.72459765 -19.75747035 3.40000000
 C	2.61150266 -21.89333582 3.40000000
 C	5.03406513 -21.46617269 3.40000000
 C	-9.50164885 -24.02921125 3.40000000
 C	17.14721664 -19.33029726 3.40000000
 C	-11.92421132 -24.45637438 3.40000000
 C	19.56977911 -18.90313413 3.40000000
 C	-14.34683032 -24.88354747 3.40000000
 C	21.99245464 -18.47595107 3.40000000
 C	-16.76950584 -25.31073053 3.40000000
 C	24.41513016 -18.04876801 3.40000000
 C	-19.19201178 -25.73788369 3.40000000
 C	26.83763610 -17.62161485 3.40000000
 C	-21.61468731 -26.16506675 3.40000000
 C	29.26031163 -17.19443179 3.40000000
 C	-24.03736283 -26.59224981 3.40000000
 C	31.68293062 -16.76725870 3.40000000
 C	-26.45992530 -27.01941293 3.40000000
 C	34.10549309 -16.34009557 3.40000000
 C	-28.88254430 -27.44658603 3.40000000
 C	-31.30521982 -27.87376909 3.40000000
 C	0.18888366 -22.32050891 3.40000000
 C	7.45674066 -21.03898963 3.40000000
 C	-33.72772577 -28.30092225 3.40000000
 C	-36.15040129 -28.72810531 3.40000000
 C	-2.23379186 -22.74769197 3.40000000
 C	9.87941618 -20.61180657 3.40000000
 C	-4.65629780 -23.17484513 3.40000000
 C	12.30192212 -20.18465341 3.40000000
 C	3.69952093 -20.98052996 3.40000000
 C	-8.41368711 -23.11641536 3.40000000
 C	15.81255939 -18.84467446 3.40000000
 C	-10.83619305 -23.54356851 3.40000000
 C	18.23523491 -18.41749140 3.40000000
 C	-13.25886858 -23.97075157 3.40000000
 C	20.65774085 -17.99033824 3.40000000
 C	-15.68154410 -24.39793464 3.40000000
 C	23.08041638 -17.56315518 3.40000000
 C	25.50292232 -17.13600202 3.40000000
 C	-18.10421963 -24.82511770 3.40000000
 C	1.27684540 -21.40771302 3.40000000
 C	6.12202687 -20.55337680 3.40000000
 C	-20.52672557 -25.25227085 3.40000000
 C	27.92559784 -16.70881896 3.40000000
 C	-22.94940109 -25.67945391 3.40000000
 C	30.34827337 -16.28163590 3.40000000
 C	-25.37190703 -26.10660707 3.40000000
 C	32.77094889 -15.85445284 3.40000000
 C	-27.79458256 -26.53379013 3.40000000
 C	35.19345483 -15.42729968 3.40000000
 C	-30.21725808 -26.96097319 3.40000000
 C	-32.63993361 -27.38815625 3.40000000
 C	-35.06243955 -27.81530941 3.40000000
 C	-1.14583012 -21.83489608 3.40000000
 C	8.54470239 -20.12619374 3.40000000
 C	10.96720834 -19.69904058 3.40000000
 C	-3.56850565 -22.26207914 3.40000000
 C	-5.99101159 -22.68923230 3.40000000
 C	13.38988386 -19.27185752 3.40000000
 C	3.45283015 -19.58180755 3.40000000
 C	-8.66032137 -21.71768299 3.40000000
 C	15.56592513 -17.44594209 3.40000000
 C	-11.08288384 -22.14484611 3.40000000
 C	17.98854413 -17.01876900 3.40000000
 C	-13.50550283 -22.57201921 3.40000000
 C	20.41110660 -16.59160587 3.40000000
 C	-15.92817836 -22.99920227 3.40000000
 C	22.83378212 -16.16442281 3.40000000
 C	-18.35068430 -23.42635543 3.40000000
 C	25.25645765 -15.73723975 3.40000000
