 C	7.46111478 -22.96295014 3.40000000
 C	-4.23678678 -26.76382876 3.40000000
 C	19.15912553 -19.16203604 3.40000000
 C	-6.57643260 -27.52402577 3.40000000
 C	21.49866217 -18.40187451 3.40000000
 C	-8.91596924 -28.28418731 3.40000000
 C	23.83830799 -17.64167750 3.40000000
 C	-11.25556048 -29.04436658 3.40000000
 C	26.17795382 -16.88148049 3.40000000
 C	-13.59520630 -29.80456359 3.40000000
 C	28.51743587 -16.12133669 3.40000000
 C	5.12157814 -23.72311168 3.40000000
 C	-15.93468835 -30.56470739 3.40000000
 C	30.85708169 -15.36113968 3.40000000
 C	9.80076061 -22.20275313 3.40000000
 C	-18.27433417 -31.32490440 3.40000000
 C	33.19667292 -14.60096041 3.40000000
 C	-20.61397999 -32.08510141 3.40000000
 C	35.53620956 -13.84079887 3.40000000
 C	-22.95351663 -32.84526294 3.40000000
 C	-25.29310786 -33.60544221 3.40000000
 C	-27.63275369 -34.36563922 3.40000000
 C	-29.97223574 -35.12578302 3.40000000
 C	2.78198691 -24.48329095 3.40000000
 C	12.14040643 -21.44255612 3.40000000
 C	0.44234109 -25.24348796 3.40000000
 C	14.47988848 -20.68241232 3.40000000
 C	-1.89714096 -26.00363175 3.40000000
 C	16.81953430 -19.92221531 3.40000000
 C	-3.28641384 -25.70833269 3.40000000
 C	17.76990724 -18.86671924 3.40000000
 C	6.07200567 -22.66759786 3.40000000
 C	8.41148772 -21.90745407 3.40000000
 C	-5.62605967 -26.46852970 3.40000000
 C	20.10955306 -18.10652223 3.40000000
 C	-7.96554172 -27.22867350 3.40000000
 C	22.44903511 -17.34637843 3.40000000
 C	-10.30518754 -27.98887051 3.40000000
 C	24.78868093 -16.58618142 3.40000000
 C	-12.64483336 -28.74906752 3.40000000
 C	27.12816298 -15.82603763 3.40000000
 C	-14.98447918 -29.50926453 3.40000000
 C	29.46780881 -15.06584062 3.40000000
 C	-17.32396123 -30.26940832 3.40000000
 C	31.80745463 -14.30564361 3.40000000
 C	-19.66360705 -31.02960533 3.40000000
 C	34.14710045 -13.54544660 3.40000000
 C	-22.00308910 -31.78974913 3.40000000
 C	36.48658250 -12.78530280 3.40000000
 C	-24.34273493 -32.54994614 3.40000000
 C	-26.68238075 -33.31014315 3.40000000
 C	3.73235985 -23.42779487 3.40000000
 C	10.75113354 -21.14725706 3.40000000
 C	-29.02202657 -34.07034016 3.40000000
 C	-31.36150862 -34.83048396 3.40000000
 C	1.39271403 -24.18799188 3.40000000
 C	13.09061559 -20.38711326 3.40000000
 C	-0.94693179 -24.94818889 3.40000000
 C	15.43026142 -19.62691625 3.40000000
 C	-3.72531379 -24.35753754 3.40000000
 C	17.33100729 -17.51592409 3.40000000
 C	5.63305113 -21.31682045 3.40000000
 C	7.97258777 -20.55665892 3.40000000
 C	-6.06495962 -25.11773455 3.40000000
 C	19.67059852 -16.75574482 3.40000000
 C	-8.40449626 -25.87789609 3.40000000
 C	22.01013516 -15.99558329 3.40000000
 C	-10.74408749 -26.63807536 3.40000000
 C	24.34978098 -15.23538628 3.40000000
 C	-13.08373331 -27.39827237 3.40000000
 C	26.68942681 -14.47518927 3.40000000
 C	-15.42321536 -28.15841617 3.40000000
 C	29.02890886 -13.71504547 3.40000000
 C	-17.76286118 -28.91861318 3.40000000
 C	31.36855468 -12.95484846 3.40000000
 C	-20.10250700 -29.67881019 3.40000000
 C	33.70814591 -12.19466919 3.40000000
 C	-22.44204364 -30.43897172 3.40000000
 C	36.04768255 -11.43450765 3.40000000
 C	-24.78163488 -31.19915099 3.40000000
 C	-27.12128070 -31.95934800 3.40000000
 C	3.29345990 -22.07699973 3.40000000
 C	10.31223360 -19.79646191 3.40000000
 C	-29.46076275 -32.71949180 3.40000000
 C	-31.80040857 -33.47968881 3.40000000
 C	0.95381408 -22.83719674 3.40000000
 C	12.65187942 -19.03626490 3.40000000
 C	-1.38566797 -23.59734053 3.40000000
 C	14.99136147 -18.27612110 3.40000000
 C	6.58344286 -20.26147508 3.40000000
 C	-5.11462248 -24.06240692 3.40000000
 C	18.28134443 -16.46059646 3.40000000
 C	-7.45410453 -24.82255071 3.40000000
 C	20.62099025 -15.70039945 3.40000000
 C	-9.79375035 -25.58274772 3.40000000
 C	22.96047230 -14.94025565 3.40000000
 C	-12.13339617 -26.34294473 3.40000000
 C	25.30011812 -14.18005864 3.40000000
 C	27.63960017 -13.41991484 3.40000000
 C	-14.47304200 -27.10314174 3.40000000
 C	4.24379704 -21.02167209 3.40000000
 C	8.92292491 -19.50133128 3.40000000
 C	-16.81252405 -27.86328554 3.40000000
 C	29.97924599 -12.65971783 3.40000000
 C	-19.15216987 -28.62348255 3.40000000
 C	32.31889181 -11.89952082 3.40000000
 C	-21.49165192 -29.38362635 3.40000000
 C	34.65853764 -11.13932381 3.40000000
 C	-23.83129774 -30.14382336 3.40000000
 C	36.99801969 -10.37918002 3.40000000
 C	-26.17094356 -30.90402037 3.40000000
 C	-28.51058938 -31.66421738 3.40000000
 C	-30.85007143 -32.42436117 3.40000000
 C	1.90415122 -21.78186910 3.40000000
 C	11.26257073 -18.74113427 3.40000000
 C	13.60205278 -17.98099048 3.40000000
 C	-0.43549461 -22.54206611 3.40000000
 C	-2.77497666 -23.30220991 3.40000000
 C	15.94169860 -17.22079347 3.40000000
 C	6.14448832 -18.91069767 3.40000000
 C	-5.55352243 -22.71161177 3.40000000
 C	17.84244448 -15.10980131 3.40000000
 C	-7.89305907 -23.47177330 3.40000000
 C	20.18203571 -14.34962204 3.40000000
 C	-10.23265030 -24.23195258 3.40000000
 C	22.52157235 -13.58946050 3.40000000
 C	-12.57229612 -24.99214959 3.40000000
 C	24.86121817 -12.82926349 3.40000000
 C	-14.91177817 -25.75229338 3.40000000
 C	27.20086399 -12.06906648 3.40000000
 C	3.80489709 -19.67087694 3.40000000
 C	8.48402496 -18.15053614 3.40000000
 C	-17.25142399 -26.51249039 3.40000000
 C	29.54034604 -11.30892269 3.40000000
 C	-19.59106982 -27.27268740 3.40000000
 C	31.87999187 -10.54872568 3.40000000
 C	-21.93060646 -28.03284894 3.40000000
 C	34.21958310 -9.78854640 3.40000000
 C	-24.27019769 -28.79302821 3.40000000
 C	36.55911974 -9.02838487 3.40000000
 C	-26.60984351 -29.55322522 3.40000000
 C	-28.94932556 -30.31336902 3.40000000
 C	-31.28897138 -31.07356603 3.40000000
 C	1.46525127 -20.43107395 3.40000000
 C	10.82367078 -17.39033913 3.40000000
 C	-0.87423078 -21.19121775 3.40000000
 C	13.16331660 -16.63014212 3.40000000
 C	-3.21387661 -21.95141476 3.40000000
 C	15.50279865 -15.86999832 3.40000000
 C	-4.60314949 -21.65611569 3.40000000
 C	16.45317159 -14.81450224 3.40000000
 C	4.75527002 -18.61538086 3.40000000
 C	7.09491585 -17.85518385 3.40000000
 C	-6.94263154 -22.41625948 3.40000000
 C	18.79281741 -14.05430523 3.40000000
 C	-9.28227737 -23.17645649 3.40000000
 C	21.13246323 -13.29410822 3.40000000
 C	-11.62192319 -23.93665350 3.40000000
 C	23.47194528 -12.53396442 3.40000000
 C	-13.96156901 -24.69685051 3.40000000
 C	25.81159111 -11.77376741 3.40000000
 C	-16.30105106 -25.45699431 3.40000000
 C	28.15107316 -11.01362361 3.40000000
 C	-18.64069688 -26.21719132 3.40000000
 C	30.49071898 -10.25342660 3.40000000
 C	-20.98017893 -26.97733512 3.40000000
 C	32.83036480 -9.49322959 3.40000000
 C	-23.31982475 -27.73753213 3.40000000
 C	35.17001062 -8.73303258 3.40000000
 C	-25.65947058 -28.49772914 3.40000000
 C	37.50949267 -7.97288879 3.40000000
 C	-27.99911640 -29.25792615 3.40000000
 C	2.41562420 -19.37557787 3.40000000
 C	9.43439790 -17.09504005 3.40000000
 C	-30.33859845 -30.01806994 3.40000000
 C	0.07597838 -20.13577488 3.40000000
 C	11.77404372 -16.33484304 3.40000000
 C	-2.26350367 -20.89591868 3.40000000
 C	14.11352577 -15.57469925 3.40000000
 C	-5.04204944 -20.30532055 3.40000000
 C	16.01427164 -13.46370710 3.40000000
 C	4.31637008 -17.26458572 3.40000000
 C	6.65596131 -16.50440645 3.40000000
 C	-7.38158608 -21.06548208 3.40000000
 C	18.35391747 -12.70351009 3.40000000
 C	-9.72117731 -21.82566136 3.40000000
 C	20.69350870 -11.94333082 3.40000000
 C	-12.06082313 -22.58585837 3.40000000
 C	23.03304534 -11.18316928 3.40000000
 C	-14.40030518 -23.34600216 3.40000000
 C	25.37269116 -10.42297227 3.40000000
 C	-16.73995101 -24.10619917 3.40000000
 C	27.71233698 -9.66277526 3.40000000
 C	-19.07959683 -24.86639618 3.40000000
 C	30.05181903 -8.90263147 3.40000000
 C	-21.41913347 -25.62655772 3.40000000
 C	32.39146485 -8.14243446 3.40000000
 C	-23.75872470 -26.38673699 3.40000000
 C	34.73105609 -7.38225518 3.40000000
 C	-26.09837052 -27.14693400 3.40000000
 C	37.07059273 -6.62209365 3.40000000
 C	-28.43785257 -27.90707780 3.40000000
 C	1.97672426 -18.02478273 3.40000000
 C	8.99549795 -15.74424492 3.40000000
 C	-30.77749839 -28.66727481 3.40000000
 C	-0.36275779 -18.78492653 3.40000000
 C	11.33514377 -14.98404791 3.40000000
 C	-2.70240362 -19.54512354 3.40000000
 C	13.67478959 -14.22385090 3.40000000
 C	5.26674301 -16.20908964 3.40000000
 C	-6.43115855 -20.00996826 3.40000000
 C	16.96464458 -12.40821102 3.40000000
 C	-8.77080438 -20.77016527 3.40000000
 C	19.30429040 -11.64801401 3.40000000
 C	-11.11045020 -21.53036228 3.40000000
 C	21.64393622 -10.88781700 3.40000000
 C	-13.45009602 -22.29055929 3.40000000
 C	23.98341827 -10.12767320 3.40000000
