 C	-27.84737720 -42.88120048 3.40000000
 C	-25.65545731 -41.76436151 3.40000000
 C	-23.46369086 -40.64760072 3.40000000
 C	-26.30026459 -40.49885597 3.40000000
 C	-27.71862817 -40.42452269 3.40000000
 C	-21.27177097 -39.53076176 3.40000000
 C	-24.10834470 -39.38201701 3.40000000
 C	-25.52670828 -39.30768373 3.40000000
 C	-19.07985108 -38.41392279 3.40000000
 C	-21.91657825 -38.26525622 3.40000000
 C	-23.33494183 -38.19092294 3.40000000
 C	-26.17151556 -38.04217819 3.40000000
 C	-27.58988815 -37.96801687 3.40000000
 C	-16.88793119 -37.29708383 3.40000000
 C	-19.72465836 -37.14841725 3.40000000
 C	-21.14302194 -37.07408397 3.40000000
 C	-23.97959568 -36.92533922 3.40000000
 C	-25.39796827 -36.85117790 3.40000000
 C	-14.69616474 -36.18032304 3.40000000
 C	-17.53278962 -36.03160435 3.40000000
 C	-18.95110205 -35.95724501 3.40000000
 C	-21.78782922 -35.80857843 3.40000000
 C	-23.20620181 -35.73441712 3.40000000
 C	-26.04277555 -35.58567236 3.40000000
 C	-27.46113913 -35.51133907 3.40000000
 C	-12.50424485 -35.06348407 3.40000000
 C	-15.34097202 -34.91481750 3.40000000
 C	-16.75918217 -34.84040604 3.40000000
 C	-19.59590933 -34.69173947 3.40000000
 C	-21.01428192 -34.61757815 3.40000000
 C	-23.85085566 -34.46883340 3.40000000
 C	-25.26921924 -34.39450011 3.40000000
 C	-10.31247840 -33.94672328 3.40000000
 C	-13.14905213 -33.79797853 3.40000000
 C	-14.56741571 -33.72364525 3.40000000
 C	-17.40404059 -33.57492656 3.40000000
 C	-18.82236204 -33.50073918 3.40000000
 C	-21.65908920 -33.35207261 3.40000000
 C	-23.07745279 -33.27773932 3.40000000
 C	-25.91402652 -33.12899458 3.40000000
 C	-27.33239010 -33.05466129 3.40000000
 C	-8.12055851 -32.82988432 3.40000000
 C	-10.95713224 -32.68113957 3.40000000
 C	-12.37549582 -32.60680629 3.40000000
 C	-15.21222299 -32.45813971 3.40000000
 C	-16.63044215 -32.38390022 3.40000000
 C	-19.46716932 -32.23523364 3.40000000
 C	-20.88553290 -32.16090035 3.40000000
 C	-23.72210663 -32.01215561 3.40000000
 C	-25.14047022 -31.93782232 3.40000000
 C	-5.92863862 -31.71304535 3.40000000
 C	-8.76536579 -31.56437878 3.40000000
 C	-10.18372937 -31.49004550 3.40000000
 C	-13.02030310 -31.34130075 3.40000000
 C	-14.43867570 -31.26713943 3.40000000
 C	-17.27530057 -31.11842074 3.40000000
 C	-18.69361301 -31.04406139 3.40000000
 C	-21.53034018 -30.89539482 3.40000000
 C	-22.94870376 -30.82106153 3.40000000
 C	-25.78528050 -30.67237410 3.40000000
 C	-27.20364107 -30.59798350 3.40000000
 C	-3.73671874 -30.59620639 3.40000000
 C	-6.57344590 -30.44753981 3.40000000
 C	-7.99180948 -30.37320653 3.40000000
 C	-10.82838322 -30.22446178 3.40000000
 C	-12.24675581 -30.15030046 3.40000000
 C	-15.08348297 -30.00163389 3.40000000
 C	-16.50169313 -29.92722242 3.40000000
 C	-19.33842029 -29.77855586 3.40000000
 C	-20.75678387 -29.70422257 3.40000000
 C	-23.59336061 -29.55553514 3.40000000
 C	-25.01172119 -29.48114454 3.40000000
 C	-1.54495228 -29.47944560 3.40000000
 C	-4.38157716 -29.33072691 3.40000000
 C	-5.79988959 -29.25636757 3.40000000
 C	-8.63661676 -29.10770099 3.40000000
