 C	8.65267754 -22.54099564 3.40000000
 C	-2.83026984 -26.94888615 3.40000000
 C	20.13573210 -18.13306398 3.40000000
 C	-5.12692362 -27.83048894 3.40000000
 C	22.43227870 -17.25150234 3.40000000
 C	-7.42347023 -28.71205059 3.40000000
 C	24.72893248 -16.36989955 3.40000000
 C	-9.72007042 -29.59363281 3.40000000
 C	27.02558627 -15.48829676 3.40000000
 C	-12.01672420 -30.47523559 3.40000000
 C	29.32207928 -14.60675568 3.40000000
 C	6.35613093 -23.42255729 3.40000000
 C	-14.31321722 -31.35677667 3.40000000
 C	31.61873307 -13.72515290 3.40000000
 C	10.94933132 -21.65939285 3.40000000
 C	-16.60987100 -32.23837946 3.40000000
 C	33.91533326 -12.84357068 3.40000000
 C	-18.90652479 -33.11998225 3.40000000
 C	36.21187987 -11.96200903 3.40000000
 C	-21.20307139 -34.00154389 3.40000000
 C	-23.49967159 -34.88312611 3.40000000
 C	-25.79632537 -35.76472890 3.40000000
 C	-28.09281839 -36.64626997 3.40000000
 C	4.05953074 -24.30413950 3.40000000
 C	13.24598510 -20.77779006 3.40000000
 C	1.76287696 -25.18574229 3.40000000
 C	15.54247812 -19.89624899 3.40000000
 C	-0.53361606 -26.06728337 3.40000000
 C	17.83913190 -19.01464620 3.40000000
 C	-1.93643975 -25.84509793 3.40000000
 C	18.73296199 -17.91085797 3.40000000
 C	7.25001461 -22.31874849 3.40000000
 C	9.54650763 -21.43720741 3.40000000
 C	-4.23309353 -26.72670071 3.40000000
 C	21.02961577 -17.02925518 3.40000000
 C	-6.52958655 -27.60824179 3.40000000
 C	23.32610879 -16.14771411 3.40000000
 C	-8.82624033 -28.48984458 3.40000000
 C	25.62276257 -15.26611132 3.40000000
 C	-11.12289412 -29.37144736 3.40000000
 C	27.91925559 -14.38457024 3.40000000
 C	-13.41954790 -30.25305015 3.40000000
 C	30.21590937 -13.50296745 3.40000000
 C	-15.71604092 -31.13459123 3.40000000
 C	32.51256315 -12.62136467 3.40000000
 C	-18.01269470 -32.01619402 3.40000000
 C	34.80921694 -11.73976188 3.40000000
 C	-20.30918772 -32.89773509 3.40000000
 C	37.10570995 -10.85822080 3.40000000
 C	-22.60584150 -33.77933788 3.40000000
 C	-24.90249528 -34.66094067 3.40000000
 C	4.95336083 -23.20035127 3.40000000
 C	11.84316141 -20.55560462 3.40000000
 C	-27.19914906 -35.54254346 3.40000000
 C	-29.49564208 -36.42408453 3.40000000
 C	2.65670705 -24.08195406 3.40000000
 C	14.13965443 -19.67406354 3.40000000
 C	0.36005327 -24.96355685 3.40000000
 C	16.43630821 -18.79246076 3.40000000
 C	-2.44543336 -24.51912424 3.40000000
 C	18.22396838 -16.58488429 3.40000000
 C	6.74096741 -20.99279538 3.40000000
 C	9.03751402 -20.11123373 3.40000000
 C	-4.74208714 -25.40072703 3.40000000
 C	20.52056858 -15.70330207 3.40000000
 C	-7.03863375 -26.28228868 3.40000000
 C	22.81711518 -14.82174042 3.40000000
 C	-9.33523394 -27.16387090 3.40000000
 C	25.11376897 -13.94013764 3.40000000
 C	-11.63188772 -28.04547368 3.40000000
 C	27.41042275 -13.05853485 3.40000000
 C	-13.92838074 -28.92701476 3.40000000
 C	29.70691577 -12.17699377 3.40000000
 C	-16.22503452 -29.80861755 3.40000000
 C	32.00356955 -11.29539099 3.40000000
 C	-18.52168831 -30.69022034 3.40000000
 C	34.30016974 -10.41380877 3.40000000
 C	-20.81823491 -31.57178198 3.40000000
 C	36.59671635 -9.53224712 3.40000000
 C	-23.11483511 -32.45336420 3.40000000
 C	-25.41148889 -33.33496699 3.40000000
 C	4.44436722 -21.87437759 3.40000000
 C	11.33416780 -19.22963094 3.40000000
 C	-27.70798191 -34.21650806 3.40000000
 C	-30.00463569 -35.09811085 3.40000000
 C	2.14771344 -22.75598038 3.40000000
 C	13.63082158 -18.34802815 3.40000000
 C	-0.14877958 -23.63752146 3.40000000
 C	15.92731460 -17.46648708 3.40000000
 C	7.63482415 -19.88915666 3.40000000
 C	-3.84828399 -24.29710888 3.40000000
 C	19.11777153 -15.48126614 3.40000000
 C	-6.14477701 -25.17864996 3.40000000
 C	21.41442532 -14.59966335 3.40000000
 C	-8.44143079 -26.06025275 3.40000000
 C	23.71091833 -13.71812228 3.40000000
 C	-10.73808457 -26.94185553 3.40000000
 C	26.00757212 -12.83651949 3.40000000
 C	28.30406513 -11.95497841 3.40000000
 C	-13.03473835 -27.82345832 3.40000000
 C	5.33817037 -20.77075944 3.40000000
 C	9.93131717 -19.00761558 3.40000000
 C	-15.33123137 -28.70499940 3.40000000
 C	30.60071892 -11.07337562 3.40000000
 C	-17.62788515 -29.58660219 3.40000000
 C	32.89737270 -10.19177284 3.40000000
 C	-19.92437817 -30.46814326 3.40000000
 C	35.19402648 -9.31017005 3.40000000
 C	-22.22103195 -31.34974605 3.40000000
 C	37.49051950 -8.42862897 3.40000000
 C	-24.51768574 -32.23134884 3.40000000
 C	-26.81433952 -33.11295163 3.40000000
 C	-29.11083254 -33.99449270 3.40000000
 C	3.04151659 -21.65236223 3.40000000
 C	12.22797095 -18.12601279 3.40000000
 C	14.52446397 -17.24447171 3.40000000
 C	0.74486281 -22.53396502 3.40000000
 C	-1.55163021 -23.41550609 3.40000000
 C	16.82111775 -16.36286893 3.40000000
 C	7.12577696 -18.56320355 3.40000000
 C	-4.35727760 -22.97113520 3.40000000
 C	18.60877793 -14.15529246 3.40000000
 C	-6.65382421 -23.85269685 3.40000000
 C	20.90537812 -13.27371024 3.40000000
 C	-8.95042440 -24.73427907 3.40000000
 C	23.20192473 -12.39214859 3.40000000
 C	-11.24707818 -25.61588185 3.40000000
 C	25.49857851 -11.51054581 3.40000000
 C	-13.54357120 -26.49742293 3.40000000
 C	27.79523229 -10.62894302 3.40000000
 C	4.82917676 -19.44478576 3.40000000
 C	9.42232356 -17.68164190 3.40000000
 C	-15.84022498 -27.37902572 3.40000000
 C	30.09172531 -9.74740194 3.40000000
 C	-18.13687876 -28.26062851 3.40000000
 C	32.38837909 -8.86579916 3.40000000
 C	-20.43342537 -29.14219015 3.40000000
 C	34.68497928 -7.98421694 3.40000000
 C	-22.73002556 -30.02377237 3.40000000
 C	36.98152589 -7.10265529 3.40000000
 C	-25.02667934 -30.90537516 3.40000000
 C	-27.32317236 -31.78691623 3.40000000
 C	-29.61982614 -32.66851902 3.40000000
 C	2.53252298 -20.32638855 3.40000000
 C	11.71897735 -16.80003911 3.40000000
 C	0.23602996 -21.20792963 3.40000000
 C	14.01563113 -15.91843632 3.40000000
 C	-2.06062382 -22.08953241 3.40000000
 C	16.31212415 -15.03689525 3.40000000
 C	-3.46344751 -21.86734696 3.40000000
 C	17.20595423 -13.93310701 3.40000000
 C	5.72300685 -18.34099752 3.40000000
 C	8.01966063 -17.45939474 3.40000000
 C	-5.75994053 -22.74888804 3.40000000
 C	19.50260801 -13.05150422 3.40000000
 C	-8.05659431 -23.63049083 3.40000000
 C	21.79926179 -12.16990143 3.40000000
 C	-10.35324810 -24.51209361 3.40000000
 C	24.09575481 -11.28836036 3.40000000
 C	-12.64990188 -25.39369640 3.40000000
 C	26.39240859 -10.40675757 3.40000000
 C	-14.94639490 -26.27523748 3.40000000
 C	28.68890161 -9.52521649 3.40000000
 C	-17.24304868 -27.15684027 3.40000000
 C	30.98555539 -8.64361370 3.40000000
 C	-19.53954170 -28.03838134 3.40000000
 C	33.28220918 -7.76201092 3.40000000
 C	-21.83619548 -28.91998413 3.40000000
 C	35.57886296 -6.88040813 3.40000000
 C	-24.13284926 -29.80158692 3.40000000
 C	37.87535598 -5.99886705 3.40000000
 C	-26.42950304 -30.68318971 3.40000000
 C	3.42635307 -19.22260031 3.40000000
 C	10.31615365 -16.57785366 3.40000000
 C	-28.72599606 -31.56473078 3.40000000
 C	1.12969929 -20.10420310 3.40000000
 C	12.61280743 -15.69625087 3.40000000
 C	-1.16679373 -20.98574418 3.40000000
 C	14.90930045 -14.81470979 3.40000000
 C	-3.97244112 -20.54137329 3.40000000
 C	16.69696063 -12.60713334 3.40000000
 C	5.21401325 -17.01502385 3.40000000
 C	7.51061344 -16.13344163 3.40000000
 C	-6.26898772 -21.42293494 3.40000000
 C	18.99361441 -11.72553055 3.40000000
 C	-8.56558792 -22.30451716 3.40000000
 C	21.29021460 -10.84394833 3.40000000
 C	-10.86224170 -23.18611994 3.40000000
 C	23.58676121 -9.96238668 3.40000000
 C	-13.15873472 -24.06766102 3.40000000
 C	25.88341499 -9.08078390 3.40000000
 C	-15.45538850 -24.94926381 3.40000000
 C	28.18006877 -8.19918111 3.40000000
 C	-17.75204228 -25.83086659 3.40000000
 C	30.47656179 -7.31764003 3.40000000
 C	-20.04858889 -26.71242824 3.40000000
 C	32.77321557 -6.43603724 3.40000000
 C	-22.34518908 -27.59401046 3.40000000
 C	35.06981576 -5.55445503 3.40000000
 C	-24.64184286 -28.47561325 3.40000000
 C	37.36636237 -4.67289338 3.40000000
 C	-26.93833588 -29.35715432 3.40000000
 C	2.91735946 -17.89662664 3.40000000
 C	9.80716005 -15.25187999 3.40000000
 C	-29.23498966 -30.23875711 3.40000000
 C	0.62086645 -18.77816772 3.40000000
 C	12.10381383 -14.37027720 3.40000000
 C	-1.67578734 -19.65977050 3.40000000
 C	14.40046761 -13.48867441 3.40000000
 C	6.10784333 -15.91123561 3.40000000
 C	-5.37510405 -20.31912613 3.40000000
 C	17.59079071 -11.50334510 3.40000000
 C	-7.67175783 -21.20072892 3.40000000
 C	19.88744449 -10.62174231 3.40000000
 C	-9.96841161 -22.08233170 3.40000000
 C	22.18409827 -9.74013952 3.40000000
 C	-12.26506540 -22.96393449 3.40000000
 C	24.48059129 -8.85859845 3.40000000
 C	-14.56155841 -23.84547557 3.40000000
 C	26.77724507 -7.97699566 3.40000000
 C	3.81118955 -16.79283840 3.40000000
 C	-16.85821220 -24.72707836 3.40000000
 C	29.07373809 -7.09545458 3.40000000
 C	8.40449711 -15.02963283 3.40000000
 C	-19.15470521 -25.60861943 3.40000000
 C	31.37039187 -6.21385179 3.40000000
 C	-21.45135900 -26.49022222 3.40000000
 C	33.66704566 -5.33224901 3.40000000
 C	-23.74801278 -27.37182501 3.40000000
 C	35.96369944 -4.45064622 3.40000000
 C	-26.04466656 -28.25342780 3.40000000
 C	38.26019246 -3.56910514 3.40000000
 C	-28.34115958 -29.13496887 3.40000000
 C	1.51453577 -17.67444119 3.40000000
 C	10.70099013 -14.14809175 3.40000000
 C	-0.78195725 -18.55598226 3.40000000
 C	12.99764391 -13.26648896 3.40000000
 C	-3.07861103 -19.43758505 3.40000000
 C	15.29413693 -12.38494788 3.40000000
 C	5.59884074 -14.58531863 3.40000000
 C	-5.88416023 -18.99322971 3.40000000
 C	17.08178813 -10.17742811 3.40000000
 C	-8.18076042 -19.87481193 3.40000000
 C	19.37844191 -9.29582532 3.40000000
 C	-10.47741420 -20.75641472 3.40000000
 C	21.67504210 -8.41424310 3.40000000
 C	-12.77390722 -21.63795579 3.40000000
 C	23.97158871 -7.53268146 3.40000000
