 C	11.70557054 -21.11740825 3.40000000
 C	0.94783420 -27.08051888 3.40000000
 C	22.46340728 -15.15424197 3.40000000
 C	-1.20377331 -28.27317440 3.40000000
 C	24.61491438 -13.96164211 3.40000000
 C	-3.35528041 -29.46577426 3.40000000
 C	26.76652190 -12.76898659 3.40000000
 C	-5.50683772 -30.65840195 3.40000000
 C	28.91812941 -11.57633107 3.40000000
 C	-7.65844523 -31.85105747 3.40000000
 C	31.06958631 -10.38375904 3.40000000
 C	9.55406343 -22.31000812 3.40000000
 C	-9.80990213 -33.04362950 3.40000000
 C	33.22119382 -9.19110352 3.40000000
 C	13.85717805 -19.92475274 3.40000000
 C	-11.96150964 -34.23628502 3.40000000
 C	35.37275113 -7.99847583 3.40000000
 C	-14.11311715 -35.42894054 3.40000000
 C	37.52425823 -6.80587597 3.40000000
 C	-16.26462426 -36.62154040 3.40000000
 C	-18.41618157 -37.81416809 3.40000000
 C	-20.56778908 -39.00682361 3.40000000
 C	-22.71924598 -40.19939564 3.40000000
 C	7.40250613 -23.50263581 3.40000000
 C	16.00878556 -18.73209722 3.40000000
 C	5.25089862 -24.69529132 3.40000000
 C	18.16024246 -17.53952518 3.40000000
 C	3.09944171 -25.88786336 3.40000000
 C	20.31184997 -16.34686966 3.40000000
 C	1.67934797 -25.86307553 3.40000000
 C	21.04336374 -15.12942632 3.40000000
 C	10.28562740 -21.09253694 3.40000000
 C	12.43708430 -19.89996491 3.40000000
 C	-0.47225954 -27.05573105 3.40000000
 C	23.19497125 -13.93677080 3.40000000
 C	-2.62371644 -28.24830309 3.40000000
 C	25.34642815 -12.74419877 3.40000000
 C	-4.77532395 -29.44095861 3.40000000
 C	27.49803566 -11.55154325 3.40000000
 C	-6.92693147 -30.63361412 3.40000000
 C	29.64949256 -10.35897122 3.40000000
 C	-9.07853898 -31.82626964 3.40000000
 C	31.80110007 -9.16631570 3.40000000
 C	-11.22999588 -33.01884168 3.40000000
 C	33.95270758 -7.97366018 3.40000000
 C	-13.38160339 -34.21149719 3.40000000
 C	36.10431509 -6.78100466 3.40000000
 C	-15.53306029 -35.40406923 3.40000000
 C	38.25577200 -5.58843263 3.40000000
 C	-17.68466780 -36.59672475 3.40000000
 C	-19.83627531 -37.78938027 3.40000000
 C	8.13401989 -22.28519246 3.40000000
 C	14.58869181 -18.70730939 3.40000000
 C	-21.98788282 -38.98203578 3.40000000
 C	-24.13933972 -40.17460782 3.40000000
 C	5.98241238 -23.47784798 3.40000000
 C	16.74014872 -17.51473736 3.40000000
 C	3.83080487 -24.67050350 3.40000000
 C	18.89175623 -16.32208184 3.40000000
 C	0.99076798 -24.62084436 3.40000000
 C	20.35478375 -13.88719514 3.40000000
 C	9.59699721 -19.85033360 3.40000000
 C	11.74850432 -18.65773373 3.40000000
 C	-1.16083953 -25.81349988 3.40000000
 C	22.50634106 -12.69456745 3.40000000
 C	-3.31234663 -27.00609974 3.40000000
 C	24.65784816 -11.50196759 3.40000000
 C	-5.46390394 -28.19872743 3.40000000
 C	26.80945567 -10.30931207 3.40000000
 C	-7.61551145 -29.39138295 3.40000000
 C	28.96106319 -9.11665655 3.40000000
 C	-9.76696835 -30.58395498 3.40000000
 C	31.11252009 -7.92408452 3.40000000
 C	-11.91857586 -31.77661050 3.40000000
 C	33.26412760 -6.73142900 3.40000000
 C	-14.07018337 -32.96926602 3.40000000
 C	35.41568491 -5.53880131 3.40000000
 C	-16.22169048 -34.16186588 3.40000000
 C	37.56719201 -4.34620145 3.40000000
 C	-18.37324779 -35.35449357 3.40000000
 C	-20.52485530 -36.54714909 3.40000000
 C	7.44543991 -21.04296129 3.40000000
 C	13.90011183 -17.46507821 3.40000000
 C	-22.67631220 -37.73972112 3.40000000
 C	-24.82791971 -38.93237664 3.40000000
 C	5.29383239 -22.23561680 3.40000000
 C	16.05171934 -16.27242270 3.40000000
 C	3.14237549 -23.42818884 3.40000000
 C	18.20317624 -15.07985066 3.40000000
 C	10.32855818 -18.63303460 3.40000000
 C	-0.42932877 -24.59622871 3.40000000
 C	21.08629451 -12.66992397 3.40000000
 C	-2.58078567 -25.78880074 3.40000000
 C	23.23790202 -11.47726846 3.40000000
 C	-4.73239318 -26.98145626 3.40000000
 C	25.38935892 -10.28469642 3.40000000
 C	-6.88400069 -28.17411178 3.40000000
 C	27.54096643 -9.09204090 3.40000000
 C	29.69242334 -7.89946887 3.40000000
 C	-9.03560820 -29.36676730 3.40000000
 C	8.17695067 -19.82569012 3.40000000
 C	12.48001508 -17.44046256 3.40000000
 C	-11.18706510 -30.55933933 3.40000000
 C	31.84403085 -6.70681335 3.40000000
 C	-13.33867261 -31.75199485 3.40000000
 C	33.99563836 -5.51415783 3.40000000
 C	-15.49012952 -32.94456688 3.40000000
 C	36.14724587 -4.32150231 3.40000000
 C	-17.64173703 -34.13722240 3.40000000
 C	38.29870277 -3.12893028 3.40000000
 C	-19.79334454 -35.32987792 3.40000000
 C	-21.94495205 -36.52253344 3.40000000
 C	-24.09640895 -37.71510547 3.40000000
 C	6.02534315 -21.01834563 3.40000000
 C	14.63162259 -16.24780704 3.40000000
 C	16.78307949 -15.05523501 3.40000000
 C	3.87373564 -22.21100115 3.40000000
