 C	9.04475431 -22.38655249 3.40000000
 C	-2.35951586 -26.99417673 3.40000000
 C	20.44913093 -17.77888525 3.40000000
 C	-4.64043376 -27.91572738 3.40000000
 C	22.72994239 -16.85737760 3.40000000
 C	-6.92124522 -28.83723502 3.40000000
 C	25.01086029 -15.93582695 3.40000000
 C	-9.20210990 -29.75876417 3.40000000
 C	27.29177819 -15.01427630 3.40000000
 C	-11.48302780 -30.68031482 3.40000000
 C	29.57253643 -14.09279016 3.40000000
 C	6.76394285 -23.30806014 3.40000000
 C	-13.76378604 -31.60180097 3.40000000
 C	31.85345433 -13.17123951 3.40000000
 C	11.32567221 -21.46500184 3.40000000
 C	-16.04470394 -32.52335162 3.40000000
 C	34.13431901 -12.24971036 3.40000000
 C	-18.32562184 -33.44490227 3.40000000
 C	36.41513046 -11.32820271 3.40000000
 C	-20.60643330 -34.36640991 3.40000000
 C	-22.88729798 -35.28793906 3.40000000
 C	-25.16821588 -36.20948971 3.40000000
 C	-27.44897412 -37.13097585 3.40000000
 C	4.48307817 -24.22958928 3.40000000
 C	13.60659011 -20.54345119 3.40000000
 C	2.20216027 -25.15113993 3.40000000
 C	15.88734835 -19.62196505 3.40000000
 C	-0.07859796 -26.07262608 3.40000000
 C	18.16826625 -18.70041440 3.40000000
 C	-1.48508567 -25.87495713 3.40000000
 C	19.04269644 -17.58119479 3.40000000
 C	7.63842627 -22.18881903 3.40000000
 C	9.91918451 -21.26733289 3.40000000
 C	-3.76600357 -26.79650778 3.40000000
 C	21.32361434 -16.65964414 3.40000000
 C	-6.04676181 -27.71799392 3.40000000
 C	23.60437258 -15.73815800 3.40000000
 C	-8.32767971 -28.63954457 3.40000000
 C	25.88529048 -14.81660735 3.40000000
 C	-10.60859761 -29.56109522 3.40000000
 C	28.16604872 -13.89512121 3.40000000
 C	-12.88951551 -30.48264587 3.40000000
 C	30.44696662 -12.97357056 3.40000000
 C	-15.17027375 -31.40413201 3.40000000
 C	32.72788452 -12.05201990 3.40000000
 C	-17.45119165 -32.32568266 3.40000000
 C	35.00880242 -11.13046925 3.40000000
 C	-19.73194989 -33.24716881 3.40000000
 C	37.28956066 -10.20898311 3.40000000
 C	-22.01286778 -34.16871946 3.40000000
 C	-24.29378568 -35.09027011 3.40000000
 C	5.35750837 -23.11036968 3.40000000
 C	12.20010241 -20.34578224 3.40000000
 C	-26.57470358 -36.01182076 3.40000000
 C	-28.85546182 -36.93330690 3.40000000
 C	3.07659047 -24.03192033 3.40000000
 C	14.48086064 -19.42429609 3.40000000
 C	0.79567257 -24.95347098 3.40000000
 C	16.76177854 -18.50274544 3.40000000
 C	-2.01714319 -24.55806856 3.40000000
 C	18.51063893 -16.26430623 3.40000000
 C	7.10631553 -20.87195197 3.40000000
 C	9.38712699 -19.95044432 3.40000000
 C	-4.29806109 -25.47961921 3.40000000
 C	20.79150361 -15.34277708 3.40000000
 C	-6.57887255 -26.40112686 3.40000000
 C	23.07231506 -14.42126943 3.40000000
 C	-8.85973723 -27.32265600 3.40000000
 C	25.35323296 -13.49971878 3.40000000
 C	-11.14065513 -28.24420665 3.40000000
 C	27.63415086 -12.57816813 3.40000000
 C	-13.42141336 -29.16569280 3.40000000
 C	29.91490910 -11.65668199 3.40000000
 C	-15.70233126 -30.08724345 3.40000000
 C	32.19582700 -10.73513134 3.40000000
 C	-17.98324916 -31.00879410 3.40000000
 C	34.47669168 -9.81360219 3.40000000
 C	-20.26406062 -31.93030174 3.40000000
 C	36.75750314 -8.89209455 3.40000000
 C	-22.54492530 -32.85183089 3.40000000
 C	-24.82584320 -33.77338154 3.40000000
 C	4.82545085 -21.79348112 3.40000000
 C	11.66804489 -19.02889367 3.40000000
 C	-27.10660144 -34.69486769 3.40000000
 C	-29.38751934 -35.61641834 3.40000000
 C	2.54453295 -22.71503177 3.40000000
 C	13.94896279 -18.10734302 3.40000000
 C	0.26377471 -23.63651791 3.40000000
 C	16.22972103 -17.18585688 3.40000000
 C	7.98077498 -19.75288139 3.40000000
 C	-3.42365486 -24.36057013 3.40000000
 C	19.38504515 -15.14525715 3.40000000
 C	-5.70441310 -25.28205627 3.40000000
 C	21.66596305 -14.22370650 3.40000000
 C	-7.98533100 -26.20360693 3.40000000
 C	23.94672129 -13.30222036 3.40000000
 C	-10.26624890 -27.12515758 3.40000000
 C	26.22763919 -12.38066970 3.40000000
 C	28.50839743 -11.45918356 3.40000000
 C	-12.54716680 -28.04670823 3.40000000
 C	5.69985708 -20.67443204 3.40000000
 C	10.26153322 -18.83139524 3.40000000
 C	-14.82792504 -28.96819437 3.40000000
 C	30.78931533 -10.53763291 3.40000000
 C	-17.10884294 -29.88974502 3.40000000
 C	33.07023323 -9.61608226 3.40000000
 C	-19.38960117 -30.81123116 3.40000000
 C	35.35115113 -8.69453161 3.40000000
 C	-21.67051907 -31.73278181 3.40000000
 C	37.63190937 -7.77304547 3.40000000
 C	-23.95143697 -32.65433246 3.40000000
 C	-26.23235487 -33.57588311 3.40000000
 C	-28.51311311 -34.49736926 3.40000000
 C	3.41893918 -21.59598269 3.40000000
 C	12.54245112 -17.90984459 3.40000000
 C	14.82320935 -16.98835845 3.40000000
 C	1.13802128 -22.51753334 3.40000000
 C	-1.14273696 -23.43901948 3.40000000
