 C	6.24910163 -23.32196479 3.40000000
 C	-5.63169098 -26.50541358 3.40000000
 C	18.13000514 -20.13848629 3.40000000
 C	-8.00791604 -27.14212116 3.40000000
 C	20.50611930 -19.50180842 3.40000000
 C	-10.38403021 -27.77879904 3.40000000
 C	22.88234436 -18.86510084 3.40000000
 C	-12.76019982 -28.41549177 3.40000000
 C	25.25856942 -18.22839325 3.40000000
 C	-15.13642488 -29.05219935 3.40000000
 C	27.63462814 -17.59173023 3.40000000
 C	3.87298746 -23.95864266 3.40000000
 C	-17.51248360 -29.68886237 3.40000000
 C	30.01085320 -16.95502265 3.40000000
 C	8.62532669 -22.68525721 3.40000000
 C	-19.88870866 -30.32556995 3.40000000
 C	32.38702281 -16.31832992 3.40000000
 C	-22.26493371 -30.96227754 3.40000000
 C	34.76313698 -15.68165205 3.40000000
 C	-24.64104788 -31.59895541 3.40000000
 C	-27.01721749 -32.23564814 3.40000000
 C	-29.39344255 -32.87235572 3.40000000
 C	-31.76950127 -33.50901874 3.40000000
 C	1.49681785 -24.59533539 3.40000000
 C	11.00155174 -22.04854962 3.40000000
 C	-0.87940720 -25.23204298 3.40000000
 C	13.37761047 -21.41188661 3.40000000
 C	-3.25546593 -25.86870599 3.40000000
 C	15.75383552 -20.77517902 3.40000000
 C	-4.62738010 -25.50110270 3.40000000
 C	16.75814641 -19.77086815 3.40000000
 C	4.87735379 -22.95431693 3.40000000
 C	7.25341251 -22.31765392 3.40000000
 C	-7.00360516 -26.13781029 3.40000000
 C	19.13437146 -19.13416056 3.40000000
 C	-9.37966388 -26.77447330 3.40000000
 C	21.51043019 -18.49749754 3.40000000
 C	-11.75588894 -27.41118089 3.40000000
 C	23.88665524 -17.86078996 3.40000000
 C	-14.13211400 -28.04788847 3.40000000
 C	26.26271397 -17.22412694 3.40000000
 C	-16.50833905 -28.68459606 3.40000000
 C	28.63893902 -16.58741936 3.40000000
 C	-18.88439778 -29.32125907 3.40000000
 C	31.01516408 -15.95071177 3.40000000
 C	-21.26062283 -29.95796666 3.40000000
 C	33.39138913 -15.31400419 3.40000000
 C	-23.63668156 -30.59462968 3.40000000
 C	35.76744786 -14.67734117 3.40000000
 C	-26.01290661 -31.23133726 3.40000000
 C	-28.38913167 -31.86804485 3.40000000
 C	2.50112873 -23.59102452 3.40000000
 C	9.62963757 -21.68094633 3.40000000
 C	-30.76535672 -32.50475243 3.40000000
 C	-33.14141545 -33.14141545 3.40000000
 C	0.12490368 -24.22773210 3.40000000
 C	12.00569629 -21.04428331 3.40000000
 C	-2.25132138 -24.86443969 3.40000000
 C	14.38192135 -20.40757573 3.40000000
 C	-4.99498340 -24.12918852 3.40000000
 C	16.39054311 -18.39895397 3.40000000
 C	4.50969505 -21.58241761 3.40000000
 C	6.88580922 -20.94573974 3.40000000
 C	-7.37120846 -24.76589611 3.40000000
 C	18.76671272 -17.76226124 3.40000000
 C	-9.74732262 -25.40257398 3.40000000
 C	21.14282689 -17.12558337 3.40000000
 C	-12.12349224 -26.03926671 3.40000000
 C	23.51905195 -16.48887578 3.40000000
 C	-14.49971729 -26.67597430 3.40000000
 C	25.89527700 -15.85216820 3.40000000
 C	-16.87577602 -27.31263731 3.40000000
 C	28.27133573 -15.21550518 3.40000000
 C	-19.25200107 -27.94934490 3.40000000
 C	30.64756078 -14.57879760 3.40000000
 C	-21.62822613 -28.58605248 3.40000000
 C	33.02373039 -13.94210487 3.40000000
 C	-24.00434030 -29.22273035 3.40000000
 C	35.39984456 -13.30542699 3.40000000
 C	-26.38050991 -29.85942308 3.40000000
 C	-28.75673496 -30.49613067 3.40000000
 C	2.13352544 -22.21911034 3.40000000
 C	9.26203427 -20.30903215 3.40000000
 C	-31.13279369 -31.13279368 3.40000000
 C	-33.50901874 -31.76950127 3.40000000
 C	-0.24269962 -22.85581792 3.40000000
 C	11.63825933 -19.67232457 3.40000000
 C	-2.61875834 -23.49248094 3.40000000
 C	14.01431805 -19.03566155 3.40000000
 C	5.51401681 -20.57825821 3.40000000
 C	-6.36694214 -23.76175157 3.40000000
 C	17.39480942 -17.39480942 3.40000000
 C	-8.74300087 -24.39841458 3.40000000
 C	19.77103448 -16.75810184 3.40000000
 C	-11.11922592 -25.03512217 3.40000000
 C	22.14709320 -16.12143882 3.40000000
 C	-13.49545098 -25.67182975 3.40000000
 C	24.52331826 -15.48473124 3.40000000
 C	26.89937698 -14.84806822 3.40000000
 C	-15.87167603 -26.30853734 3.40000000
 C	3.13779175 -21.21496580 3.40000000
 C	7.89007553 -19.94159519 3.40000000
 C	-18.24773476 -26.94520035 3.40000000
 C	29.27560204 -14.21136064 3.40000000
 C	-20.62395981 -27.58190794 3.40000000
 C	31.65182710 -13.57465305 3.40000000
 C	-23.00001854 -28.21857095 3.40000000
 C	34.02805215 -12.93794547 3.40000000
 C	-25.37624359 -28.85527854 3.40000000
 C	36.40411088 -12.30128245 3.40000000
 C	-27.75246865 -29.49198612 3.40000000
 C	-30.12869371 -30.12869371 3.40000000
 C	-32.50475243 -30.76535672 3.40000000
 C	0.76156669 -21.85167338 3.40000000
 C	10.26630059 -19.30488761 3.40000000
 C	12.64235931 -18.66822459 3.40000000
 C	-1.61465836 -22.48838096 3.40000000
 C	-3.99071709 -23.12504398 3.40000000
 C	15.01858437 -18.03151701 3.40000000
 C	5.14635807 -19.20635889 3.40000000
 C	-6.73454544 -22.38983739 3.40000000
 C	17.02720613 -16.02289525 3.40000000
 C	-9.11065961 -23.02651526 3.40000000
 C	19.40337574 -15.38620252 3.40000000
 C	-11.48682922 -23.66320799 3.40000000
 C	21.77948991 -14.74952464 3.40000000
 C	-13.86305427 -24.29991557 3.40000000
 C	24.15571496 -14.11281706 3.40000000
