 C	1.26363463 -24.11158519 3.40000000
 C	-11.01941038 -24.75531230 3.40000000
 C	13.54679429 -23.46785207 3.40000000
 C	-13.47608817 -24.88406133 3.40000000
 C	16.00335744 -23.33910905 3.40000000
 C	-15.93265131 -25.01280435 3.40000000
 C	18.46003522 -23.21036003 3.40000000
 C	-18.38927178 -25.14155037 3.40000000
 C	20.91671301 -23.08161100 3.40000000
 C	-20.84594957 -25.27029940 3.40000000
 C	23.37321884 -22.95287098 3.40000000
 C	-1.19292851 -24.24032821 3.40000000
 C	-23.30245539 -25.39903942 3.40000000
 C	25.82989662 -22.82412196 3.40000000
 C	3.72031242 -23.98283617 3.40000000
 C	-25.75913318 -25.52778844 3.40000000
 C	28.28651709 -22.69537593 3.40000000
 C	-28.21581097 -25.65653747 3.40000000
 C	30.74308024 -22.56663291 3.40000000
 C	-30.67237411 -25.78528049 3.40000000
 C	-33.12899458 -25.91402651 3.40000000
 C	-35.58567237 -26.04277554 3.40000000
 C	-38.04217819 -26.17151556 3.40000000
 C	-3.64954898 -24.36907423 3.40000000
 C	6.17699021 -23.85408714 3.40000000
 C	-6.10622677 -24.49782326 3.40000000
 C	8.63349604 -23.72534712 3.40000000
 C	-8.56273259 -24.62656328 3.40000000
 C	11.09017382 -23.59659810 3.40000000
 C	-9.82823813 -23.98175600 3.40000000
 C	12.28134607 -22.82304179 3.40000000
 C	-0.00169894 -23.46676891 3.40000000
 C	2.45480689 -23.33802889 3.40000000
 C	-12.28491591 -24.11050503 3.40000000
 C	14.73802386 -22.69429277 3.40000000
 C	-14.74142174 -24.23924505 3.40000000
 C	17.19452969 -22.56555275 3.40000000
 C	-17.19809953 -24.36799407 3.40000000
 C	19.65120747 -22.43680373 3.40000000
 C	-19.65477731 -24.49674310 3.40000000
 C	22.10771330 -22.30806371 3.40000000
 C	-22.11145510 -24.62549213 3.40000000
 C	24.56439109 -22.17931468 3.40000000
 C	-24.56796093 -24.75423214 3.40000000
 C	27.02106888 -22.05056566 3.40000000
 C	-27.02463871 -24.88298117 3.40000000
 C	29.47774666 -21.92181663 3.40000000
 C	-29.48114454 -25.01172119 3.40000000
 C	31.93425249 -21.79307661 3.40000000
 C	-31.93782233 -25.14047021 3.40000000
 C	-34.39450011 -25.26921924 3.40000000
 C	-2.45837673 -23.59551793 3.40000000
 C	4.91148467 -23.20927986 3.40000000
 C	-36.85117790 -25.39796827 3.40000000
 C	-39.30768373 -25.52670828 3.40000000
 C	-4.91505451 -23.72426696 3.40000000
 C	7.36799050 -23.08053985 3.40000000
 C	-7.37173230 -23.85301599 3.40000000
 C	9.82466829 -22.95179082 3.40000000
 C	-9.90257141 -22.56339242 3.40000000
 C	12.20701279 -21.40467821 3.40000000
 C	-0.07608954 -22.04840833 3.40000000
 C	2.38047360 -21.91966531 3.40000000
 C	-12.35924920 -22.69214145 3.40000000
 C	14.66363326 -21.27593219 3.40000000
 C	-14.81581235 -22.82088447 3.40000000
 C	17.12019640 -21.14718917 3.40000000
 C	-17.27243281 -22.94963049 3.40000000
 C	19.57687419 -21.01844014 3.40000000
 C	-19.72911060 -23.07837952 3.40000000
 C	22.03355198 -20.88969111 3.40000000
 C	-22.18561642 -23.20711953 3.40000000
 C	24.49005780 -20.76095110 3.40000000
 C	-24.64229421 -23.33586856 3.40000000
 C	26.94673559 -20.63220207 3.40000000
 C	-27.09897200 -23.46461759 3.40000000
 C	29.40335606 -20.50345605 3.40000000
 C	-29.55553515 -23.59336060 3.40000000
 C	31.85991920 -20.37471303 3.40000000
 C	-32.01215561 -23.72210663 3.40000000
 C	-34.46883340 -23.85085566 3.40000000
 C	-2.53271001 -22.17715435 3.40000000
 C	4.83715139 -21.79091628 3.40000000
 C	-36.92533922 -23.97959567 3.40000000
 C	-39.38201701 -24.10834470 3.40000000
 C	-4.98938780 -22.30590338 3.40000000
 C	7.29382918 -21.66216725 3.40000000
 C	-7.44589362 -22.43464339 3.40000000
 C	9.75033500 -21.53342724 3.40000000
 C	1.11506185 -21.27500245 3.40000000
 C	-11.16815513 -21.91873858 3.40000000
 C	13.39810686 -20.63127534 3.40000000
 C	-13.62466095 -22.04747859 3.40000000
 C	15.85478465 -20.50252631 3.40000000
 C	-16.08133874 -22.17622762 3.40000000
 C	18.31129048 -20.37378630 3.40000000
 C	-18.53801653 -22.30497665 3.40000000
 C	20.76796826 -20.24503727 3.40000000
 C	23.22447409 -20.11629726 3.40000000
 C	-20.99469431 -22.43372567 3.40000000
 C	-1.34161594 -21.40375148 3.40000000
 C	3.57156768 -21.14626244 3.40000000
 C	-23.45120014 -22.56246569 3.40000000
 C	25.68115188 -19.98754823 3.40000000
 C	-25.90787793 -22.69121472 3.40000000
 C	28.13782966 -19.85879920 3.40000000
 C	-28.36438375 -22.81995473 3.40000000
 C	30.59450745 -19.73005017 3.40000000
 C	-30.82106154 -22.94870376 3.40000000
 C	33.05101328 -19.60131016 3.40000000
 C	-33.27773933 -23.07745279 3.40000000
 C	-35.73441711 -23.20620181 3.40000000
 C	-38.19092294 -23.33494183 3.40000000
 C	-3.79829373 -21.53250051 3.40000000
 C	6.02824546 -21.01751341 3.40000000
 C	8.48475129 -20.88877340 3.40000000
 C	-6.25497151 -21.66124954 3.40000000
 C	-8.71147734 -21.78998955 3.40000000
 C	10.94142908 -20.76002437 3.40000000
 C	1.04067124 -19.85664187 3.40000000
 C	-11.24248841 -20.50037499 3.40000000
 C	13.32377358 -19.21291176 3.40000000
 C	-13.69905156 -20.62911801 3.40000000
 C	15.78039404 -19.08416573 3.40000000
 C	-16.15567202 -20.75786404 3.40000000
 C	18.23695719 -18.95542271 3.40000000
 C	-18.61234981 -20.88661306 3.40000000
 C	20.69363498 -18.82667369 3.40000000
 C	-21.06885564 -21.01535308 3.40000000
 C	23.15031277 -18.69792466 3.40000000
 C	-1.41594922 -19.98538790 3.40000000
 C	3.49723439 -19.72789885 3.40000000
 C	-23.52553342 -21.14410210 3.40000000
 C	25.60681859 -18.56918464 3.40000000
 C	-25.98221121 -21.27285113 3.40000000
