 C	-38.58827775 -33.54427808 3.40000000
 C	-36.17342658 -33.07487856 3.40000000
 C	-33.75874445 -32.60551190 3.40000000
 C	-31.34389328 -32.13611239 3.40000000
 C	-36.44443452 -31.68066359 3.40000000
 C	-28.92904211 -31.66671287 3.40000000
 C	-37.78736407 -31.21825586 3.40000000
 C	-34.02958335 -31.21126407 3.40000000
 C	-26.51419095 -31.19731335 3.40000000
 C	-35.37251290 -30.74885635 3.40000000
 C	-31.61490122 -30.74189741 3.40000000
 C	-24.09950882 -30.72794669 3.40000000
 C	-32.95783077 -30.27948969 3.40000000
 C	-29.20005005 -30.27249790 3.40000000
 C	-21.68465765 -30.25854718 3.40000000
 C	-30.54297960 -29.81009017 3.40000000
 C	-26.78525523 -29.80310933 3.40000000
 C	-19.26997552 -29.78918052 3.40000000
 C	-35.64352084 -29.35464137 3.40000000
 C	-28.12812844 -29.34069066 3.40000000
 C	-24.37051675 -29.33373172 3.40000000
 C	-16.85512435 -29.31978100 3.40000000
 C	-36.98650645 -28.89239647 3.40000000
 C	-33.22866967 -28.88524186 3.40000000
 C	-25.71327727 -28.87129114 3.40000000
 C	-21.95566559 -28.86433220 3.40000000
 C	-14.44027318 -28.85038149 3.40000000
 C	-34.57165529 -28.42299695 3.40000000
 C	-30.81398754 -28.41587520 3.40000000
 C	-23.29859514 -28.40192448 3.40000000
 C	-19.54081442 -28.39493269 3.40000000
 C	-12.02542202 -28.38098197 3.40000000
 C	-32.15697316 -27.95363029 3.40000000
 C	-28.39913637 -27.94647568 3.40000000
 C	-20.88374397 -27.93252496 3.40000000
 C	-17.12613229 -27.92556603 3.40000000
 C	-9.61073988 -27.91161531 3.40000000
 C	-29.74212199 -27.48423078 3.40000000
 C	-25.98434155 -27.47708712 3.40000000
 C	-18.46906184 -27.46315830 3.40000000
 C	-14.71128112 -27.45616651 3.40000000
 C	-7.19588872 -27.44221579 3.40000000
 C	-34.84266322 -27.02878198 3.40000000
 C	-27.32727082 -27.01483126 3.40000000
 C	-23.56960308 -27.00770951 3.40000000
 C	-16.05421067 -26.99375879 3.40000000
 C	-12.29648630 -26.98677795 3.40000000
 C	-4.78120659 -26.97284913 3.40000000
 C	-36.18559278 -26.56637425 3.40000000
 C	-32.42781206 -26.55938246 3.40000000
 C	-24.91241965 -26.54543174 3.40000000
 C	-21.15475191 -26.53830999 3.40000000
 C	-13.63935950 -26.52435927 3.40000000
 C	-9.88174782 -26.51740034 3.40000000
 C	-2.36635542 -26.50344962 3.40000000
 C	-33.77074161 -26.09697473 3.40000000
 C	-30.01312993 -26.09001580 3.40000000
 C	-22.49773752 -26.07606509 3.40000000
