 C	10.58432871 -21.70108981 3.40000000
 C	-0.47074962 -27.09301178 3.40000000
 C	21.63951022 -16.30911751 3.40000000
 C	-2.68182720 -28.17142637 3.40000000
 C	23.85048461 -15.23075325 3.40000000
 C	-4.89280159 -29.24979063 3.40000000
 C	26.06156218 -14.15233866 3.40000000
 C	-7.10382757 -30.32818006 3.40000000
 C	28.27263976 -13.07392407 3.40000000
 C	-9.31490515 -31.40659465 3.40000000
 C	30.48356256 -11.99558497 3.40000000
 C	8.37335431 -22.77945407 3.40000000
 C	-11.52582795 -32.48493375 3.40000000
 C	32.69464014 -10.91717038 3.40000000
 C	12.79540628 -20.62267522 3.40000000
 C	-13.73690552 -33.56334834 3.40000000
 C	34.90566612 -9.83878095 3.40000000
 C	-15.94798310 -34.64176292 3.40000000
 C	37.11664051 -8.76041669 3.40000000
 C	-18.15895749 -35.72012719 3.40000000
 C	-20.36998348 -36.79851662 3.40000000
 C	-22.58106105 -37.87693120 3.40000000
 C	-24.79198385 -38.95527031 3.40000000
 C	6.16232833 -23.85784350 3.40000000
 C	15.00648386 -19.54426063 3.40000000
 C	3.95125076 -24.93625809 3.40000000
 C	17.21740666 -18.46592153 3.40000000
 C	1.74032795 -26.01459719 3.40000000
 C	19.42848423 -17.38750694 3.40000000
 C	0.32347769 -25.91552137 3.40000000
 C	20.22271154 -16.21001653 3.40000000
 C	9.16763322 -21.60193850 3.40000000
 C	11.37855602 -20.52359940 3.40000000
 C	-1.88759988 -26.99393596 3.40000000
 C	22.43378912 -15.13160194 3.40000000
 C	-4.09852269 -28.07227506 3.40000000
 C	24.64471192 -14.05326284 3.40000000
 C	-6.30960026 -29.15068965 3.40000000
 C	26.85578950 -12.97484825 3.40000000
 C	-8.52067784 -30.22910424 3.40000000
 C	29.06671230 -11.89650915 3.40000000
 C	-10.73175541 -31.30751883 3.40000000
 C	31.27778987 -10.81809456 3.40000000
 C	-12.94267821 -32.38585793 3.40000000
 C	33.48886745 -9.73967997 3.40000000
 C	-15.15375579 -33.46427252 3.40000000
 C	35.69994502 -8.66126538 3.40000000
 C	-17.36467859 -34.54261162 3.40000000
 C	37.91086782 -7.58292628 3.40000000
 C	-19.57575616 -35.62102621 3.40000000
 C	-21.78683374 -36.69944080 3.40000000
 C	6.95655564 -22.68035309 3.40000000
 C	13.58963359 -19.44518481 3.40000000
 C	-23.99791131 -37.77785539 3.40000000
 C	-26.20883411 -38.85619449 3.40000000
 C	4.74547807 -23.75876768 3.40000000
 C	15.80055640 -18.36684571 3.40000000
 C	2.53440049 -24.83718227 3.40000000
 C	18.01163397 -17.28843112 3.40000000
 C	-0.29914526 -24.63895513 3.40000000
 C	19.60008859 -14.93345030 3.40000000
 C	8.54495867 -20.32539743 3.40000000
 C	10.75593306 -19.24703317 3.40000000
 C	-2.51022284 -25.71736972 3.40000000
 C	21.81111457 -13.85506087 3.40000000
 C	-4.72119723 -26.79573399 3.40000000
 C	24.02208897 -12.77669661 3.40000000
 C	-6.93222321 -27.87412341 3.40000000
 C	26.23316654 -11.69828202 3.40000000
 C	-9.14330079 -28.95253800 3.40000000
 C	28.44424412 -10.61986743 3.40000000
 C	-11.35422359 -30.03087710 3.40000000
 C	30.65516692 -9.54152833 3.40000000
 C	-13.56530117 -31.10929169 3.40000000
 C	32.86624449 -8.46311374 3.40000000
 C	-15.77637874 -32.18770628 3.40000000
 C	35.07727048 -7.38472431 3.40000000
 C	-17.98735313 -33.26607055 3.40000000
 C	37.28824487 -6.30636005 3.40000000
 C	-20.19837912 -34.34445997 3.40000000
 C	-22.40945669 -35.42287456 3.40000000
 C	6.33393269 -21.40378686 3.40000000
 C	12.96701064 -18.16861858 3.40000000
 C	-24.62037949 -36.50121366 3.40000000
 C	-26.83145707 -37.57962825 3.40000000
 C	4.12285511 -22.48220144 3.40000000
 C	15.17808821 -17.09020399 3.40000000
 C	1.91193231 -23.56054055 3.40000000
 C	17.38901102 -16.01186489 3.40000000
 C	9.33922556 -19.14805364 3.40000000
 C	-1.71600754 -24.54005110 3.40000000
 C	20.39430389 -13.75613167 3.40000000
 C	-3.92693034 -25.61839020 3.40000000
 C	22.60538147 -12.67771708 3.40000000
 C	-6.13800791 -26.69680479 3.40000000
 C	24.81630427 -11.59937798 3.40000000
 C	-8.34908549 -27.77521938 3.40000000
 C	27.02738184 -10.52096339 3.40000000
 C	29.23830464 -9.44262429 3.40000000
 C	-10.56016306 -28.85363397 3.40000000
 C	7.12814799 -20.22646823 3.40000000
 C	11.55014837 -18.06971454 3.40000000
 C	-12.77108587 -29.93197307 3.40000000
 C	31.44938222 -8.36420970 3.40000000
 C	-14.98216344 -31.01038766 3.40000000
 C	33.66045979 -7.28579511 3.40000000
 C	-17.19308624 -32.08872676 3.40000000
 C	35.87153737 -6.20738052 3.40000000
 C	-19.40416382 -33.16714135 3.40000000
 C	38.08246017 -5.12904142 3.40000000
 C	-21.61524139 -34.24555594 3.40000000
 C	-23.82631897 -35.32397052 3.40000000
 C	-26.03724177 -36.40230963 3.40000000
 C	4.91707041 -21.30488282 3.40000000
 C	13.76122594 -16.99129995 3.40000000
 C	15.97214874 -15.91296085 3.40000000
 C	2.70599284 -22.38329741 3.40000000
 C	0.49507004 -23.46163651 3.40000000
 C	18.18322632 -14.83454626 3.40000000
 C	8.71655102 -17.87151257 3.40000000
 C	-2.33863049 -23.26348486 3.40000000
 C	19.77168094 -12.47956544 3.40000000
 C	-4.54960488 -24.34184913 3.40000000
 C	21.98270692 -11.40117601 3.40000000
 C	-6.76063087 -25.42023855 3.40000000
 C	24.19368131 -10.32281175 3.40000000
 C	-8.97170844 -26.49865314 3.40000000
 C	26.40475889 -9.24439716 3.40000000
 C	-11.18263125 -27.57699224 3.40000000
 C	28.61583646 -8.16598257 3.40000000
 C	6.50552503 -18.94990199 3.40000000
 C	10.92752541 -16.79314830 3.40000000
 C	-13.39370882 -28.65540683 3.40000000
 C	30.82675926 -7.08764347 3.40000000
 C	-15.60478639 -29.73382142 3.40000000
 C	33.03783684 -6.00922888 3.40000000
 C	-17.81576079 -30.81218569 3.40000000
 C	35.24886282 -4.93083945 3.40000000
 C	-20.02678677 -31.89057511 3.40000000
 C	37.45983722 -3.85247519 3.40000000
 C	-22.23786435 -32.96898970 3.40000000
 C	-24.44878715 -34.04732880 3.40000000
 C	-26.65986472 -35.12574339 3.40000000
 C	4.29444746 -20.02831658 3.40000000
 C	13.13860299 -15.71473371 3.40000000
 C	2.08352466 -21.10665568 3.40000000
 C	15.34968056 -14.63631913 3.40000000
 C	-0.12755292 -22.18507027 3.40000000
 C	17.56060336 -13.55798002 3.40000000
 C	-1.54440318 -22.08599445 3.40000000
 C	18.35483067 -12.38048961 3.40000000
 C	7.29975234 -17.77241158 3.40000000
 C	9.51082992 -16.69399699 3.40000000
 C	-3.75532599 -23.16433355 3.40000000
 C	20.56590824 -11.30207502 3.40000000
 C	-5.96640356 -24.24274814 3.40000000
 C	22.77698582 -10.22366043 3.40000000
 C	-8.17748114 -25.32116273 3.40000000
 C	24.98790862 -9.14532133 3.40000000
 C	-10.38855871 -26.39957731 3.40000000
 C	27.19898620 -8.06690674 3.40000000
 C	-12.59948151 -27.47791642 3.40000000
 C	29.40990900 -6.98856764 3.40000000
 C	-14.81055909 -28.55633100 3.40000000
 C	31.62098657 -5.91015305 3.40000000
 C	-17.02148189 -29.63467011 3.40000000
 C	33.83206415 -4.83173846 3.40000000
 C	-19.23255946 -30.71308470 3.40000000
 C	36.04314172 -3.75332387 3.40000000
 C	-21.44363704 -31.79149928 3.40000000
 C	38.25406452 -2.67498477 3.40000000
 C	-23.65471461 -32.86991387 3.40000000
 C	5.08867477 -18.85082617 3.40000000
 C	11.72175272 -15.61565789 3.40000000
 C	-25.86563741 -33.94825297 3.40000000
 C	2.87759719 -19.92924076 3.40000000
 C	13.93283029 -14.53724330 3.40000000
 C	0.66667439 -21.00757986 3.40000000
 C	16.14375310 -13.45890420 3.40000000
 C	-2.16702613 -20.80942822 3.40000000
 C	17.73220772 -11.10392338 3.40000000
 C	6.67712939 -16.49584535 3.40000000
 C	8.88815538 -15.41745593 3.40000000
 C	-4.37800053 -21.88779248 3.40000000
 C	19.94328530 -10.02550879 3.40000000
 C	-6.58902651 -22.96618191 3.40000000
 C	22.15431128 -8.94711937 3.40000000
 C	-8.80010408 -24.04459650 3.40000000
 C	24.36528567 -7.86875510 3.40000000
 C	-11.01102689 -25.12293560 3.40000000
 C	26.57636325 -6.79034051 3.40000000
 C	-13.22210446 -26.20135019 3.40000000
 C	28.78744082 -5.71192592 3.40000000
 C	-15.43318204 -27.27976478 3.40000000
 C	30.99836362 -4.63358682 3.40000000
 C	-17.64415643 -28.35812904 3.40000000
 C	33.20944120 -3.55517223 3.40000000
 C	-19.85518241 -29.43651847 3.40000000
 C	35.42046718 -2.47678281 3.40000000
 C	-22.06625999 -30.51493306 3.40000000
 C	37.63144157 -1.39841854 3.40000000
 C	-24.27718279 -31.59327216 3.40000000
 C	4.46605182 -17.57425994 3.40000000
 C	11.09912977 -14.33909166 3.40000000
 C	-26.48826036 -32.67168675 3.40000000
 C	2.25512902 -18.65259904 3.40000000
 C	13.31020734 -13.26067707 3.40000000
 C	0.04405144 -19.73101363 3.40000000
 C	15.52128492 -12.18226248 3.40000000
 C	7.47135670 -15.31835494 3.40000000
 C	-3.58372163 -20.71027691 3.40000000
 C	18.52643503 -9.92643297 3.40000000
 C	-5.79479920 -21.78869149 3.40000000
 C	20.73751260 -8.84801838 3.40000000
 C	-8.00587678 -22.86710608 3.40000000
 C	22.94859018 -7.76960379 3.40000000
