 C	12.07233732 -20.90990160 3.40000000
 C	1.42031007 -27.05985240 3.40000000
 C	22.72446398 -14.75989340 3.40000000
 C	-0.71015504 -28.28987700 3.40000000
 C	24.85482967 -13.52992620 3.40000000
 C	-2.84052072 -29.51984420 3.40000000
 C	26.98529477 -12.29990160 3.40000000
 C	-4.97093611 -30.74984010 3.40000000
 C	29.11575987 -11.06987700 3.40000000
 C	-7.10140121 -31.97986470 3.40000000
 C	31.24607584 -9.83993850 3.40000000
 C	9.94197163 -22.13986880 3.40000000
 C	-9.23171718 -33.20980320 3.40000000
 C	33.37654094 -8.60991390 3.40000000
 C	14.20280242 -19.67987700 3.40000000
 C	-11.36218229 -34.43982780 3.40000000
 C	35.50695634 -7.37991800 3.40000000
 C	-13.49264739 -35.66985240 3.40000000
 C	37.63732202 -6.14995080 3.40000000
 C	-15.62301307 -36.89981960 3.40000000
 C	-17.75342846 -38.12981550 3.40000000
 C	-19.88389356 -39.35984010 3.40000000
 C	-22.01420954 -40.58977860 3.40000000
 C	7.81155624 -23.36986470 3.40000000
 C	16.33326752 -18.44985240 3.40000000
 C	5.68109114 -24.59988930 3.40000000
 C	18.46358349 -17.21991390 3.40000000
 C	3.55077517 -25.82982780 3.40000000
 C	20.59404859 -15.98988930 3.40000000
 C	2.13046510 -25.82982780 3.40000000
 C	21.30420363 -14.75986470 3.40000000
 C	10.65217638 -20.90981550 3.40000000
 C	12.78249235 -19.67987700 3.40000000
 C	-0.00000000 -27.05985240 3.40000000
 C	23.43466873 -13.52984010 3.40000000
 C	-2.13031597 -28.28979090 3.40000000
 C	25.56498470 -12.29990160 3.40000000
 C	-4.26078107 -29.51981550 3.40000000
 C	27.69544980 -11.06987700 3.40000000
 C	-6.39124618 -30.74984010 3.40000000
 C	29.82576578 -9.83993850 3.40000000
 C	-8.52171128 -31.97986470 3.40000000
 C	31.95623088 -8.60991390 3.40000000
 C	-10.65202725 -33.20980320 3.40000000
 C	34.08669598 -7.37988930 3.40000000
 C	-12.78249235 -34.43982780 3.40000000
 C	36.21716108 -6.14986470 3.40000000
 C	-14.91280832 -35.66976630 3.40000000
 C	38.34747705 -4.91992620 3.40000000
 C	-17.04327343 -36.89979090 3.40000000
 C	-19.17373853 -38.12981550 3.40000000
 C	8.52171128 -22.13984010 3.40000000
 C	14.91295745 -18.44985240 3.40000000
 C	-21.30420363 -39.35984010 3.40000000
 C	-23.43451960 -40.58977860 3.40000000
 C	6.39124618 -23.36986470 3.40000000
 C	17.04327342 -17.21991390 3.40000000
 C	4.26078107 -24.59988930 3.40000000
 C	19.17373853 -15.98988930 3.40000000
 C	1.42031007 -24.59980320 3.40000000
 C	20.59404859 -13.52984010 3.40000000
 C	9.94197163 -19.67981960 3.40000000
 C	12.07233732 -18.44985240 3.40000000
 C	-0.71015504 -25.82982780 3.40000000
 C	22.72446399 -12.29984420 3.40000000
 C	-2.84052072 -27.05979500 3.40000000
 C	24.85482967 -11.06987700 3.40000000
 C	-4.97093611 -28.28979090 3.40000000
 C	26.98529477 -9.83985240 3.40000000
 C	-7.10140121 -29.51981550 3.40000000
 C	29.11575987 -8.60982780 3.40000000
 C	-9.23171718 -30.74975400 3.40000000
 C	31.24607584 -7.37988930 3.40000000
 C	-11.36218229 -31.97977860 3.40000000
 C	33.37654094 -6.14986470 3.40000000
 C	-13.49264739 -33.20980320 3.40000000
 C	35.50695634 -4.91986880 3.40000000
 C	-15.62301307 -34.43977040 3.40000000
 C	37.63732202 -3.68990160 3.40000000
 C	-17.75342846 -35.66976630 3.40000000
 C	-19.88389356 -36.89979090 3.40000000
 C	7.81155624 -20.90981550 3.40000000
 C	14.20280242 -17.21982780 3.40000000
 C	-22.01420953 -38.12972940 3.40000000
 C	-24.14467464 -39.35975400 3.40000000
 C	5.68109114 -22.13984010 3.40000000
 C	16.33326752 -15.98980320 3.40000000
 C	3.55077517 -23.36977860 3.40000000
 C	18.46358349 -14.75986470 3.40000000
 C	10.65217638 -18.44993850 3.40000000
 C	0.00000000 -24.59997540 3.40000000
 C	21.30420363 -12.29998770 3.40000000
 C	-2.13031597 -25.82991390 3.40000000
 C	23.43466873 -11.06996310 3.40000000
 C	-4.26078107 -27.05993850 3.40000000
 C	25.56498470 -9.84002460 3.40000000
 C	-6.39124618 -28.28996310 3.40000000
 C	27.69544981 -8.61000000 3.40000000
 C	29.82576578 -7.38006150 3.40000000
 C	-8.52171128 -29.51998770 3.40000000
 C	8.52171128 -19.67996310 3.40000000
 C	12.78249235 -17.22000000 3.40000000
 C	-10.65202725 -30.74992620 3.40000000
 C	31.95623088 -6.15003690 3.40000000
 C	-12.78249235 -31.97995080 3.40000000
 C	34.08669598 -4.92001230 3.40000000
 C	-14.91280832 -33.20988930 3.40000000
 C	36.21716108 -3.68998770 3.40000000
 C	-17.04327342 -34.43991390 3.40000000
 C	38.34747705 -2.46004920 3.40000000
 C	-19.17373853 -35.66993850 3.40000000
 C	-21.30420363 -36.89996310 3.40000000
 C	-23.43451960 -38.12990160 3.40000000
 C	6.39124618 -20.90998770 3.40000000
 C	14.91295745 -15.98997540 3.40000000
 C	17.04327343 -14.76003690 3.40000000
 C	4.26078107 -22.14001230 3.40000000
 C	2.13046510 -23.36995080 3.40000000
 C	19.17373853 -13.53001230 3.40000000
 C	9.94197163 -17.21994260 3.40000000
 C	-0.71015503 -23.36995080 3.40000000
 C	20.59404859 -11.06996310 3.40000000
 C	-2.84052072 -24.59991800 3.40000000
 C	22.72446399 -9.83996720 3.40000000
 C	-4.97093611 -25.82991390 3.40000000
 C	24.85482967 -8.61000000 3.40000000
 C	-7.10140121 -27.05993850 3.40000000
 C	26.98529477 -7.37997540 3.40000000
 C	-9.23171718 -28.28987700 3.40000000
 C	29.11575987 -6.14995080 3.40000000
 C	7.81155624 -18.44993850 3.40000000
 C	12.07233732 -15.98997540 3.40000000
 C	-11.36218228 -29.51990160 3.40000000
 C	31.24607584 -4.92001230 3.40000000
 C	-13.49264739 -30.74992620 3.40000000
 C	33.37654095 -3.68998770 3.40000000
 C	-15.62301307 -31.97989340 3.40000000
 C	35.50695634 -2.45999180 3.40000000
 C	-17.75342846 -33.20988930 3.40000000
 C	37.63732202 -1.23002460 3.40000000
 C	-19.88389356 -34.43991390 3.40000000
 C	-22.01420953 -35.66985240 3.40000000
 C	-24.14467464 -36.89987700 3.40000000
 C	5.68109114 -19.67996310 3.40000000
 C	14.20280242 -14.75995080 3.40000000
 C	3.55077517 -20.90990160 3.40000000
 C	16.33326752 -13.52992620 3.40000000
 C	1.42031007 -22.13992620 3.40000000
 C	18.46358349 -12.29998770 3.40000000
 C	-0.00000000 -22.13992619 3.40000000
 C	19.17373852 -11.06996309 3.40000000
 C	8.52171127 -17.21991389 3.40000000
 C	10.65217638 -15.98988929 3.40000000
 C	-2.13031598 -23.36986469 3.40000000
 C	21.30420363 -9.83993849 3.40000000
 C	-4.26078108 -24.59988929 3.40000000
 C	23.43466873 -8.60991389 3.40000000
 C	-6.39124618 -25.82991389 3.40000000
 C	25.56498470 -7.37997539 3.40000000
 C	-8.52171128 -27.05993849 3.40000000
 C	27.69544980 -6.14995079 3.40000000
 C	-10.65202725 -28.28987699 3.40000000
 C	29.82576577 -4.92001229 3.40000000
 C	-12.78249235 -29.51990159 3.40000000
 C	31.95623087 -3.68998769 3.40000000
 C	-14.91280833 -30.74984009 3.40000000
 C	34.08669598 -2.45996309 3.40000000
 C	-17.04327343 -31.97986469 3.40000000
 C	36.21716108 -1.22993849 3.40000000
 C	-19.17373853 -33.20988929 3.40000000
 C	38.34747705 0.00000001 3.40000000
 C	-21.30420363 -34.43991389 3.40000000
 C	6.39124617 -18.44993849 3.40000000
 C	12.78249235 -14.75995079 3.40000000
 C	-23.43451960 -35.66985239 3.40000000
 C	4.26078107 -19.67996309 3.40000000
 C	14.91295745 -13.52992619 3.40000000
 C	2.13046510 -20.90990159 3.40000000
 C	17.04327342 -12.29998769 3.40000000
 C	-0.71015503 -20.90990160 3.40000000
 C	18.46358349 -9.83993850 3.40000000
 C	7.81155624 -15.98988930 3.40000000
 C	9.94197164 -14.75989340 3.40000000
 C	-2.84052072 -22.13986880 3.40000000
 C	20.59404860 -8.60991390 3.40000000
 C	-4.97093611 -23.36986470 3.40000000
 C	22.72446399 -7.37991800 3.40000000
 C	-7.10140121 -24.59988930 3.40000000
 C	24.85482967 -6.14995080 3.40000000
 C	-9.23171718 -25.82982780 3.40000000
 C	26.98529477 -4.91992620 3.40000000
 C	-11.36218228 -27.05985240 3.40000000
 C	29.11575987 -3.68990160 3.40000000
 C	-13.49264738 -28.28987700 3.40000000
 C	31.24607584 -2.45996310 3.40000000
 C	-15.62301307 -29.51984420 3.40000000
 C	33.37654095 -1.22993850 3.40000000
 C	-17.75342846 -30.74984010 3.40000000
 C	35.50695634 0.00005740 3.40000000
 C	-19.88389356 -31.97986470 3.40000000
 C	37.63732202 1.23002460 3.40000000
 C	-22.01420953 -33.20980320 3.40000000
 C	5.68109114 -17.21991390 3.40000000
 C	12.07233732 -13.52992620 3.40000000
 C	-24.14467463 -34.43982780 3.40000000
 C	3.55077517 -18.44985240 3.40000000
 C	14.20280242 -12.29990160 3.40000000
 C	1.42031007 -19.67987700 3.40000000
 C	16.33326752 -11.06987700 3.40000000
 C	8.52171127 -14.75986470 3.40000000
 C	-2.13031597 -20.90981550 3.40000000
 C	19.17373852 -8.60991390 3.40000000
 C	-4.26078108 -22.13984010 3.40000000
 C	21.30420363 -7.37988930 3.40000000
 C	-6.39124618 -23.36986470 3.40000000
 C	23.43466873 -6.14986470 3.40000000
 C	-8.52171128 -24.59988930 3.40000000
 C	25.56498470 -4.91992620 3.40000000
 C	-10.65202725 -25.82982780 3.40000000
 C	27.69544980 -3.68990160 3.40000000
 C	6.39124617 -15.98988930 3.40000000
 C	-12.78249235 -27.05985240 3.40000000
 C	29.82576577 -2.45996310 3.40000000
 C	10.65217638 -13.52984010 3.40000000
 C	-14.91280833 -28.28979090 3.40000000
 C	31.95623088 -1.22993850 3.40000000
 C	-17.04327343 -29.51981550 3.40000000
 C	34.08669598 0.00008610 3.40000000
 C	-19.17373853 -30.74984010 3.40000000
 C	36.21716108 1.23011070 3.40000000
 C	-21.30420363 -31.97986470 3.40000000
 C	38.34747705 2.46004920 3.40000000
 C	-23.43451960 -33.20980320 3.40000000
 C	4.26078107 -17.21991390 3.40000000
 C	12.78249235 -12.29990160 3.40000000
 C	2.13046510 -18.44985240 3.40000000
 C	14.91295745 -11.06987700 3.40000000
 C	-0.00000000 -19.67987700 3.40000000
 C	17.04327342 -9.83993850 3.40000000
 C	7.81155624 -13.52989749 3.40000000
 C	-2.84052072 -19.67987699 3.40000000
 C	18.46358349 -7.37994669 3.40000000
 C	-4.97093611 -20.90987289 3.40000000
 C	20.59404859 -6.14992209 3.40000000
 C	-7.10140121 -22.13989749 3.40000000
 C	22.72446398 -4.91992619 3.40000000
 C	-9.23171719 -23.36983599 3.40000000
 C	24.85482967 -3.68995899 3.40000000
 C	-11.36218229 -24.59986059 3.40000000
 C	26.98529477 -2.45993439 3.40000000
 C	-13.49264739 -25.82988519 3.40000000
 C	5.68109114 -14.75992209 3.40000000
 C	29.11575987 -1.22990979 3.40000000
 C	9.94197163 -12.29990159 3.40000000
 C	-15.62301307 -27.05985239 3.40000000
 C	31.24607584 0.00002871 3.40000000
 C	-17.75342846 -28.28984829 3.40000000
 C	33.37654094 1.23005331 3.40000000
 C	-19.88389356 -29.51987289 3.40000000
 C	35.50695633 2.46004921 3.40000000
 C	-22.01420954 -30.74981139 3.40000000
 C	37.63732202 3.69001641 3.40000000
 C	-24.14467464 -31.97983599 3.40000000
 C	3.55077517 -15.98986059 3.40000000
 C	12.07233731 -11.06993439 3.40000000
 C	1.42031006 -17.21988519 3.40000000
 C	14.20280242 -9.83990979 3.40000000
 C	-0.71015504 -18.44990979 3.40000000
 C	16.33326752 -8.60988519 3.40000000
 C	-2.13031597 -18.44976630 3.40000000
 C	17.04327342 -7.37988930 3.40000000
 C	6.39124617 -13.52984010 3.40000000
 C	8.52171128 -12.29981550 3.40000000
 C	-4.26078108 -19.67979090 3.40000000
 C	19.17373853 -6.14986470 3.40000000
 C	-6.39124618 -20.90981550 3.40000000
 C	21.30420363 -4.91984010 3.40000000
 C	-8.52171128 -22.13984010 3.40000000
 C	23.43466873 -3.68981550 3.40000000
 C	-10.65202725 -23.36977860 3.40000000
 C	25.56498470 -2.45987700 3.40000000
 C	-12.78249235 -24.59980320 3.40000000
 C	27.69544980 -1.22985240 3.40000000
 C	-14.91280833 -25.82974170 3.40000000
 C	29.82576577 0.00008610 3.40000000
 C	-17.04327343 -27.05976630 3.40000000
 C	31.95623088 1.23011070 3.40000000
 C	-19.17373853 -28.28979090 3.40000000
 C	34.08669598 2.46013530 3.40000000
 C	-21.30420363 -29.51981550 3.40000000
 C	36.21716108 3.69015990 3.40000000
 C	-23.43451960 -30.74975400 3.40000000
 C	38.34747705 4.92009840 3.40000000
 C	4.26078107 -14.75986470 3.40000000
 C	10.65217638 -11.06979090 3.40000000
 C	2.13046510 -15.98980320 3.40000000
 C	12.78249235 -9.83985240 3.40000000
 C	-0.00000000 -17.21982780 3.40000000
 C	14.91295745 -8.60982780 3.40000000
 C	-2.84052072 -17.21994260 3.40000000
 C	16.33326752 -6.14995080 3.40000000
 C	5.68109114 -12.29998770 3.40000000
 C	7.81155624 -11.06996310 3.40000000
 C	-4.97093611 -18.44993850 3.40000000
 C	18.46358349 -4.92001230 3.40000000
 C	-7.10140121 -19.67996310 3.40000000
 C	20.59404859 -3.68998770 3.40000000
 C	-9.23171718 -20.90990160 3.40000000
