 C	-41.88321896 -29.32694564 3.40000000
 C	-39.43253099 -29.11253822 3.40000000
 C	-36.98201457 -28.89814582 3.40000000
 C	-34.53132660 -28.68373840 3.40000000
 C	-32.08063863 -28.46933099 3.40000000
 C	-29.62995066 -28.25492357 3.40000000
 C	-27.17943423 -28.04053116 3.40000000
 C	-24.72874626 -27.82612375 3.40000000
 C	-39.55631917 -27.69763286 3.40000000
 C	-22.27822984 -27.61173134 3.40000000
 C	-37.10563120 -27.48322545 3.40000000
 C	-19.82754187 -27.39732393 3.40000000
 C	-34.65511478 -27.26883304 3.40000000
 C	-17.37685390 -27.18291651 3.40000000
 C	-40.84355725 -27.09738389 3.40000000
 C	-32.20442681 -27.05442563 3.40000000
 C	-14.92616593 -26.96850910 3.40000000
 C	-38.39286928 -26.88297648 3.40000000
 C	-29.75379602 -26.84002321 3.40000000
 C	-12.47564950 -26.75411669 3.40000000
 C	-35.94235285 -26.66858407 3.40000000
 C	-27.30322241 -26.62562580 3.40000000
 C	-10.02496153 -26.53970927 3.40000000
 C	-33.49166488 -26.45417666 3.40000000
 C	-24.85253444 -26.41121839 3.40000000
 C	-7.57444511 -26.32531687 3.40000000
 C	-31.04097691 -26.23976924 3.40000000
 C	-22.40184647 -26.19681097 3.40000000
 C	-5.12375714 -26.11090945 3.40000000
 C	-28.59028894 -26.02536183 3.40000000
 C	-19.95133005 -25.98241857 3.40000000
 C	-2.67306917 -25.89650204 3.40000000
 C	-26.13977252 -25.81096942 3.40000000
 C	-17.50064208 -25.76801115 3.40000000
 C	-0.22238120 -25.68209462 3.40000000
 C	-23.68908455 -25.59656200 3.40000000
 C	-15.05001129 -25.55360874 3.40000000
 C	-38.51665746 -25.46807112 3.40000000
 C	2.22813523 -25.46770221 3.40000000
 C	-21.23856812 -25.38216960 3.40000000
 C	-12.59943768 -25.33921133 3.40000000
 C	-36.06596949 -25.25366370 3.40000000
 C	4.67882320 -25.25329480 3.40000000
 C	-18.78788015 -25.16776218 3.40000000
 C	-10.14874971 -25.12480391 3.40000000
 C	-33.61545306 -25.03927130 3.40000000
 C	7.12933963 -25.03890239 3.40000000
 C	-16.33719218 -24.95335477 3.40000000
 C	-7.69806174 -24.91039650 3.40000000
 C	-39.80396830 -24.86797822 3.40000000
 C	-31.16476509 -24.82486388 3.40000000
 C	9.58002760 -24.82449498 3.40000000
 C	-13.88650421 -24.73894735 3.40000000
 C	-5.24754531 -24.69600409 3.40000000
 C	-37.35328033 -24.65357080 3.40000000
 C	-28.71413430 -24.61046147 3.40000000
 C	12.03071557 -24.61008756 3.40000000
 C	-11.43598778 -24.52455495 3.40000000
 C	-2.79685734 -24.48159668 3.40000000
 C	-34.90276391 -24.43917839 3.40000000
 C	-26.26356069 -24.39606406 3.40000000
 C	14.48140354 -24.39568015 3.40000000
 C	-8.98529981 -24.31014753 3.40000000
 C	-0.34622656 -24.26719426 3.40000000
 C	-32.45207594 -24.22477098 3.40000000
 C	-23.81287272 -24.18165664 3.40000000
 C	16.93191996 -24.18128774 3.40000000
 C	-6.53478339 -24.09575512 3.40000000
 C	2.10434705 -24.05279685 3.40000000
 C	-30.00138797 -24.01036356 3.40000000
 C	-21.36218475 -23.96724923 3.40000000
 C	19.38260793 -23.96688032 3.40000000
 C	-4.08409542 -23.88134771 3.40000000
 C	4.55503502 -23.83838944 3.40000000
 C	-27.55070000 -23.79595615 3.40000000
 C	-18.91166833 -23.75285682 3.40000000
 C	21.83312436 -23.75248792 3.40000000
 C	-1.63340745 -23.66694029 3.40000000
 C	7.00572299 -23.62398202 3.40000000
 C	-25.10018357 -23.58156374 3.40000000
 C	-16.46098036 -23.53844941 3.40000000
 C	24.28381233 -23.53808050 3.40000000
 C	0.81728052 -23.45253288 3.40000000
 C	9.45623942 -23.40958962 3.40000000
 C	-22.64949560 -23.36715633 3.40000000
 C	-14.01034957 -23.32404699 3.40000000
 C	26.73450030 -23.32367309 3.40000000
 C	-37.47706851 -23.23866544 3.40000000
 C	3.26779695 -23.23814047 3.40000000
 C	11.90692739 -23.19518220 3.40000000
 C	-20.19897918 -23.15276392 3.40000000
 C	-11.55977596 -23.10964958 3.40000000
 C	29.18518827 -23.10926567 3.40000000
 C	-35.02638054 -23.02425803 3.40000000
 C	5.71848492 -23.02373306 3.40000000
 C	14.35755817 -22.98077979 3.40000000
 C	-17.74829121 -22.93835650 3.40000000
 C	-9.10908799 -22.89524217 3.40000000
 C	31.63570469 -22.89487327 3.40000000
 C	-32.57586412 -22.80986562 3.40000000
 C	8.16900134 -22.80934065 3.40000000
 C	16.80813178 -22.76638238 3.40000000
 C	-15.29760324 -22.72394909 3.40000000
 C	-6.65840002 -22.68083475 3.40000000
 C	-38.76430659 -22.63841646 3.40000000
 C	-30.12517615 -22.59545820 3.40000000
 C	10.61968931 -22.59493323 3.40000000
 C	19.25881975 -22.55197496 3.40000000
 C	-12.84691527 -22.50954167 3.40000000
 C	-4.20788360 -22.46644235 3.40000000
 C	-36.31361862 -22.42400905 3.40000000
 C	-27.67454536 -22.38105579 3.40000000
 C	13.07037728 -22.38052582 3.40000000
 C	21.70950772 -22.33756755 3.40000000
 C	-10.39639884 -22.29514927 3.40000000
 C	-1.75719563 -22.25203493 3.40000000
 C	-33.86310219 -22.20961664 3.40000000
 C	-25.22397175 -22.16665838 3.40000000
 C	15.52106525 -22.16611840 3.40000000
 C	24.16002415 -22.12317514 3.40000000
 C	-7.94571087 -22.08074185 3.40000000
 C	0.69343516 -22.03763252 3.40000000
 C	-31.41241422 -21.99520922 3.40000000
 C	-22.77328378 -21.95225097 3.40000000
 C	17.97158168 -21.95172600 3.40000000
 C	26.61071212 -21.90876773 3.40000000
 C	-5.49519445 -21.86634944 3.40000000
 C	3.14400877 -21.82323511 3.40000000
 C	-28.96172625 -21.78080181 3.40000000
 C	-20.32259581 -21.73784355 3.40000000
 C	20.42226965 -21.73731858 3.40000000
 C	29.06134291 -21.69436531 3.40000000
 C	-3.04450648 -21.65194203 3.40000000
 C	5.59469674 -21.60882769 3.40000000
 C	-26.51103828 -21.56639439 3.40000000
 C	-17.87207939 -21.52345114 3.40000000
 C	22.87278607 -21.52292617 3.40000000
 C	31.51191651 -21.47996790 3.40000000
 C	-0.59381851 -21.43753461 3.40000000
 C	8.04538471 -21.39442028 3.40000000
 C	-24.06052186 -21.35200199 3.40000000
 C	-15.42139142 -21.30904373 3.40000000
 C	25.32347404 -21.30851876 3.40000000
 C	33.96260448 -21.26556049 3.40000000
 C	1.85686946 -21.22312720 3.40000000
 C	10.49590113 -21.18002787 3.40000000
 C	-21.60983389 -21.13759457 3.40000000
 C	-12.97076063 -21.09464132 3.40000000
 C	27.77416201 -21.09411134 3.40000000
 C	-36.43740680 -21.00910370 3.40000000
 C	4.30738589 -21.00873479 3.40000000
 C	12.94658910 -20.96562046 3.40000000
 C	-19.15931746 -20.92320217 3.40000000
 C	-10.52018702 -20.88024391 3.40000000
 C	30.22484998 -20.87970393 3.40000000
 C	-33.98671883 -20.79469628 3.40000000
 C	6.75807386 -20.79432738 3.40000000
 C	15.39721989 -20.75121804 3.40000000
 C	-16.70862949 -20.70879475 3.40000000
 C	-8.06949905 -20.66583649 3.40000000
 C	32.67536641 -20.66531152 3.40000000
 C	-31.53620240 -20.58030387 3.40000000
 C	9.20859028 -20.57993497 3.40000000
 C	17.84779350 -20.53682063 3.40000000
 C	-14.25794152 -20.49438733 3.40000000
 C	-5.61881108 -20.45142908 3.40000000
 C	-37.72464487 -20.40885472 3.40000000
 C	-29.08551443 -20.36589646 3.40000000
 C	11.65927825 -20.36552755 3.40000000
 C	20.29848147 -20.32241322 3.40000000
 C	-11.80725355 -20.27997992 3.40000000
 C	-3.16829466 -20.23703667 3.40000000
 C	-35.27395690 -20.19444730 3.40000000
 C	-26.63488364 -20.15149405 3.40000000
 C	14.10996622 -20.15112014 3.40000000
 C	22.74916944 -20.10800580 3.40000000
 C	-9.35673713 -20.06558751 3.40000000
 C	-0.71760669 -20.02262925 3.40000000
 C	-32.82344048 -19.98005490 3.40000000
 C	-24.18431004 -19.93709664 3.40000000
 C	16.56065419 -19.93671272 3.40000000
 C	25.19968586 -19.89361340 3.40000000
 C	-6.90604916 -19.85118010 3.40000000
 C	1.73302410 -19.80822684 3.40000000
 C	-30.37275251 -19.76564748 3.40000000
 C	-21.73362207 -19.72268922 3.40000000
 C	19.01117062 -19.72232032 3.40000000
 C	27.65037383 -19.67920598 3.40000000
 C	-4.45553273 -19.63678769 3.40000000
 C	4.18359771 -19.59382943 3.40000000
 C	-27.92206454 -19.55124006 3.40000000
 C	-19.28293410 -19.50828181 3.40000000
 C	21.46185859 -19.50791290 3.40000000
 C	30.10100462 -19.46480357 3.40000000
 C	-2.00484476 -19.42238027 3.40000000
 C	6.63428568 -19.37942202 3.40000000
 C	-25.47137657 -19.33683265 3.40000000
 C	-16.83241767 -19.29388940 3.40000000
 C	23.91237502 -19.29352050 3.40000000
 C	32.55157823 -19.25040616 3.40000000
 C	0.44584321 -19.20797286 3.40000000
 C	9.08497365 -19.16501460 3.40000000
 C	-23.02086014 -19.12244024 3.40000000
 C	-14.38172970 -19.07948198 3.40000000
 C	26.36306299 -19.07911308 3.40000000
 C	35.00226620 -19.03599874 3.40000000
 C	2.89653118 -18.99356544 3.40000000
 C	11.53549008 -18.95062219 3.40000000
 C	-20.57017217 -18.90803283 3.40000000
 C	-11.93109891 -18.86507957 3.40000000
 C	28.81375096 -18.86470566 3.40000000
 C	-35.39776934 -18.77959396 3.40000000
 C	5.34704760 -18.77917304 3.40000000
 C	13.98617805 -18.73621478 3.40000000
 C	-18.11965575 -18.69364042 3.40000000
 C	-9.48052530 -18.65068216 3.40000000
 C	31.26443893 -18.65029825 3.40000000
 C	-32.94708137 -18.56518655 3.40000000
 C	7.79773557 -18.56476562 3.40000000
 C	16.43680883 -18.52181237 3.40000000
 C	-15.66896778 -18.47923301 3.40000000
 C	-7.02983733 -18.43627475 3.40000000
 C	33.71495535 -18.43590584 3.40000000
 C	-30.49656494 -18.35079414 3.40000000
 C	10.24825200 -18.35037322 3.40000000
 C	18.88738244 -18.30741496 3.40000000
 C	-13.21827980 -18.26482559 3.40000000
 C	-4.57914936 -18.22186733 3.40000000
 C	-36.68498315 -18.17929297 3.40000000
 C	-28.04587697 -18.13638673 3.40000000
 C	12.69893997 -18.13596580 3.40000000
 C	21.33807041 -18.09300754 3.40000000
 C	-10.76759183 -18.05041817 3.40000000
 C	-2.12863294 -18.00747492 3.40000000
 C	-34.23429518 -17.96488556 3.40000000
 C	-25.59524618 -17.92198431 3.40000000
 C	15.14962794 -17.92155838 3.40000000
 C	23.78875838 -17.87860013 3.40000000
 C	-8.31707541 -17.83602577 3.40000000
 C	0.32205503 -17.79306751 3.40000000
 C	-31.78377876 -17.75049315 3.40000000
 C	-23.14467258 -17.70758690 3.40000000
 C	17.60031591 -17.70715097 3.40000000
 C	26.23927481 -17.66420772 3.40000000
 C	-5.86638744 -17.62161835 3.40000000
 C	2.77268582 -17.57866510 3.40000000
 C	-29.33309079 -17.53608574 3.40000000
 C	-20.69398461 -17.49317949 3.40000000
 C	20.05083234 -17.49275856 3.40000000
 C	28.68996278 -17.44980030 3.40000000
 C	-3.41587101 -17.40722595 3.40000000
 C	5.22325943 -17.36426769 3.40000000
 C	-26.88240282 -17.32167832 3.40000000
 C	-18.24329664 -17.27877207 3.40000000
 C	22.50152031 -17.27835115 3.40000000
 C	31.14059356 -17.23539789 3.40000000
 C	-0.96518304 -17.19281853 3.40000000
 C	7.67394740 -17.14986027 3.40000000
 C	-24.43171485 -17.10727090 3.40000000
 C	-15.79278021 -17.06437967 3.40000000
 C	24.95203673 -17.06395874 3.40000000
 C	33.59116717 -17.02100048 3.40000000
 C	1.48550493 -16.97841112 3.40000000
 C	10.12463537 -16.93545286 3.40000000
 C	-21.98119842 -16.89287850 3.40000000
 C	-13.34209224 -16.84997225 3.40000000
 C	27.40272470 -16.84955133 3.40000000
 C	36.04185514 -16.80659307 3.40000000
 C	3.93619290 -16.76400370 3.40000000
 C	12.57515179 -16.72106045 3.40000000
 C	-19.53051045 -16.67847108 3.40000000
 C	-10.89146145 -16.63556984 3.40000000
 C	29.85341267 -16.63514391 3.40000000
 C	-34.35815614 -16.55013626 3.40000000
 C	6.38670932 -16.54961129 3.40000000
 C	15.02583976 -16.50665303 3.40000000
 C	-17.07999403 -16.46407868 3.40000000
 C	-8.44088785 -16.42117243 3.40000000
 C	32.30410064 -16.42073649 3.40000000
 C	-31.90746817 -16.33572885 3.40000000
 C	8.83739729 -16.33520388 3.40000000
 C	17.47647055 -16.29225062 3.40000000
 C	-14.62930606 -16.24967126 3.40000000
 C	-5.99019988 -16.20676501 3.40000000
 C	34.75461707 -16.20634409 3.40000000
 C	-29.45695174 -16.12133644 3.40000000
 C	11.28791372 -16.12081147 3.40000000
 C	19.92704416 -16.07785321 3.40000000
 C	-12.17861809 -16.03526385 3.40000000
 C	-3.53951191 -15.99235760 3.40000000
 C	-35.64539421 -15.94988729 3.40000000
 C	-27.00626377 -15.90692903 3.40000000
 C	13.73860169 -15.90640406 3.40000000
