 C	-34.87055529 -37.39409239 3.40000000
 C	-32.51799854 -36.67484361 3.40000000
 C	-30.16560646 -35.95564518 3.40000000
 C	-32.93325701 -35.31659433 3.40000000
 C	-27.81304971 -35.23639640 3.40000000
 C	-34.31716462 -34.99709409 3.40000000
 C	-30.58070026 -34.59734555 3.40000000
 C	-25.46049296 -34.51714762 3.40000000
 C	-31.96460787 -34.27784531 3.40000000
 C	-28.22830819 -33.87814712 3.40000000
 C	-23.10793621 -33.79789884 3.40000000
 C	-29.61221580 -33.55864688 3.40000000
 C	-25.87575144 -33.15889834 3.40000000
 C	-20.75554414 -33.07870041 3.40000000
 C	-32.37986635 -32.91959604 3.40000000
 C	-27.25965905 -32.83939810 3.40000000
 C	-33.76381270 -32.60026358 3.40000000
 C	-23.52324958 -32.43966635 3.40000000
 C	-18.40298739 -32.35945163 3.40000000
 C	-30.02730960 -32.20034726 3.40000000
 C	-24.90710230 -32.12014932 3.40000000
 C	-31.41125595 -31.88101480 3.40000000
 C	-21.17080261 -31.72045113 3.40000000
 C	-16.05059531 -31.64025320 3.40000000
 C	-27.67491753 -31.48114883 3.40000000
 C	-22.55454555 -31.40090054 3.40000000
 C	-29.05886387 -31.16181637 3.40000000
 C	-18.81824586 -31.00120236 3.40000000
 C	-13.69803856 -30.92100442 3.40000000
 C	-25.32236078 -30.76190005 3.40000000
 C	-20.20215348 -30.68170211 3.40000000
 C	-31.82651442 -30.52276553 3.40000000
 C	-26.70630712 -30.44256759 3.40000000
 C	-16.46568911 -30.28195358 3.40000000
 C	-33.21042204 -30.20326527 3.40000000
 C	-11.34548181 -30.20175564 3.40000000
 C	-22.96985892 -30.04266805 3.40000000
 C	-17.84959673 -29.96245333 3.40000000
 C	-29.47395768 -29.80351675 3.40000000
 C	-24.35375037 -29.72331881 3.40000000
 C	-14.11329704 -29.56275515 3.40000000
 C	-30.85786529 -29.48401649 3.40000000
 C	-8.99292506 -29.48250686 3.40000000
 C	-20.61741195 -29.32345284 3.40000000
 C	-15.49720465 -29.24325490 3.40000000
 C	-27.12156560 -29.08431832 3.40000000
 C	-22.00119362 -29.00407003 3.40000000
 C	-11.76074029 -28.84350637 3.40000000
 C	-28.50547322 -28.76481806 3.40000000
 C	-6.64053299 -28.76330843 3.40000000
 C	-18.26485520 -28.60420406 3.40000000
 C	-13.14464790 -28.52400612 3.40000000
 C	-24.76900885 -28.36506954 3.40000000
 C	-19.64880155 -28.28487160 3.40000000
 C	-31.27312376 -28.12576723 3.40000000
 C	-9.40823843 -28.12427437 3.40000000
 C	-26.15291647 -28.04556928 3.40000000
 C	-4.28797624 -28.04405965 3.40000000
 C	-15.91229845 -27.88495528 3.40000000
 C	-32.65703138 -27.80626698 3.40000000
 C	-10.79209115 -27.80475735 3.40000000
 C	-22.41650699 -27.64583754 3.40000000
 C	-17.29624480 -27.56562282 3.40000000
 C	-28.92056701 -27.40651845 3.40000000
 C	-7.05579147 -27.40505916 3.40000000
 C	-23.80035972 -27.32632051 3.40000000
 C	-1.93558417 -27.32486122 3.40000000
 C	-13.55990638 -27.16575685 3.40000000
 C	-30.30447463 -27.08701820 3.40000000
 C	-8.43953440 -27.08550857 3.40000000
 C	-20.06406003 -26.92662233 3.40000000
 C	-14.94385273 -26.84642439 3.40000000
 C	-26.56817494 -26.68732002 3.40000000
 C	-4.70323472 -26.68581038 3.40000000
 C	-21.44780297 -26.60707173 3.40000000
 C	0.41697258 -26.60561244 3.40000000
 C	-11.20734963 -26.44650807 3.40000000
 C	-27.95208255 -26.36781977 3.40000000
 C	-6.08714233 -26.36631014 3.40000000
 C	-17.71150328 -26.20737355 3.40000000
 C	-12.59129598 -26.12717561 3.40000000
 C	-24.21561819 -25.96807124 3.40000000
 C	-2.35067797 -25.96656160 3.40000000
 C	-19.09541089 -25.88787330 3.40000000
 C	2.76952933 -25.88636366 3.40000000
 C	-30.71974602 -25.72882485 3.40000000
 C	-8.85484777 -25.72727607 3.40000000
 C	-25.59952580 -25.64857099 3.40000000
 C	-3.73458558 -25.64706136 3.40000000
 C	-15.35894653 -25.48812477 3.40000000
 C	-32.10364072 -25.40926868 3.40000000
 C	-10.23873923 -25.40792684 3.40000000
 C	-21.86311633 -25.24883924 3.40000000
 C	0.00171411 -25.24736317 3.40000000
 C	-16.74285414 -25.16862452 3.40000000
 C	5.12208608 -25.16711489 3.40000000
 C	-28.36718927 -25.00957607 3.40000000
 C	-6.50240080 -25.00806086 3.40000000
 C	-23.24696905 -24.92932221 3.40000000
 C	-1.38219350 -24.92786292 3.40000000
 C	-13.00655445 -24.76892634 3.40000000
 C	-29.75108397 -24.69001990 3.40000000
 C	-7.88618248 -24.68867806 3.40000000
 C	-19.51066937 -24.52962403 3.40000000
 C	2.35427086 -24.52811439 3.40000000
 C	-14.39046207 -24.44942609 3.40000000
 C	7.47447816 -24.44791645 3.40000000
 C	-26.01479719 -24.29037764 3.40000000
 C	-4.14984405 -24.28881208 3.40000000
 C	-20.89441230 -24.21007343 3.40000000
 C	0.97036325 -24.20861415 3.40000000
 C	-10.65399770 -24.04967756 3.40000000
 C	-27.39869189 -23.97082147 3.40000000
 C	-5.53379040 -23.96947963 3.40000000
 C	-17.15811262 -23.81037525 3.40000000
 C	4.70677272 -23.80888239 3.40000000
 C	-12.03790532 -23.73017731 3.40000000
 C	9.82703491 -23.72866768 3.40000000
 C	-23.66224044 -23.57112886 3.40000000
 C	-1.79728730 -23.56956330 3.40000000
 C	-18.54202023 -23.49087500 3.40000000
 C	3.32292000 -23.48936537 3.40000000
 C	-30.16638118 -23.33193841 3.40000000
 C	-8.30149585 -23.33044556 3.40000000
 C	-25.04613514 -23.25157269 3.40000000
 C	-3.18123365 -23.25023085 3.40000000
 C	-14.80555587 -23.09112647 3.40000000
 C	7.05921968 -23.08966718 3.40000000
 C	-31.55028879 -23.01243817 3.40000000
 C	-9.68534857 -23.01092853 3.40000000
 C	12.17942698 -23.00946924 3.40000000
 C	-21.30973858 -22.85189687 3.40000000
 C	0.55510477 -22.85036487 3.40000000
 C	-16.18946348 -22.77162622 3.40000000
 C	5.67547675 -22.77011659 3.40000000
 C	-27.81382443 -22.61268964 3.40000000
 C	-5.94904888 -22.61123035 3.40000000
 C	-22.69357839 -22.53232391 3.40000000
 C	-0.82884158 -22.53103242 3.40000000
 C	-12.45316379 -22.37192804 3.40000000
 C	9.41177643 -22.37041840 3.40000000
 C	-29.19773204 -22.29318939 3.40000000
 C	-7.33279182 -22.29167975 3.40000000
 C	14.53198373 -22.29022047 3.40000000
 C	-18.95729162 -22.13268165 3.40000000
 C	2.90766152 -22.13111609 3.40000000
 C	-13.83707141 -22.05242779 3.40000000
 C	8.02786882 -22.05091816 3.40000000
 C	-25.46143235 -21.89349120 3.40000000
 C	-3.59649213 -21.89198157 3.40000000
 C	-20.34102164 -21.81307513 3.40000000
 C	1.52371517 -21.81178364 3.40000000
 C	-10.10060704 -21.65267926 3.40000000
 C	11.76433318 -21.65116962 3.40000000
 C	-26.84533997 -21.57399096 3.40000000
 C	-4.98039974 -21.57248132 3.40000000
 C	16.88454048 -21.57097169 3.40000000
 C	-16.60473487 -21.41343288 3.40000000
 C	5.26016338 -21.41188410 3.40000000
 C	-11.48451466 -21.33317901 3.40000000
 C	10.38042557 -21.33166938 3.40000000
 C	-23.10887560 -21.17424242 3.40000000
 C	-1.24393538 -21.17273279 3.40000000
 C	-17.98862957 -21.09387670 3.40000000
 C	3.87627192 -21.09253486 3.40000000
 C	-29.61299052 -20.93494012 3.40000000
 C	-7.74810518 -20.93344727 3.40000000
 C	14.11672526 -20.93197119 3.40000000
 C	-24.49278322 -20.85474218 3.40000000
 C	-2.62784299 -20.85323254 3.40000000
 C	19.23709723 -20.85172291 3.40000000
 C	-14.25217812 -20.69418410 3.40000000
 C	7.61261034 -20.69266888 3.40000000
 C	-30.99689813 -20.61543987 3.40000000
 C	-9.13195791 -20.61393023 3.40000000
 C	12.73281764 -20.61247095 3.40000000
 C	-20.75637375 -20.45501043 3.40000000
 C	1.10845669 -20.45353436 3.40000000
 C	-15.63607282 -20.37462792 3.40000000
 C	6.22882867 -20.37328608 3.40000000
 C	-27.26043377 -20.21569134 3.40000000
 C	-5.39565822 -20.21423205 3.40000000
 C	16.46928201 -20.21272241 3.40000000
 C	-22.14022647 -20.13549340 3.40000000
 C	-0.27545092 -20.13403411 3.40000000
 C	21.58948931 -20.13252448 3.40000000
 C	-11.89978604 -19.97498566 3.40000000
 C	9.96516709 -19.97342010 3.40000000
 C	-28.64434138 -19.89619109 3.40000000
 C	-6.77940116 -19.89468145 3.40000000
 C	15.08537439 -19.89322217 3.40000000
 C	-18.40392678 -19.73579521 3.40000000
 C	3.46101344 -19.73428558 3.40000000
 C	-13.28368074 -19.65542949 3.40000000
 C	8.58122075 -19.65408765 3.40000000
 C	-24.90804169 -19.49649291 3.40000000
 C	-3.04310147 -19.49498328 3.40000000
 C	18.82178386 -19.49349042 3.40000000
 C	-19.78766972 -19.41624462 3.40000000
 C	2.07710583 -19.41478533 3.40000000
 C	23.94204606 -19.41327570 3.40000000
 C	-9.54722929 -19.25573689 3.40000000
 C	12.31772384 -19.25417133 3.40000000
 C	-26.29194930 -19.17699266 3.40000000
 C	-4.42700908 -19.17548302 3.40000000
 C	17.43793114 -19.17397339 3.40000000
 C	-16.05137003 -19.01654644 3.40000000
 C	5.81351530 -19.01505359 3.40000000
 C	-10.93112399 -18.93618071 3.40000000
 C	10.93377749 -18.93483887 3.40000000
 C	-22.55548494 -18.77724413 3.40000000
 C	-0.69054472 -18.77573450 3.40000000
 C	21.17423083 -18.77427520 3.40000000
 C	-17.43527764 -18.69704619 3.40000000
 C	4.42966258 -18.69553655 3.40000000
 C	26.29443813 -18.69407727 3.40000000
 C	-29.05959986 -18.53794182 3.40000000
 C	-7.19472744 -18.53650489 3.40000000
 C	14.67011592 -18.53497289 3.40000000
 C	-23.93939255 -18.45774388 3.40000000
 C	-2.07445233 -18.45623424 3.40000000
 C	19.79048789 -18.45472461 3.40000000
 C	-13.69881328 -18.29729766 3.40000000
 C	8.16596227 -18.29583837 3.40000000
 C	-30.44354620 -18.21860936 3.40000000
 C	-8.57856724 -18.21693194 3.40000000
 C	13.28616957 -18.21564044 3.40000000
