 C	2.94249564 -23.96470389 3.40000000
 C	-9.26572435 -25.46368482 3.40000000
 C	15.15082959 -22.46570896 3.40000000
 C	-11.70743672 -25.76348940 3.40000000
 C	17.59242801 -22.16591837 3.40000000
 C	-14.14903514 -26.06327999 3.40000000
 C	20.03414038 -21.86611379 3.40000000
 C	-16.59069054 -26.36307757 3.40000000
 C	22.47585274 -21.56630921 3.40000000
 C	-19.03240290 -26.66288216 3.40000000
 C	24.91739419 -21.26652562 3.40000000
 C	0.50089722 -24.26449448 3.40000000
 C	-21.47394435 -26.96266575 3.40000000
 C	27.35910656 -20.96672104 3.40000000
 C	5.38420801 -23.66489931 3.40000000
 C	-23.91565672 -27.26247033 3.40000000
 C	29.80076195 -20.66692345 3.40000000
 C	-26.35736909 -27.56227491 3.40000000
 C	32.24236037 -20.36713286 3.40000000
 C	-28.79896751 -27.86206550 3.40000000
 C	-31.24062290 -28.16186309 3.40000000
 C	-33.68233527 -28.46166767 3.40000000
 C	-36.12387672 -28.76145126 3.40000000
 C	-1.94075817 -24.56429206 3.40000000
 C	7.82592038 -23.36509473 3.40000000
 C	-4.38247054 -24.86409664 3.40000000
 C	10.26746183 -23.06531113 3.40000000
 C	-6.82401199 -25.16388024 3.40000000
 C	12.70917419 -22.76550655 3.40000000
 C	-8.13141430 -24.60892089 3.40000000
 C	13.84348425 -21.91074262 3.40000000
 C	1.63526425 -23.40972355 3.40000000
 C	4.07680570 -23.10993995 3.40000000
 C	-10.57312667 -24.90872547 3.40000000
 C	16.28519661 -21.61093804 3.40000000
 C	-13.01466811 -25.20850906 3.40000000
 C	18.72673806 -21.31115444 3.40000000
 C	-15.45638048 -25.50831364 3.40000000
 C	21.16845043 -21.01134986 3.40000000
 C	-17.89809285 -25.80811822 3.40000000
 C	23.60999188 -20.71156627 3.40000000
 C	-20.33980521 -26.10792280 3.40000000
 C	26.05170425 -20.41176169 3.40000000
 C	-22.78134666 -26.40770640 3.40000000
 C	28.49341661 -20.11195710 3.40000000
 C	-25.22305903 -26.70751098 3.40000000
 C	30.93512898 -19.81215252 3.40000000
 C	-27.66460048 -27.00729457 3.40000000
 C	33.37667043 -19.51236893 3.40000000
 C	-30.10631285 -27.30709916 3.40000000
 C	-32.54802521 -27.60690374 3.40000000
 C	-0.80644812 -23.70952813 3.40000000
 C	6.51851807 -22.81013537 3.40000000
 C	-34.98973758 -27.90670832 3.40000000
 C	-37.43127903 -28.20649191 3.40000000
 C	-3.24816048 -24.00933271 3.40000000
 C	8.96005952 -22.51035178 3.40000000
 C	-5.68987285 -24.30913729 3.40000000
 C	11.40177188 -22.21054720 3.40000000
 C	-8.30450655 -23.19919759 3.40000000
 C	13.67039199 -20.50101932 3.40000000
 C	1.46211502 -22.00000725 3.40000000
 C	3.90371344 -21.70021666 3.40000000
 C	-10.74621892 -23.49900217 3.40000000
