 C	9.82052391 -22.05725783 3.40000000
 C	-1.41599533 -27.06007852 3.40000000
 C	21.05714802 -17.05439045 3.40000000
 C	-3.66336210 -28.06067067 3.40000000
 C	23.30440992 -16.05384499 3.40000000
 C	-5.91062400 -29.06121613 3.40000000
 C	25.55177669 -15.05325284 3.40000000
 C	-8.15793833 -30.06178494 3.40000000
 C	27.79914346 -14.05266069 3.40000000
 C	-10.40530511 -31.06237710 3.40000000
 C	30.04635292 -13.05213857 3.40000000
 C	7.57326201 -23.05780329 3.40000000
 C	-12.65251457 -32.06289921 3.40000000
 C	32.29371969 -12.05154642 3.40000000
 C	12.06789068 -21.05666568 3.40000000
 C	-14.89988134 -33.06349136 3.40000000
 C	34.54103403 -11.05097761 3.40000000
 C	-17.14724811 -34.06408352 3.40000000
 C	36.78829592 -10.05043215 3.40000000
 C	-19.39451001 -35.06462898 3.40000000
 C	-21.64182434 -36.06519778 3.40000000
 C	-23.88919111 -37.06578994 3.40000000
 C	-26.13640057 -38.06631205 3.40000000
 C	5.32594768 -24.05837210 3.40000000
 C	14.31525745 -20.05607353 3.40000000
 C	3.07858090 -25.05896425 3.40000000
 C	16.56246691 -19.05555141 3.40000000
 C	0.83137144 -26.05948637 3.40000000
 C	18.80983368 -18.05495926 3.40000000
 C	-0.58115802 -25.91102354 3.40000000
 C	19.64467100 -16.90590428 3.40000000
 C	8.40815176 -21.90872497 3.40000000
 C	10.65536122 -20.90820286 3.40000000
 C	-2.82852479 -26.91161570 3.40000000
 C	21.89203777 -15.90531213 3.40000000
 C	-5.07573425 -27.91213781 3.40000000
 C	24.13924723 -14.90479002 3.40000000
 C	-7.32310102 -28.91272996 3.40000000
 C	26.38661400 -13.90419786 3.40000000
 C	-9.57046779 -29.91332212 3.40000000
 C	28.63382346 -12.90367575 3.40000000
 C	-11.81783456 -30.91391427 3.40000000
 C	30.88119023 -11.90308360 3.40000000
 C	-14.06504402 -31.91443638 3.40000000
 C	33.12855701 -10.90249144 3.40000000
 C	-16.31241080 -32.91502854 3.40000000
