 C	-37.99697219 -34.21262743 3.40000000
 C	-35.59068097 -33.70115444 3.40000000
 C	-33.18455818 -33.18971725 3.40000000
 C	-30.77826696 -32.67824427 3.40000000
 C	-35.88598004 -32.31188155 3.40000000
 C	-28.37197574 -32.16677128 3.40000000
 C	-37.23677518 -31.87298161 3.40000000
 C	-33.47968881 -31.80040856 3.40000000
 C	-25.96568451 -31.65529829 3.40000000
 C	-34.83048396 -31.36150862 3.40000000
 C	-31.07356603 -31.28897138 3.40000000
 C	-23.55956173 -31.14386110 3.40000000
 C	-32.42436117 -30.85007143 3.40000000
 C	-28.66727481 -30.77749839 3.40000000
 C	-21.15327051 -30.63238811 3.40000000
 C	-30.01806995 -30.33859844 3.40000000
 C	-26.26103973 -30.26603733 3.40000000
 C	-18.74714772 -30.12095093 3.40000000
 C	-35.12578303 -29.97223573 3.40000000
 C	-27.61177873 -29.82712546 3.40000000
 C	-23.85486080 -29.75458821 3.40000000
 C	-16.34085650 -29.60947794 3.40000000
 C	-36.47663138 -29.53349956 3.40000000
 C	-32.71949180 -29.46076274 3.40000000
 C	-25.20548750 -29.31565247 3.40000000
 C	-21.44856957 -29.24311523 3.40000000
 C	-13.93456528 -29.09800495 3.40000000
 C	-34.07034016 -29.02202657 3.40000000
 C	-30.31336902 -28.94932556 3.40000000
 C	-22.79936472 -28.80421528 3.40000000
 C	-19.04227835 -28.73164224 3.40000000
 C	-11.52827405 -28.58653196 3.40000000
 C	-31.66421738 -28.51058939 3.40000000
 C	-27.90707780 -28.43785257 3.40000000
 C	-20.39307350 -28.29274229 3.40000000
 C	-16.63615557 -28.22020505 3.40000000
 C	-9.12215127 -28.07509477 3.40000000
 C	-29.25792615 -27.99911640 3.40000000
 C	-25.50084272 -27.92639151 3.40000000
 C	-17.98695071 -27.78130511 3.40000000
 C	-14.22986434 -27.70873206 3.40000000
 C	-34.36563923 -27.63275368 3.40000000
 C	-6.71586004 -27.56362179 3.40000000
 C	-26.85163493 -27.48764341 3.40000000
 C	-23.09466379 -27.41494239 3.40000000
 C	-15.58065949 -27.26983212 3.40000000
 C	-11.82362927 -27.19727101 3.40000000
