 C	3.77705926 -23.84741362 3.40000000
 C	-8.37141014 -25.77154215 3.40000000
 C	15.92564205 -21.92326713 3.40000000
 C	-10.80117205 -26.15637863 3.40000000
 C	18.35529057 -21.53844861 3.40000000
 C	-13.23082058 -26.54119715 3.40000000
 C	20.78505248 -21.15361213 3.40000000
 C	-15.66052580 -26.92602465 3.40000000
 C	23.21481440 -20.76877565 3.40000000
 C	-18.09028771 -27.31086113 3.40000000
 C	25.64440623 -20.38396611 3.40000000
 C	1.34741073 -24.23223214 3.40000000
 C	-20.51987954 -27.69567067 3.40000000
 C	28.07416814 -19.99912963 3.40000000
 C	6.20682117 -23.46257714 3.40000000
 C	-22.94964145 -28.08050715 3.40000000
 C	30.50387336 -19.61430213 3.40000000
 C	-25.37940337 -28.46534363 3.40000000
 C	32.93352189 -19.22948360 3.40000000
 C	-27.80905189 -28.85016216 3.40000000
 C	-30.23875711 -29.23498966 3.40000000
 C	-32.66851902 -29.61982614 3.40000000
 C	-35.09811086 -30.00463568 3.40000000
 C	-1.08229449 -24.61705964 3.40000000
 C	8.63658308 -23.07774066 3.40000000
 C	-3.51205640 -25.00189612 3.40000000
 C	11.06617492 -22.69293112 3.40000000
 C	-5.94164823 -25.38670567 3.40000000
 C	13.49593683 -22.30809464 3.40000000
 C	-7.26762191 -24.87771206 3.40000000
 C	14.59972506 -21.41426455 3.40000000
 C	2.45125566 -23.33839308 3.40000000
 C	4.88084749 -22.95358354 3.40000000
 C	-9.69738382 -25.26254854 3.40000000
 C	17.02948697 -21.02942807 3.40000000
 C	-12.12697565 -25.64735809 3.40000000
 C	19.45907881 -20.64461853 3.40000000
 C	-14.55673756 -26.03219457 3.40000000
 C	21.88884072 -20.25978205 3.40000000
 C	-16.98649948 -26.41703105 3.40000000
 C	24.31843255 -19.87497251 3.40000000
 C	-19.41626139 -26.80186753 3.40000000
 C	26.74819446 -19.49013602 3.40000000
 C	-21.84585322 -27.18667707 3.40000000
 C	29.17795637 -19.10529954 3.40000000
 C	-24.27561513 -27.57151355 3.40000000
 C	31.60771829 -18.72046306 3.40000000
 C	-26.70520696 -27.95632309 3.40000000
 C	34.03731012 -18.33565352 3.40000000
 C	-29.13496888 -28.34115957 3.40000000
 C	-31.56473079 -28.72599605 3.40000000
 C	0.02149375 -23.72322956 3.40000000
 C	7.31060941 -22.56874706 3.40000000
 C	-33.99449270 -29.11083254 3.40000000
 C	-36.42408453 -29.49564208 3.40000000
 C	-2.40826816 -24.10806604 3.40000000
 C	9.74020124 -22.18393751 3.40000000
 C	-4.83803008 -24.49290252 3.40000000
 C	12.16996315 -21.79910103 3.40000000
 C	-7.48980735 -23.47488837 3.40000000
 C	14.37753962 -20.01144086 3.40000000
 C	2.22901352 -21.93557836 3.40000000
 C	4.65866205 -21.55075984 3.40000000
 C	-9.91956927 -23.85972485 3.40000000
 C	16.80724483 -19.62661335 3.40000000
 C	-12.34921779 -24.24454337 3.40000000
 C	19.23689336 -19.24179483 3.40000000
 C	-14.77892301 -24.62937087 3.40000000
 C	21.66665527 -18.85695835 3.40000000
 C	-17.20868492 -25.01420735 3.40000000
 C	24.09641718 -18.47212187 3.40000000
 C	-19.63827675 -25.39901689 3.40000000
 C	26.52600902 -18.08731233 3.40000000
 C	-22.06803867 -25.78385337 3.40000000
 C	28.95577093 -17.70247585 3.40000000
 C	-24.49780058 -26.16868985 3.40000000
 C	31.38547615 -17.31764835 3.40000000
 C	-26.92744910 -26.55350838 3.40000000
 C	33.81512467 -16.93282983 3.40000000
 C	-29.35715432 -26.93833588 3.40000000
 C	-31.78691624 -27.32317236 3.40000000
 C	-0.20069170 -22.32040586 3.40000000
 C	7.08842396 -21.16592336 3.40000000
 C	-34.21650807 -27.70798190 3.40000000
 C	-36.64626998 -28.09281838 3.40000000
 C	-2.63045361 -22.70524234 3.40000000
 C	9.51818587 -20.78108688 3.40000000
 C	-5.06004544 -23.09005189 3.40000000
 C	11.94777770 -20.39627734 3.40000000
 C	3.33279674 -21.04190006 3.40000000
 C	-8.81584274 -22.96605553 3.40000000
 C	15.48126614 -19.11777154 3.40000000
 C	-11.24543457 -23.35086507 3.40000000
 C	17.91102805 -18.73293505 3.40000000
 C	-13.67519649 -23.73570155 3.40000000
 C	20.34061988 -18.34812551 3.40000000
 C	-16.10495840 -24.12053803 3.40000000
 C	22.77038180 -17.96328903 3.40000000
 C	25.19997363 -17.57847949 3.40000000
 C	-18.53472031 -24.50537451 3.40000000
 C	0.90303483 -21.42673654 3.40000000
 C	5.76238857 -20.65709052 3.40000000
 C	-20.96431214 -24.89018405 3.40000000
 C	27.62973554 -17.19364301 3.40000000
 C	-23.39407406 -25.27502053 3.40000000
 C	30.05949745 -16.80880653 3.40000000
 C	-25.82366589 -25.65983008 3.40000000
 C	32.48925936 -16.42397005 3.40000000
 C	-28.25342780 -26.04466656 3.40000000
 C	34.91885120 -16.03916050 3.40000000
 C	-30.68318971 -26.42950304 3.40000000
 C	-33.11295162 -26.81433952 3.40000000
 C	-35.54254346 -27.19914906 3.40000000
 C	-1.52672709 -21.81157302 3.40000000
 C	8.19215048 -20.27225404 3.40000000
 C	10.62174231 -19.88744450 3.40000000
 C	-3.95648900 -22.19640950 3.40000000
 C	-6.38608083 -22.58121905 3.40000000
 C	13.05150423 -19.50260802 3.40000000
 C	3.11055460 -19.63908535 3.40000000
 C	-9.03802819 -21.56323183 3.40000000
 C	15.25908069 -17.71494784 3.40000000
 C	-11.46767671 -21.94805035 3.40000000
 C	17.68878591 -17.33012034 3.40000000
 C	-13.89738193 -22.33287785 3.40000000
 C	20.11843444 -16.94530182 3.40000000
 C	-16.32714385 -22.71771433 3.40000000
 C	22.54819635 -16.56046534 3.40000000
 C	-18.75673568 -23.10252388 3.40000000
 C	24.97795826 -16.17562885 3.40000000
 C	0.68084938 -20.02391285 3.40000000
 C	5.54020312 -19.25426682 3.40000000
 C	-21.18649759 -23.48736036 3.40000000
 C	27.40755009 -15.79081931 3.40000000
 C	-23.61625950 -23.87219684 3.40000000
 C	29.83731201 -15.40598283 3.40000000
 C	-26.04590803 -24.25701536 3.40000000
 C	32.26701722 -15.02115533 3.40000000
 C	-28.47561325 -24.64184286 3.40000000
 C	34.69666575 -14.63633681 3.40000000
 C	-30.90537516 -25.02667934 3.40000000
 C	-33.33496699 -25.41148888 3.40000000
 C	-35.76472890 -25.79632536 3.40000000
 C	-1.74891253 -20.40874933 3.40000000
 C	7.96996504 -18.86943034 3.40000000
 C	-4.17850436 -20.79355887 3.40000000
 C	10.39972695 -18.48459386 3.40000000
 C	-6.60826628 -21.17839535 3.40000000
 C	12.82931878 -18.09978432 3.40000000
 C	-7.93423996 -20.66940174 3.40000000
 C	13.93310701 -17.20595423 3.40000000
 C	1.78463761 -19.13008275 3.40000000
 C	4.21439952 -18.74524627 3.40000000
 C	-10.36383179 -21.05421128 3.40000000
 C	16.36286893 -16.82111775 3.40000000
 C	-12.79359370 -21.43904776 3.40000000
 C	18.79263084 -16.43628127 3.40000000
 C	-15.22335561 -21.82388424 3.40000000
 C	21.22222267 -16.05147172 3.40000000
 C	-17.65311753 -22.20872072 3.40000000
 C	23.65198458 -15.66663524 3.40000000
 C	-20.08270936 -22.59353026 3.40000000
 C	26.08157641 -15.28182570 3.40000000
 C	-22.51247127 -22.97836674 3.40000000
 C	28.51133833 -14.89698922 3.40000000
 C	-24.94206310 -23.36317629 3.40000000
 C	30.94110024 -14.51215274 3.40000000
 C	-27.37182501 -23.74801277 3.40000000
 C	33.37086215 -14.12731626 3.40000000
 C	-29.80158693 -24.13284925 3.40000000
 C	35.80045398 -13.74250672 3.40000000
 C	-32.23134884 -24.51768573 3.40000000
 C	-0.64512430 -19.51491923 3.40000000
 C	6.64399136 -18.36043673 3.40000000
 C	-34.66094067 -24.90249527 3.40000000
 C	-3.07488621 -19.89975571 3.40000000
 C	9.07375327 -17.97560025 3.40000000
 C	-5.50447804 -20.28456526 3.40000000
 C	11.50334510 -17.59079071 3.40000000
 C	-8.15642540 -19.26657805 3.40000000
 C	13.71092157 -15.80313054 3.40000000
 C	1.56245217 -17.72725907 3.40000000
 C	3.99215739 -17.34243157 3.40000000
 C	-10.58607393 -19.65139657 3.40000000
 C	16.14068348 -15.41829406 3.40000000
 C	-13.01577915 -20.03622407 3.40000000
 C	18.57038870 -15.03346656 3.40000000
 C	-15.44554106 -20.42106055 3.40000000
 C	21.00003722 -14.64864804 3.40000000
 C	-17.87513289 -20.80587010 3.40000000
 C	23.42979914 -14.26381156 3.40000000
 C	-20.30489480 -21.19070658 3.40000000
 C	25.85956105 -13.87897508 3.40000000
 C	-22.73465671 -21.57554306 3.40000000
 C	28.28915288 -13.49416553 3.40000000
 C	-25.16430524 -21.96036158 3.40000000
 C	30.71891479 -13.10932905 3.40000000
 C	-27.59401046 -22.34518908 3.40000000
 C	33.14862001 -12.72450155 3.40000000
 C	-30.02377237 -22.73002556 3.40000000
 C	35.57826854 -12.33968303 3.40000000
 C	-32.45336420 -23.11483510 3.40000000
 C	-0.86730974 -18.11209555 3.40000000
 C	6.42180591 -16.95761304 3.40000000
 C	-34.88312611 -23.49967159 3.40000000
 C	-3.29690158 -18.49690509 3.40000000
 C	8.85156782 -16.57277656 3.40000000
 C	-5.72666349 -18.88174157 3.40000000
 C	11.28132974 -16.18794008 3.40000000
 C	2.66624040 -16.83342897 3.40000000
 C	-9.48222900 -18.75755750 3.40000000
 C	14.81470980 -14.90930045 3.40000000
 C	-11.91199091 -19.14239398 3.40000000
 C	17.24447171 -14.52446397 3.40000000
 C	-14.34175283 -19.52723046 3.40000000
 C	19.67423363 -14.13962749 3.40000000
 C	-16.77151474 -19.91206694 3.40000000
 C	22.10382546 -13.75481794 3.40000000
 C	-19.20110657 -20.29687648 3.40000000
 C	24.53358737 -13.36998146 3.40000000
 C	0.23647849 -17.21826545 3.40000000
 C	-21.63086848 -20.68171297 3.40000000
 C	26.96317920 -12.98517192 3.40000000
 C	5.09600231 -16.44859249 3.40000000
 C	-24.06046031 -21.06652251 3.40000000
 C	29.39294111 -12.60033544 3.40000000
 C	-26.49022223 -21.45135899 3.40000000
 C	31.82270303 -12.21549896 3.40000000
 C	-28.91998414 -21.83619547 3.40000000
 C	34.25246494 -11.83066248 3.40000000
 C	-31.34974605 -22.22103195 3.40000000
 C	36.68205677 -11.44585294 3.40000000
 C	-33.77933788 -22.60584149 3.40000000
 C	-2.19328342 -17.60310193 3.40000000
 C	7.52559414 -16.06378295 3.40000000
 C	-4.62287526 -17.98791148 3.40000000
 C	9.95535606 -15.67894647 3.40000000
 C	-7.05263717 -18.37274796 3.40000000
 C	12.38494789 -15.29413693 3.40000000
 C	2.44403438 -15.43065886 3.40000000
 C	-9.70449171 -17.35479637 3.40000000
 C	14.59250378 -13.50653034 3.40000000
 C	-12.13419693 -17.73962387 3.40000000
 C	17.02226570 -13.12169386 3.40000000
 C	-14.56395884 -18.12446035 3.40000000
 C	19.45197092 -12.73686636 3.40000000
 C	-16.99355067 -18.50926990 3.40000000
 C	21.88161944 -12.35204783 3.40000000
 C	-19.42331259 -18.89410638 3.40000000
 C	24.31138135 -11.96721135 3.40000000
 C	-21.85307450 -19.27894286 3.40000000
 C	0.01427247 -15.81549535 3.40000000
 C	26.74114327 -11.58237487 3.40000000
 C	4.87373960 -15.04583136 3.40000000
 C	-24.28272302 -19.66376138 3.40000000
 C	29.17073510 -11.19756533 3.40000000
 C	-26.71242824 -20.04858888 3.40000000
 C	31.60049701 -10.81272885 3.40000000
 C	-29.14219015 -20.43342536 3.40000000
 C	34.03020223 -10.42790135 3.40000000
 C	-31.57178199 -20.81823490 3.40000000
 C	36.45985075 -10.04308283 3.40000000
 C	-34.00154390 -21.20307138 3.40000000
 C	-2.41531936 -16.20030489 3.40000000
 C	7.30338813 -14.66101284 3.40000000
 C	-4.84508127 -16.58514137 3.40000000
 C	9.73315004 -14.27617636 3.40000000
 C	-7.27484318 -16.96997785 3.40000000
 C	12.16291195 -13.89133988 3.40000000
 C	-8.60062621 -16.46090372 3.40000000
 C	13.26655068 -12.99748315 3.40000000
 C	1.11808128 -14.92161167 3.40000000
 C	3.54784319 -14.53677519 3.40000000
 C	-11.03038813 -16.84574020 3.40000000
 C	15.69631259 -12.61264667 3.40000000
 C	-13.46015004 -17.23057668 3.40000000
