 C	9.43407597 -22.22529018 3.40000000
 C	-1.88804315 -27.03124461 3.40000000
 C	20.75630076 -17.41929089 3.40000000
 C	-4.15253038 -27.99246241 3.40000000
 C	23.02068231 -16.45811795 3.40000000
 C	-6.41691194 -28.95363536 3.40000000
 C	25.28516954 -15.49690015 3.40000000
 C	-8.68134633 -29.91483073 3.40000000
 C	27.54965677 -14.53568235 3.40000000
 C	-10.94583356 -30.87604853 3.40000000
 C	29.81398549 -13.57453183 3.40000000
 C	7.16969441 -23.18646313 3.40000000
 C	-13.21016227 -31.83719905 3.40000000
 C	32.07847272 -12.61331403 3.40000000
 C	11.69856319 -21.26407238 3.40000000
 C	-15.47464950 -32.79841685 3.40000000
 C	34.34290711 -11.65211866 3.40000000
 C	-17.73913673 -33.75963465 3.40000000
 C	36.60728866 -10.69094572 3.40000000
 C	-20.00351829 -34.72080759 3.40000000
 C	-22.26795268 -35.68200296 3.40000000
 C	-24.53243991 -36.64322076 3.40000000
 C	-26.79676862 -37.60437128 3.40000000
 C	4.90526002 -24.14765850 3.40000000
 C	13.96305042 -20.30285458 3.40000000
 C	2.64077279 -25.10887630 3.40000000
 C	16.22737914 -19.34170407 3.40000000
 C	0.37644407 -26.07002681 3.40000000
 C	18.49186637 -18.38048627 3.40000000
 C	-1.03327922 -25.89693456 3.40000000
 C	19.34663031 -17.24617621 3.40000000
 C	8.02451119 -22.05213065 3.40000000
 C	10.28883990 -21.09098013 3.40000000
 C	-3.29776645 -26.85815236 3.40000000
 C	21.61111753 -16.28495841 3.40000000
 C	-5.56209516 -27.81930288 3.40000000
 C	23.87544625 -15.32380790 3.40000000
 C	-7.82658239 -28.78052068 3.40000000
 C	26.13993348 -14.36259010 3.40000000
 C	-10.09106962 -29.74173848 3.40000000
 C	28.40426220 -13.40143958 3.40000000
 C	-12.35555685 -30.70295628 3.40000000
 C	30.66874943 -12.44022178 3.40000000
 C	-14.61988556 -31.66410680 3.40000000
 C	32.93323665 -11.47900398 3.40000000
 C	-16.88437279 -32.62532460 3.40000000
 C	35.19772388 -10.51778618 3.40000000
 C	-19.14870151 -33.58647511 3.40000000
 C	37.46205260 -9.55663567 3.40000000
 C	-21.41318874 -34.54769291 3.40000000
 C	-23.67767597 -35.50891071 3.40000000
 C	5.76002396 -23.01334845 3.40000000
 C	12.55332713 -20.12976233 3.40000000
 C	-25.94216320 -36.47012851 3.40000000
 C	-28.20649191 -37.43127903 3.40000000
 C	3.49553673 -23.97456625 3.40000000
 C	14.81765585 -19.16861181 3.40000000
 C	1.23104950 -24.93578405 3.40000000
 C	17.08214308 -18.20739401 3.40000000
 C	-1.58823857 -24.58953225 3.40000000
 C	18.79167095 -15.93877390 3.40000000
 C	7.46949899 -20.74475076 3.40000000
 C	9.73388055 -19.78357782 3.40000000
 C	-3.85272580 -25.55075005 3.40000000
 C	21.05610534 -14.97757853 3.40000000
 C	-6.11710736 -26.51192299 3.40000000
 C	23.32048689 -14.01640558 3.40000000
 C	-8.38154175 -27.47311837 3.40000000
 C	25.58497412 -13.05518778 3.40000000
 C	-10.64602898 -28.43433617 3.40000000
 C	27.84946135 -12.09396998 3.40000000
 C	-12.91035769 -29.39548668 3.40000000
 C	30.11379007 -11.13281947 3.40000000
 C	-15.17484492 -30.35670448 3.40000000
 C	32.37827730 -10.17160167 3.40000000
 C	-17.43933215 -31.31792228 3.40000000
 C	34.64271169 -9.21040630 3.40000000
 C	-19.70371370 -32.27909523 3.40000000
 C	36.90709324 -8.24923335 3.40000000
 C	-21.96814810 -33.24029060 3.40000000
 C	-24.23263532 -34.20150840 3.40000000
 C	5.20506460 -21.70594613 3.40000000
 C	11.99836777 -18.82236002 3.40000000
 C	-26.49696404 -35.16265891 3.40000000
 C	-28.76145127 -36.12387671 3.40000000
 C	2.94057737 -22.66716393 3.40000000
 C	14.26285500 -17.86114222 3.40000000
 C	0.67624866 -23.62831445 3.40000000
 C	16.52718372 -16.89999170 3.40000000
 C	8.32429478 -19.61058920 3.40000000
 C	-2.99798285 -24.41661091 3.40000000
 C	19.64641390 -14.80463477 3.40000000
 C	-5.26231157 -25.37776143 3.40000000
 C	21.91090113 -13.84341697 3.40000000
 C	-7.52679880 -26.33897923 3.40000000
 C	24.17522985 -12.88226645 3.40000000
 C	-9.79128602 -27.30019703 3.40000000
 C	26.43971708 -11.92104865 3.40000000
 C	28.70404579 -10.95989813 3.40000000
 C	-12.05577325 -28.26141483 3.40000000
 C	6.05980755 -20.57180700 3.40000000
 C	10.58862350 -18.64943868 3.40000000
 C	-14.32010197 -29.22256535 3.40000000
 C	30.96853302 -9.99868033 3.40000000
 C	-16.58458920 -30.18378315 3.40000000
 C	33.23302025 -9.03746253 3.40000000
 C	-18.84891791 -31.14493366 3.40000000
 C	35.49750748 -8.07624473 3.40000000
 C	-21.11340514 -32.10615146 3.40000000
 C	37.76183620 -7.11509422 3.40000000
 C	-23.37789237 -33.06736926 3.40000000
 C	-25.64237960 -34.02858706 3.40000000
 C	-27.90670832 -34.98973758 3.40000000
 C	3.79532032 -21.53302480 3.40000000
 C	12.85311073 -17.68822088 3.40000000
 C	15.11743944 -16.72707037 3.40000000
 C	1.53083310 -22.49424260 3.40000000
 C	-0.73349562 -23.45539311 3.40000000
 C	17.38192667 -15.76585257 3.40000000
 C	7.76928259 -18.30320931 3.40000000
