 C	7.86073716 -22.82923836 3.40000000
 C	-3.76904828 -26.83369463 3.40000000
 C	19.49063115 -18.82474473 3.40000000
 C	-6.09507050 -27.63460831 3.40000000
 C	21.81654482 -18.02386842 3.40000000
 C	-8.42098417 -28.43548461 3.40000000
 C	24.14256703 -17.22295474 3.40000000
 C	-10.74695211 -29.23637960 3.40000000
 C	26.46858925 -16.42204107 3.40000000
 C	-13.07297433 -30.03729328 3.40000000
 C	28.79444864 -15.62118345 3.40000000
 C	5.53482349 -23.63011467 3.40000000
 C	-15.39883372 -30.83815089 3.40000000
 C	31.12047086 -14.82026977 3.40000000
 C	10.18675937 -22.02832469 3.40000000
 C	-17.72485594 -31.63906457 3.40000000
 C	33.44643880 -14.01937478 3.40000000
 C	-20.05087815 -32.43997825 3.40000000
 C	35.77235247 -13.21849848 3.40000000
 C	-22.37679182 -33.24085455 3.40000000
 C	-24.70275977 -34.04174954 3.40000000
 C	-27.02878198 -34.84266322 3.40000000
 C	-29.35464138 -35.64352083 3.40000000
 C	3.20885555 -24.43100966 3.40000000
 C	12.51278159 -21.22741101 3.40000000
 C	0.88283333 -25.23192334 3.40000000
 C	14.83864099 -20.42655339 3.40000000
 C	-1.44302607 -26.03278095 3.40000000
 C	17.16466320 -19.62563972 3.40000000
 C	-2.83724104 -25.76177302 3.40000000
 C	18.09647045 -18.55371810 3.40000000
 C	6.46668501 -22.55817437 3.40000000
 C	8.79254440 -21.75731675 3.40000000
 C	-5.16326325 -26.56268669 3.40000000
 C	20.42249266 -17.75280443 3.40000000
 C	-7.48912265 -27.36354431 3.40000000
 C	22.74835206 -16.95194681 3.40000000
 C	-9.81514486 -28.16445799 3.40000000
 C	25.07437428 -16.15103313 3.40000000
 C	-12.14116708 -28.96537167 3.40000000
 C	27.40023367 -15.35017552 3.40000000
 C	-14.46718930 -29.76628534 3.40000000
 C	29.72625589 -14.54926184 3.40000000
 C	-16.79304869 -30.56714296 3.40000000
 C	32.05227810 -13.74834816 3.40000000
 C	-19.11907091 -31.36805664 3.40000000
 C	34.37830032 -12.94743448 3.40000000
 C	-21.44493031 -32.16891425 3.40000000
 C	36.70415972 -12.14657687 3.40000000
 C	-23.77095252 -32.96982793 3.40000000
 C	-26.09697474 -33.77074161 3.40000000
 C	4.14066279 -23.35908805 3.40000000
 C	11.11856662 -20.95640308 3.40000000
 C	-28.42299695 -34.57165529 3.40000000
 C	-30.74885635 -35.37251290 3.40000000
 C	1.81464058 -24.16000172 3.40000000
 C	13.44442602 -20.15554546 3.40000000
 C	-0.51138164 -24.96091540 3.40000000
 C	15.77044823 -19.35463178 3.40000000
 C	-3.29964876 -24.41884346 3.40000000
 C	17.63406272 -17.21078855 3.40000000
 C	6.00422301 -21.21526350 3.40000000
 C	8.33013668 -20.41438720 3.40000000
 C	-5.62567098 -25.21975714 3.40000000
 C	19.96003066 -16.40989356 3.40000000
 C	-7.95158465 -26.02063344 3.40000000
 C	22.28594433 -15.60901726 3.40000000
 C	-10.27755259 -26.82152843 3.40000000
 C	24.61196655 -14.80810358 3.40000000
 C	-12.60357481 -27.62244211 3.40000000
 C	26.93798876 -14.00718990 3.40000000
 C	-14.92943421 -28.42329973 3.40000000
 C	29.26384816 -13.20633229 3.40000000
 C	-17.25545642 -29.22421340 3.40000000
 C	31.58987038 -12.40541861 3.40000000
 C	-19.58147864 -30.02512708 3.40000000
 C	33.91583832 -11.60452362 3.40000000
 C	-21.90739231 -30.82600339 3.40000000
 C	36.24175199 -10.80364732 3.40000000
 C	-24.23336025 -31.62689838 3.40000000
 C	-26.55938246 -32.42781205 3.40000000
 C	3.67825506 -22.01615849 3.40000000
 C	10.65615889 -19.61347352 3.40000000
 C	-28.88524186 -33.22866967 3.40000000
 C	-31.21126408 -34.02958335 3.40000000
 C	1.35223285 -22.81707217 3.40000000
 C	12.98218111 -18.81255984 3.40000000
 C	-0.97362655 -23.61792978 3.40000000
 C	15.30804050 -18.01170223 3.40000000
 C	6.93605167 -20.14349224 3.40000000
 C	-4.69389659 -24.14800457 3.40000000
 C	18.56583711 -16.13903598 3.40000000
 C	-7.01975599 -24.94886218 3.40000000
 C	20.89185932 -15.33812230 3.40000000
 C	-9.34577820 -25.74977586 3.40000000
 C	23.21771872 -14.53726468 3.40000000
 C	-11.67180042 -26.55068954 3.40000000
 C	25.54374094 -13.73635100 3.40000000
 C	27.86960033 -12.93549339 3.40000000
 C	-13.99782264 -27.35160321 3.40000000
 C	4.61002945 -20.94440592 3.40000000
 C	9.26191106 -19.34263462 3.40000000
 C	-16.32368203 -28.15246083 3.40000000
 C	30.19562255 -12.13457971 3.40000000
 C	-18.64970425 -28.95337451 3.40000000
 C	32.52164476 -11.33366603 3.40000000
 C	-20.97556365 -29.75423212 3.40000000
 C	34.84766698 -10.53275236 3.40000000
 C	-23.30158586 -30.55514580 3.40000000
 C	37.17352638 -9.73189474 3.40000000
 C	-25.62760808 -31.35605948 3.40000000
 C	-27.95363029 -32.15697316 3.40000000
