 C	-37.39409239 -34.87055528 3.40000000
 C	-34.99709409 -34.31716462 3.40000000
 C	-32.60026358 -33.76381270 3.40000000
 C	-30.20326528 -33.21042203 3.40000000
 C	-35.31659434 -32.93325701 3.40000000
 C	-27.80626698 -32.65703137 3.40000000
 C	-36.67484361 -32.51799853 3.40000000
 C	-32.91959604 -32.37986634 3.40000000
 C	-25.40926868 -32.10364071 3.40000000
 C	-34.27784531 -31.96460787 3.40000000
 C	-30.52276553 -31.82651442 3.40000000
 C	-23.01243817 -31.55028879 3.40000000
 C	-31.88101480 -31.41125595 3.40000000
 C	-28.12576723 -31.27312376 3.40000000
 C	-20.61543987 -30.99689813 3.40000000
 C	-29.48401650 -30.85786529 3.40000000
 C	-25.72882486 -30.71974601 3.40000000
 C	-34.59734556 -30.58070026 3.40000000
 C	-18.21860936 -30.44354620 3.40000000
 C	-27.08701820 -30.30447463 3.40000000
 C	-23.33193842 -30.16638117 3.40000000
 C	-35.95564518 -30.16560646 3.40000000
 C	-32.20034726 -30.02730960 3.40000000
 C	-15.82161106 -29.89015554 3.40000000
 C	-24.69001991 -29.75108396 3.40000000
 C	-20.93494012 -29.61299051 3.40000000
 C	-33.55864688 -29.61221580 3.40000000
 C	-29.80351675 -29.47395767 3.40000000
 C	-13.42461276 -29.33676488 3.40000000
 C	-22.29318939 -29.19773204 3.40000000
 C	-18.53794182 -29.05959985 3.40000000
 C	-31.16181637 -29.05886388 3.40000000
 C	-27.40651845 -28.92056701 3.40000000
 C	-11.02761447 -28.78337422 3.40000000
 C	-19.89619109 -28.64434138 3.40000000
 C	-16.14111131 -28.50624793 3.40000000
 C	-28.76481807 -28.50547321 3.40000000
 C	-25.00957608 -28.36718926 3.40000000
 C	-8.63078395 -28.23002229 3.40000000
 C	-33.87814713 -28.22830819 3.40000000
 C	-17.49936058 -28.09098945 3.40000000
 C	-13.74411301 -27.95285726 3.40000000
 C	-26.36781977 -27.95208255 3.40000000
 C	-22.61268964 -27.81382442 3.40000000
 C	-35.23639640 -27.81304970 3.40000000
 C	-6.23378566 -27.67663163 3.40000000
 C	-31.48114883 -27.67491752 3.40000000
 C	-15.10236228 -27.53759879 3.40000000
 C	-11.34717064 -27.39947951 3.40000000
 C	-23.97082147 -27.39869189 3.40000000
 C	-20.21569134 -27.26043376 3.40000000
 C	-32.83939810 -27.25965904 3.40000000
 C	-3.83695514 -27.12327971 3.40000000
 C	-29.08431832 -27.12156560 3.40000000
