 C	-29.32694564 -41.88321896 3.40000000
 C	-27.09738390 -40.84355724 3.40000000
 C	-24.86797822 -39.80396830 3.40000000
 C	-27.69763287 -39.55631917 3.40000000
 C	-29.11253823 -39.43253099 3.40000000
 C	-22.63841647 -38.76430659 3.40000000
 C	-25.46807112 -38.51665745 3.40000000
 C	-26.88297648 -38.39286928 3.40000000
 C	-20.40885472 -37.72464487 3.40000000
 C	-23.23866544 -37.47706851 3.40000000
 C	-24.65357080 -37.35328033 3.40000000
 C	-27.48322545 -37.10563120 3.40000000
 C	-28.89814582 -36.98201457 3.40000000
 C	-18.17929298 -36.68498315 3.40000000
 C	-21.00910370 -36.43740679 3.40000000
 C	-22.42400905 -36.31361862 3.40000000
 C	-25.25366371 -36.06596948 3.40000000
 C	-26.66858407 -35.94235285 3.40000000
 C	-15.94988730 -35.64539421 3.40000000
 C	-18.77959397 -35.39776933 3.40000000
 C	-20.19444731 -35.27395690 3.40000000
 C	-23.02425803 -35.02638054 3.40000000
 C	-24.43917839 -34.90276391 3.40000000
 C	-27.26883305 -34.65511478 3.40000000
 C	-13.72032555 -34.60573249 3.40000000
 C	-28.68373841 -34.53132659 3.40000000
 C	-16.55013627 -34.35815613 3.40000000
 C	-17.96488556 -34.23429518 3.40000000
 C	-20.79469628 -33.98671882 3.40000000
 C	-22.20961665 -33.86310219 3.40000000
 C	-25.03927130 -33.61545306 3.40000000
 C	-11.49091987 -33.56614355 3.40000000
 C	-26.45417666 -33.49166487 3.40000000
 C	-14.32057452 -33.31849442 3.40000000
 C	-15.73547988 -33.19470624 3.40000000
 C	-18.56518656 -32.94708137 3.40000000
 C	-19.98005490 -32.82344048 3.40000000
 C	-22.80986562 -32.57586412 3.40000000
 C	-9.26135812 -32.52648183 3.40000000
 C	-24.22477098 -32.45207593 3.40000000
 C	-12.09101278 -32.27883270 3.40000000
 C	-27.05442563 -32.20442681 3.40000000
 C	-13.50591813 -32.15504452 3.40000000
 C	-28.46933099 -32.08063862 3.40000000
 C	-16.33572885 -31.90746817 3.40000000
 C	-17.75049315 -31.78377876 3.40000000
 C	-20.58030387 -31.53620240 3.40000000
 C	-7.03179638 -31.48682012 3.40000000
 C	-21.99520923 -31.41241422 3.40000000
 C	-9.86160710 -31.23924376 3.40000000
 C	-24.82486388 -31.16476509 3.40000000
 C	-11.27651245 -31.11545558 3.40000000
 C	-26.23976925 -31.04097691 3.40000000
 C	-14.10616711 -30.86780645 3.40000000
 C	-15.52108747 -30.74418982 3.40000000
 C	-18.35079415 -30.49656494 3.40000000
 C	-4.80223463 -30.44715840 3.40000000
 C	-19.76564749 -30.37275250 3.40000000
 C	-7.63204535 -30.19958204 3.40000000
 C	-22.59545820 -30.12517615 3.40000000
 C	-9.04695071 -30.07579387 3.40000000
 C	-24.01036357 -30.00138796 3.40000000
 C	-11.87660536 -29.82814473 3.40000000
 C	-26.84002322 -29.75379601 3.40000000
 C	-13.29152573 -29.70452810 3.40000000
 C	-28.25492358 -29.62995065 3.40000000
 C	-16.12133645 -29.45695174 3.40000000
 C	-2.57282895 -29.40756946 3.40000000
