 C	11.33523813 -21.31848234 3.40000000
 C	0.47506962 -27.09293637 3.40000000
 C	22.19550800 -15.54397442 3.40000000
 C	-1.69702490 -28.24785951 3.40000000
 C	24.36750116 -14.38910518 3.40000000
 C	-3.86901806 -29.40272876 3.40000000
 C	26.53959568 -13.23418203 3.40000000
 C	-6.04106189 -30.55762496 3.40000000
 C	28.71169020 -12.07925889 3.40000000
 C	-8.21315641 -31.71254810 3.40000000
 C	30.88363268 -10.92441659 3.40000000
 C	9.16324497 -22.47335159 3.40000000
 C	-10.38509889 -32.86739040 3.40000000
 C	33.05572720 -9.76949345 3.40000000
 C	13.50733265 -20.16355920 3.40000000
 C	-12.55719341 -34.02231354 3.40000000
 C	35.22777103 -8.61459725 3.40000000
 C	-14.72928793 -35.17723668 3.40000000
 C	37.39976419 -7.45972801 3.40000000
 C	-16.90128108 -36.33210593 3.40000000
 C	-19.07332492 -37.48700212 3.40000000
 C	-21.24541944 -38.64192527 3.40000000
 C	-23.41736192 -39.79676757 3.40000000
 C	6.99120114 -23.62824779 3.40000000
 C	15.67942717 -19.00863606 3.40000000
 C	4.81910662 -24.78317093 3.40000000
 C	17.85136965 -17.85379376 3.40000000
 C	2.64716414 -25.93801323 3.40000000
 C	20.02346417 -16.69887062 3.40000000
 C	1.22771929 -25.88844513 3.40000000
 C	20.77611383 -15.49437937 3.40000000
 C	9.91594532 -21.26883340 3.40000000
 C	12.08788780 -20.11399110 3.40000000
 C	-0.94437523 -27.04336827 3.40000000
 C	22.94820835 -14.33945623 3.40000000
 C	-3.11631771 -28.19821057 3.40000000
 C	25.12015083 -13.18461393 3.40000000
 C	-5.28841223 -29.35313371 3.40000000
 C	27.29224535 -12.02969079 3.40000000
 C	-7.46050674 -30.50805685 3.40000000
 C	29.46418782 -10.87484849 3.40000000
 C	-9.63260126 -31.66297999 3.40000000
 C	31.63628234 -9.71992535 3.40000000
 C	-11.80454374 -32.81782229 3.40000000
 C	33.80837686 -8.56500220 3.40000000
 C	-13.97663826 -33.97274544 3.40000000
 C	35.98047138 -7.41007906 3.40000000
 C	-16.14858074 -35.12758774 3.40000000
 C	38.15241386 -6.25523676 3.40000000
