 C	5.84112546 -23.42747461 3.40000000
 C	-6.09341650 -26.40309012 3.40000000
 C	17.77577880 -20.45183132 3.40000000
 C	-8.48039173 -26.99822988 3.40000000
 C	20.16264264 -19.85671933 3.40000000
 C	-10.86725556 -27.59334188 3.40000000
 C	22.54961786 -19.26157956 3.40000000
 C	-13.25417509 -28.18846775 3.40000000
 C	24.93659309 -18.66643980 3.40000000
 C	-15.64115032 -28.78360752 3.40000000
 C	27.32340123 -18.07134169 3.40000000
 C	3.45426162 -24.02258660 3.40000000
 C	-18.02795846 -29.37870563 3.40000000
 C	29.71037645 -17.47620193 3.40000000
 C	8.22810068 -22.83233484 3.40000000
 C	-20.41493368 -29.97384539 3.40000000
 C	32.09729598 -16.88107605 3.40000000
 C	-22.80190891 -30.56898516 3.40000000
 C	34.48415982 -16.28596405 3.40000000
 C	-25.18877274 -31.16409715 3.40000000
 C	-27.57569227 -31.75922303 3.40000000
 C	-29.96266750 -32.35436280 3.40000000
 C	-32.34947564 -32.94946090 3.40000000
 C	1.06734209 -24.61771248 3.40000000
 C	10.61507591 -22.23719507 3.40000000
 C	-1.31963314 -25.21285224 3.40000000
 C	13.00188405 -21.64209697 3.40000000
 C	-3.70644128 -25.80795035 3.40000000
 C	15.38885927 -21.04695720 3.40000000
 C	-5.07173094 -25.41645984 3.40000000
 C	16.41054483 -20.06032693 3.40000000
 C	4.47600288 -23.03594244 3.40000000
 C	6.86281102 -22.44084433 3.40000000
 C	-7.45870616 -26.01159961 3.40000000
 C	18.79752006 -19.46518716 3.40000000
 C	-9.84551430 -26.60669772 3.40000000
 C	21.18432820 -18.87008906 3.40000000
 C	-12.23248953 -27.20183748 3.40000000
 C	23.57130342 -18.27494929 3.40000000
 C	-14.61946476 -27.79697725 3.40000000
 C	25.95811156 -17.67985118 3.40000000
 C	-17.00643998 -28.39211701 3.40000000
 C	28.34508679 -17.08471142 3.40000000
 C	-19.39324812 -28.98721512 3.40000000
 C	30.73206201 -16.48957165 3.40000000
 C	-21.78022335 -29.58235489 3.40000000
 C	33.11903724 -15.89443189 3.40000000
 C	-24.16703149 -30.17745299 3.40000000
 C	35.50584538 -15.29933378 3.40000000
 C	-26.55400671 -30.77259276 3.40000000
 C	-28.94098194 -31.36773252 3.40000000
 C	2.08902765 -23.63108220 3.40000000
 C	9.24978624 -21.84570457 3.40000000
 C	-31.32795716 -31.96287229 3.40000000
 C	-33.71476530 -32.55797040 3.40000000
 C	-0.29794757 -24.22622197 3.40000000
 C	11.63659438 -21.25060646 3.40000000
 C	-2.68492280 -24.82136174 3.40000000
 C	14.02356961 -20.65546669 3.40000000
 C	-5.41533504 -24.03833905 3.40000000
 C	16.06694073 -18.68220614 3.40000000
 C	4.13234308 -21.65783553 3.40000000
 C	6.51920691 -21.06272354 3.40000000
 C	-7.80231027 -24.63347882 3.40000000
 C	18.45386026 -18.08708026 3.40000000
 C	-10.18917410 -25.22859081 3.40000000
 C	20.84072409 -17.49196826 3.40000000
 C	-12.57609363 -25.82371669 3.40000000
 C	23.22769932 -16.89682850 3.40000000
 C	-14.96306886 -26.41885646 3.40000000
 C	25.61467454 -16.30168873 3.40000000
 C	-17.34987700 -27.01395456 3.40000000
 C	28.00148268 -15.70659063 3.40000000
 C	-19.73685223 -27.60909433 3.40000000
 C	30.38845791 -15.11145086 3.40000000
 C	-22.12382745 -28.20423409 3.40000000
 C	32.77537744 -14.51632498 3.40000000
 C	-24.51069129 -28.79934609 3.40000000
 C	35.16224127 -13.92121299 3.40000000
 C	-26.89761082 -29.39447197 3.40000000
 C	-29.28458604 -29.98961173 3.40000000
 C	1.74542355 -22.25296141 3.40000000
 C	8.90618214 -20.46758378 3.40000000
 C	-31.67139418 -30.58470984 3.40000000
 C	-34.05836941 -31.17984961 3.40000000
 C	-0.64155168 -22.84810118 3.40000000
 C	11.29315736 -19.87244401 3.40000000
 C	-3.02835982 -23.44319929 3.40000000
 C	13.67996550 -19.27734590 3.40000000
 C	5.15403687 -20.67135690 3.40000000
 C	-6.78067217 -23.64701407 3.40000000
 C	17.08857882 -17.69574139 3.40000000
 C	-9.16748031 -24.24211218 3.40000000
 C	19.47555405 -17.10060163 3.40000000
 C	-11.55445554 -24.83725195 3.40000000
 C	21.86236219 -16.50550352 3.40000000
 C	-13.94143076 -25.43239171 3.40000000
 C	24.24933742 -15.91036376 3.40000000
 C	26.63614556 -15.31526565 3.40000000
 C	-16.32840599 -26.02753148 3.40000000
 C	2.76706164 -21.26649667 3.40000000
 C	7.54084501 -20.07625880 3.40000000
 C	-18.71521413 -26.62262958 3.40000000
 C	29.02312078 -14.72012588 3.40000000
 C	-21.10218935 -27.21776935 3.40000000
 C	31.41009601 -14.12498612 3.40000000
 C	-23.48899749 -27.81286746 3.40000000
 C	33.79707123 -13.52984635 3.40000000
 C	-25.87597272 -28.40800722 3.40000000
 C	36.18387937 -12.93474824 3.40000000
 C	-28.26294794 -29.00314699 3.40000000
 C	-30.64992317 -29.59828675 3.40000000
 C	-33.03673131 -30.19338486 3.40000000
 C	0.38008642 -21.86163644 3.40000000
 C	9.92782023 -19.48111903 3.40000000
 C	12.31462837 -18.88602093 3.40000000
 C	-2.00688881 -22.45677620 3.40000000
 C	-4.39369695 -23.05187431 3.40000000
 C	14.70160360 -18.29088116 3.40000000
 C	4.81037707 -19.29325000 3.40000000
 C	-7.12427628 -22.26889328 3.40000000
 C	16.74497472 -16.31762060 3.40000000
 C	-9.51114011 -22.86400528 3.40000000
 C	19.13189425 -15.72249472 3.40000000
 C	-11.89805964 -23.45913116 3.40000000
 C	21.51875809 -15.12738273 3.40000000
 C	-14.28503487 -24.05427092 3.40000000
 C	23.90573331 -14.53224296 3.40000000
 C	-16.67184301 -24.64936903 3.40000000
 C	26.29270854 -13.93710320 3.40000000
 C	2.42345754 -19.88837588 3.40000000
 C	7.19724090 -18.69813801 3.40000000
 C	-19.05881823 -25.24450879 3.40000000
 C	28.67951668 -13.34200509 3.40000000
 C	-21.44579346 -25.83964856 3.40000000
 C	31.06649190 -12.74686533 3.40000000
 C	-23.83265729 -26.43476055 3.40000000
 C	33.45341143 -12.15173945 3.40000000
 C	-26.21957682 -27.02988643 3.40000000
 C	35.84027527 -11.55662745 3.40000000
 C	-28.60655205 -27.62502620 3.40000000
 C	-30.99336019 -28.22012430 3.40000000
 C	-33.38033541 -28.81526407 3.40000000
 C	0.03648231 -20.48351564 3.40000000
 C	9.58421613 -18.10299824 3.40000000
 C	-2.35032583 -21.07861375 3.40000000
 C	11.97119136 -17.50785848 3.40000000
 C	-4.73730105 -21.67375352 3.40000000
 C	14.35799950 -16.91276037 3.40000000
 C	-6.10259072 -21.28226300 3.40000000
 C	15.37968505 -15.92613009 3.40000000
 C	3.44514310 -18.90174560 3.40000000
 C	5.83211832 -18.30660583 3.40000000
 C	-8.48939886 -21.87736111 3.40000000
 C	17.76666028 -15.33099032 3.40000000
 C	-10.87637408 -22.47250087 3.40000000
 C	20.15363550 -14.73585055 3.40000000
 C	-13.26334931 -23.06764064 3.40000000
 C	22.54044365 -14.14075245 3.40000000
 C	-15.65032453 -23.66278040 3.40000000
 C	24.92741887 -13.54561268 3.40000000
 C	-18.03713267 -24.25787851 3.40000000
 C	27.31422701 -12.95051457 3.40000000
 C	-20.42410790 -24.85301828 3.40000000
 C	29.70120224 -12.35537481 3.40000000
 C	-22.81091604 -25.44811638 3.40000000
 C	32.08817746 -11.76023504 3.40000000
 C	-25.19789126 -26.04325615 3.40000000
 C	34.47515269 -11.16509528 3.40000000
 C	-27.58486649 -26.63839591 3.40000000
 C	36.86196083 -10.56999717 3.40000000
 C	-29.97184171 -27.23353568 3.40000000
 C	1.05816787 -19.49688536 3.40000000
 C	8.21892646 -17.71150772 3.40000000
 C	-32.35864985 -27.82863379 3.40000000
 C	-1.32880735 -20.09202513 3.40000000
 C	10.60590169 -17.11636796 3.40000000
 C	-3.71561549 -20.68712323 3.40000000
 C	12.99270983 -16.52126985 3.40000000
 C	-6.44619482 -19.90414222 3.40000000
 C	15.03608095 -14.54800930 3.40000000
 C	3.10153900 -17.52362481 3.40000000
 C	5.48845853 -16.92849894 3.40000000
 C	-8.83305865 -20.49925421 3.40000000
 C	17.42305618 -13.95286954 3.40000000
 C	-11.21997818 -21.09438009 3.40000000
 C	19.80997571 -13.35774366 3.40000000
 C	-13.60695341 -21.68951986 3.40000000
 C	22.19683954 -12.76263167 3.40000000
 C	-15.99376155 -22.28461796 3.40000000
 C	24.58381477 -12.16749190 3.40000000
 C	-18.38073678 -22.87975773 3.40000000
 C	26.97078999 -11.57235213 3.40000000
 C	-20.76771200 -23.47489750 3.40000000
 C	29.35759813 -10.97725403 3.40000000
 C	-23.15457584 -24.07000949 3.40000000
 C	31.74457336 -10.38211426 3.40000000
 C	-25.54149537 -24.66513537 3.40000000
 C	34.13149289 -9.78698838 3.40000000
 C	-27.92847059 -25.26027513 3.40000000
 C	36.51835672 -9.19187639 3.40000000
 C	-30.31527873 -25.85537324 3.40000000
 C	0.71456377 -18.11876458 3.40000000
 C	7.87532236 -16.33338694 3.40000000
 C	-32.70225396 -26.45051301 3.40000000
 C	-1.67224437 -18.71386269 3.40000000
 C	10.26229759 -15.73824718 3.40000000
 C	-4.05921959 -19.30900245 3.40000000
 C	12.64927281 -15.14310741 3.40000000
 C	4.12322456 -16.53699453 3.40000000
 C	-7.81131740 -19.51261004 3.40000000
 C	16.05776651 -13.56137902 3.40000000
 C	-10.19829263 -20.10774981 3.40000000
 C	18.44474174 -12.96623926 3.40000000
 C	-12.58526785 -20.70288957 3.40000000
 C	20.83171696 -12.37109949 3.40000000
 C	-14.97224308 -21.29802934 3.40000000
 C	23.21852510 -11.77600138 3.40000000
 C	-17.35905122 -21.89312745 3.40000000
 C	25.60550033 -11.18086162 3.40000000
 C	1.73624933 -17.13213430 3.40000000
 C	-19.74602644 -22.48826721 3.40000000
 C	27.99230847 -10.58576351 3.40000000
 C	6.51019978 -15.94185477 3.40000000
 C	-22.13283458 -23.08336532 3.40000000
 C	30.37928369 -9.99062374 3.40000000
 C	-24.51980981 -23.67850508 3.40000000
 C	32.76625892 -9.39548398 3.40000000
 C	-26.90678503 -24.27364485 3.40000000
 C	35.15323414 -8.80034421 3.40000000
 C	-29.29376026 -24.86878462 3.40000000
 C	37.54004228 -8.20524611 3.40000000
 C	-31.68056840 -25.46388272 3.40000000
 C	-0.65072589 -17.72727406 3.40000000
 C	8.89700792 -15.34675666 3.40000000
 C	-3.03753404 -18.32237217 3.40000000
 C	11.28398315 -14.75161689 3.40000000
 C	-5.42450926 -18.91751194 3.40000000
 C	13.67079129 -14.15651879 3.40000000
 C	3.77960463 -15.15892892 3.40000000
 C	-8.15499302 -18.13455831 3.40000000
 C	15.71414659 -12.18331341 3.40000000
 C	-10.54191255 -18.72968419 3.40000000
 C	18.10112181 -11.58817364 3.40000000
 C	-12.92888778 -19.32482396 3.40000000
 C	20.48804134 -10.99304776 3.40000000
 C	-15.31569592 -19.91992207 3.40000000
 C	22.87490518 -10.39793577 3.40000000
 C	-17.70267114 -20.51506183 3.40000000
 C	25.26188040 -9.80279600 3.40000000
 C	-20.08964637 -21.11020160 3.40000000
 C	1.39262940 -15.75406868 3.40000000
 C	27.64885563 -9.20765624 3.40000000
 C	6.16652416 -14.56380304 3.40000000
 C	-22.47651020 -21.70531359 3.40000000
 C	30.03566377 -8.61255813 3.40000000
 C	-24.86342973 -22.30043947 3.40000000
 C	32.42263899 -8.01741836 3.40000000
 C	-27.25040496 -22.89557924 3.40000000
 C	34.80955852 -7.42229248 3.40000000
 C	-29.63721310 -23.49067734 3.40000000
 C	37.19642236 -6.82718049 3.40000000
 C	-32.02418832 -24.08581711 3.40000000
 C	-0.99417874 -16.34916679 3.40000000
 C	8.55338799 -13.96869104 3.40000000
 C	-3.38115396 -16.94430656 3.40000000
 C	10.94036322 -13.37355128 3.40000000
 C	-5.76812919 -17.53944632 3.40000000
 C	13.32733845 -12.77841151 3.40000000
 C	-7.13323594 -17.14785898 3.40000000
