 C	0.84263699 -24.12996635 3.40000000
 C	-11.44977184 -24.55922672 3.40000000
 C	13.13516055 -23.70070196 3.40000000
 C	-13.90832244 -24.64508120 3.40000000
 C	15.59359643 -23.61485149 3.40000000
 C	-16.36675832 -24.73093167 3.40000000
 C	18.05214703 -23.52899701 3.40000000
 C	-18.82525156 -24.81678415 3.40000000
 C	20.51069764 -23.44314253 3.40000000
 C	-21.28380216 -24.90263863 3.40000000
 C	22.96907615 -23.35729407 3.40000000
 C	-1.61579888 -24.21581682 3.40000000
 C	-23.74218067 -24.98848710 3.40000000
 C	25.42762675 -23.27143959 3.40000000
 C	3.30118760 -24.04411187 3.40000000
 C	-26.20073128 -25.07434158 3.40000000
 C	27.88611999 -23.18558711 3.40000000
 C	-28.65928188 -25.16019606 3.40000000
 C	30.34455587 -23.09973664 3.40000000
 C	-31.11771776 -25.24604653 3.40000000
 C	-33.57621099 -25.33189900 3.40000000
 C	-36.03476160 -25.41775348 3.40000000
 C	-38.49314011 -25.50360195 3.40000000
 C	-4.07429212 -24.30166929 3.40000000
 C	5.75973820 -23.95825739 3.40000000
 C	-6.53284273 -24.38752377 3.40000000
 C	8.21811671 -23.87240892 3.40000000
 C	-8.99122124 -24.47337224 3.40000000
 C	10.67666732 -23.78655444 3.40000000
 C	-10.24528059 -23.80657706 3.40000000
 C	11.88115856 -23.03390478 3.40000000
 C	-0.41125027 -23.46316515 3.40000000
 C	2.04712824 -23.37731668 3.40000000
 C	-12.70383120 -23.89243154 3.40000000
 C	14.33970917 -22.94805030 3.40000000
 C	-15.16220970 -23.97828001 3.40000000
 C	16.79808768 -22.86220183 3.40000000
 C	-17.62076031 -24.06413449 3.40000000
 C	19.25663828 -22.77634735 3.40000000
 C	-20.07931091 -24.14998897 3.40000000
 C	21.71501679 -22.69049888 3.40000000
 C	-22.53786152 -24.23584344 3.40000000
 C	24.17356740 -22.60464440 3.40000000
 C	-24.99624003 -24.32169191 3.40000000
 C	26.63211800 -22.51878992 3.40000000
 C	-27.45479063 -24.40754639 3.40000000
 C	29.09066861 -22.43293545 3.40000000
 C	-29.91316914 -24.49339486 3.40000000
 C	31.54904712 -22.34708698 3.40000000
 C	-32.37171975 -24.57924934 3.40000000
 C	-34.83027035 -24.66510382 3.40000000
 C	-2.86980087 -23.54901963 3.40000000
 C	4.50567885 -23.29146221 3.40000000
 C	-37.28882095 -24.75095830 3.40000000
 C	-39.74719946 -24.83680677 3.40000000
 C	-5.32835148 -23.63487411 3.40000000
 C	6.96405736 -23.20561374 3.40000000
 C	-7.78690208 -23.72072859 3.40000000
 C	9.42260796 -23.11975926 3.40000000
 C	-10.29484870 -22.38713220 3.40000000
 C	11.83159046 -21.61445992 3.40000000
 C	-0.46087574 -22.04372230 3.40000000
 C	1.99756014 -21.95787183 3.40000000
 C	-12.75339930 -22.47298668 3.40000000
 C	14.29008370 -21.52860745 3.40000000
 C	-15.21183518 -22.55883716 3.40000000
 C	16.74851957 -21.44275697 3.40000000
 C	-17.67032842 -22.64468963 3.40000000
 C	19.20707018 -21.35690250 3.40000000
 C	-20.12887902 -22.73054411 3.40000000
 C	21.66562078 -21.27104802 3.40000000
 C	-22.58725753 -22.81639258 3.40000000
 C	24.12399929 -21.18519955 3.40000000
 C	-25.04580813 -22.90224706 3.40000000
 C	26.58254989 -21.09934507 3.40000000
 C	-27.50435874 -22.98810154 3.40000000
 C	29.04104313 -21.01349259 3.40000000
 C	-29.96279461 -23.07395201 3.40000000
 C	31.49947901 -20.92764212 3.40000000
 C	-32.42128785 -23.15980449 3.40000000
 C	-34.87983846 -23.24565896 3.40000000
 C	-2.91936898 -22.12957478 3.40000000
 C	4.45611074 -21.87201735 3.40000000
 C	-37.33821697 -23.33150743 3.40000000
 C	-39.79676757 -23.41736191 3.40000000
 C	-5.37791958 -22.21542926 3.40000000
 C	6.91466134 -21.78616287 3.40000000
 C	-7.83629809 -22.30127773 3.40000000
 C	9.37303985 -21.70031440 3.40000000
 C	0.74359203 -21.29122268 3.40000000
 C	-11.54898890 -21.72048906 3.40000000
 C	13.03600086 -20.86196230 3.40000000
 C	-14.00736740 -21.80633753 3.40000000
 C	15.49455147 -20.77610783 3.40000000
 C	-16.46591801 -21.89219201 3.40000000
 C	17.95292998 -20.69025936 3.40000000
 C	-18.92446861 -21.97804649 3.40000000
 C	20.41148058 -20.60440488 3.40000000
 C	22.86985909 -20.51855641 3.40000000
 C	-21.38301922 -22.06390097 3.40000000
 C	-1.71495857 -21.37707716 3.40000000
 C	3.20197054 -21.20537421 3.40000000
 C	-23.84139773 -22.14974944 3.40000000
 C	25.32840970 -20.43270193 3.40000000
 C	-26.29994833 -22.23560392 3.40000000
 C	27.78696030 -20.34684745 3.40000000
 C	-28.75832684 -22.32145239 3.40000000
 C	30.24551091 -20.26099297 3.40000000
 C	-31.21687745 -22.40730687 3.40000000
 C	32.70388941 -20.17514450 3.40000000
 C	-33.67542805 -22.49316135 3.40000000
 C	-36.13397866 -22.57901583 3.40000000
 C	-38.59235716 -22.66486429 3.40000000
 C	-4.17350918 -21.46293164 3.40000000
 C	5.66052115 -21.11951973 3.40000000
 C	8.11889966 -21.03367126 3.40000000
 C	-6.63205978 -21.54878612 3.40000000
 C	-9.09043829 -21.63463459 3.40000000
 C	10.57745026 -20.94781678 3.40000000
 C	0.69396656 -19.87177983 3.40000000
 C	-11.59855700 -20.30104421 3.40000000
 C	12.98643276 -19.44251745 3.40000000
 C	-14.05699288 -20.38689468 3.40000000
 C	15.44492600 -19.35666497 3.40000000
 C	-16.51548612 -20.47274716 3.40000000
 C	17.90336187 -19.27081450 3.40000000
 C	-18.97403672 -20.55860164 3.40000000
 C	20.36191248 -19.18496002 3.40000000
 C	-21.43241523 -20.64445011 3.40000000
 C	22.82046308 -19.09910554 3.40000000
 C	-1.76452668 -19.95763230 3.40000000
 C	3.15240243 -19.78592936 3.40000000
 C	-23.89096583 -20.73030458 3.40000000
 C	25.27884159 -19.01325707 3.40000000
 C	-26.34951644 -20.81615906 3.40000000
 C	27.73739219 -18.92740259 3.40000000
 C	-28.80795231 -20.90200954 3.40000000
 C	30.19588543 -18.84155012 3.40000000
 C	-31.26644555 -20.98786201 3.40000000
