 C	1.68424736 -24.08585942 3.40000000
 C	-10.58569230 -24.94385718 3.40000000
 C	13.95430154 -23.22785365 3.40000000
 C	-13.03974894 -25.11546154 3.40000000
 C	16.40824366 -23.05625730 3.40000000
 C	-15.49369106 -25.28705789 3.40000000
 C	18.86230031 -22.88465294 3.40000000
 C	-17.94769045 -25.45865824 3.40000000
 C	21.31635695 -22.71304858 3.40000000
 C	-20.40174709 -25.63026260 3.40000000
 C	23.77024181 -22.54145624 3.40000000
 C	-0.76969476 -24.25745577 3.40000000
 C	-22.85563195 -25.80185494 3.40000000
 C	26.22429846 -22.36985188 3.40000000
 C	4.13830401 -23.91425506 3.40000000
 C	-25.30968860 -25.97345930 3.40000000
 C	28.67829784 -22.19825152 3.40000000
 C	-27.76374524 -26.14506366 3.40000000
 C	31.13223997 -22.02665518 3.40000000
 C	-30.21768736 -26.31666001 3.40000000
 C	-32.67168675 -26.48826036 3.40000000
 C	-35.12574339 -26.65986472 3.40000000
 C	-37.57962826 -26.83145706 3.40000000
 C	-3.22369415 -24.42905612 3.40000000
 C	6.59236065 -23.74265070 3.40000000
 C	-5.67775079 -24.60066048 3.40000000
 C	9.04624551 -23.57105836 3.40000000
 C	-8.13163565 -24.77225282 3.40000000
 C	11.50030216 -23.39945400 3.40000000
 C	-9.40820188 -24.14962987 3.40000000
 C	12.67779257 -22.60522669 3.40000000
 C	0.40785291 -23.46322445 3.40000000
 C	2.86173777 -23.29163211 3.40000000
 C	-11.86225853 -24.32123423 3.40000000
 C	15.13184921 -22.43362233 3.40000000
 C	-14.31614339 -24.49282658 3.40000000
 C	17.58573407 -22.26202999 3.40000000
 C	-16.77020004 -24.66443093 3.40000000
 C	20.03979072 -22.09042563 3.40000000
 C	-19.22425668 -24.83603529 3.40000000
 C	22.49367558 -21.91883329 3.40000000
 C	-21.67831332 -25.00763965 3.40000000
 C	24.94773223 -21.74722893 3.40000000
 C	-24.13219819 -25.17923199 3.40000000
 C	27.40178887 -21.57562457 3.40000000
 C	-26.58625483 -25.35083635 3.40000000
 C	29.85584551 -21.40402021 3.40000000
 C	-29.04013969 -25.52242870 3.40000000
 C	32.30973038 -21.23242787 3.40000000
 C	-31.49419634 -25.69403305 3.40000000
 C	-33.94825298 -25.86563741 3.40000000
 C	-2.04620373 -23.63482881 3.40000000
 C	5.31579442 -23.12002775 3.40000000
 C	-36.40230962 -26.03724177 3.40000000
 C	-38.85619449 -26.20883411 3.40000000
 C	-4.50026038 -23.80643317 3.40000000
 C	7.76967928 -22.94843541 3.40000000
 C	-6.95431702 -23.97803753 3.40000000
 C	10.22373592 -22.77683105 3.40000000
 C	-9.50727771 -22.73277961 3.40000000
 C	12.57871675 -21.18837643 3.40000000
 C	0.30871983 -22.04637819 3.40000000
 C	2.76266195 -21.87478184 3.40000000
 C	-11.96133435 -22.90438396 3.40000000
 C	15.03271613 -21.01677607 3.40000000
 C	-14.41527647 -23.07598031 3.40000000
 C	17.48665825 -20.84517972 3.40000000
 C	-16.86927586 -23.24758067 3.40000000
 C	19.94071490 -20.67357537 3.40000000
 C	-19.32333250 -23.41918502 3.40000000
 C	22.39477154 -20.50197101 3.40000000
 C	-21.77721736 -23.59077737 3.40000000
 C	24.84865640 -20.33037866 3.40000000
 C	-24.23127401 -23.76238173 3.40000000
 C	27.30271305 -20.15877431 3.40000000
 C	-26.68533065 -23.93398608 3.40000000
 C	29.75671243 -19.98717395 3.40000000
 C	-29.13927278 -24.10558243 3.40000000
 C	32.21065455 -19.81557760 3.40000000
 C	-31.59327216 -24.27718279 3.40000000
 C	-34.04732880 -24.44878714 3.40000000
 C	-2.14527956 -22.21797855 3.40000000
 C	5.21671859 -21.70317749 3.40000000
 C	-36.50121367 -24.62037949 3.40000000
 C	-38.95527031 -24.79198385 3.40000000
 C	-4.59933620 -22.38958290 3.40000000
 C	7.67077524 -21.53157313 3.40000000
 C	-7.05322106 -22.56117525 3.40000000
 C	10.12466010 -21.35998078 3.40000000
 C	1.48619201 -21.25230165 3.40000000
 C	-10.78391943 -22.11031143 3.40000000
 C	13.75613167 -20.39430389 3.40000000
 C	-13.23780429 -22.28190378 3.40000000
 C	16.21018831 -20.22269953 3.40000000
 C	-15.69186093 -22.45350813 3.40000000
 C	18.66407318 -20.05110719 3.40000000
 C	-18.14591758 -22.62511249 3.40000000
 C	21.11812982 -19.87950283 3.40000000
 C	23.57201468 -19.70791049 3.40000000
 C	-20.59997422 -22.79671685 3.40000000
 C	-0.96786463 -21.42390601 3.40000000
 C	3.94007687 -21.08070931 3.40000000
 C	-23.05385908 -22.96830919 3.40000000
 C	26.02607133 -19.53630613 3.40000000
 C	-25.50791573 -23.13991355 3.40000000
 C	28.48012797 -19.36470177 3.40000000
 C	-27.96180059 -23.31150590 3.40000000
 C	30.93418461 -19.19309741 3.40000000
 C	-30.41585724 -23.48311025 3.40000000
 C	33.38806948 -19.02150507 3.40000000
 C	-32.86991388 -23.65471461 3.40000000
 C	-35.32397052 -23.82631897 3.40000000
 C	-37.77785539 -23.99791131 3.40000000
 C	-3.42192128 -21.59551037 3.40000000
 C	6.39413352 -20.90910495 3.40000000
 C	8.84801838 -20.73751261 3.40000000
 C	-5.87597792 -21.76711473 3.40000000
 C	-8.32986278 -21.93870707 3.40000000
 C	11.30207503 -20.56590825 3.40000000
 C	1.38705893 -19.83545539 3.40000000
 C	-10.88299525 -20.69346116 3.40000000
 C	13.65705585 -18.97745363 3.40000000
 C	-13.33693737 -20.86505751 3.40000000
 C	16.11105523 -18.80585327 3.40000000
 C	-15.79093676 -21.03665787 3.40000000
 C	18.56499735 -18.63425692 3.40000000
 C	-18.24499340 -21.20826222 3.40000000
 C	21.01905400 -18.46265257 3.40000000
 C	-20.69887826 -21.37985457 3.40000000
 C	23.47311064 -18.29104821 3.40000000
 C	-1.06694045 -20.00705575 3.40000000
 C	3.84100105 -19.66385904 3.40000000
 C	-23.15293491 -21.55145893 3.40000000
 C	25.92699551 -18.11945586 3.40000000
 C	-25.60699155 -21.72306328 3.40000000
 C	28.38105215 -17.94785151 3.40000000
 C	-28.06093367 -21.89465963 3.40000000
 C	30.83505153 -17.77625115 3.40000000
 C	-30.51493306 -22.06625999 3.40000000
 C	33.28899366 -17.60465480 3.40000000
 C	-32.96898970 -22.23786434 3.40000000
 C	-35.42287456 -22.40945669 3.40000000
 C	-37.87693121 -22.58106105 3.40000000
 C	-3.52099710 -20.17866010 3.40000000
 C	6.29505770 -19.49225469 3.40000000
 C	-5.97488196 -20.35025245 3.40000000
 C	8.74911434 -19.32065033 3.40000000
 C	-8.42893861 -20.52185681 3.40000000
 C	11.20299920 -19.14905798 3.40000000
 C	-9.70550484 -19.89923385 3.40000000
 C	12.38048961 -18.35483067 3.40000000
 C	0.11054996 -19.21282843 3.40000000
 C	2.56460660 -19.04122407 3.40000000
 C	-12.15938970 -20.07082619 3.40000000
 C	14.83454626 -18.18322631 3.40000000
 C	-14.61344635 -20.24243055 3.40000000
 C	17.28860290 -18.01162195 3.40000000
 C	-17.06750299 -20.41403491 3.40000000
 C	19.74248776 -17.84002961 3.40000000
 C	-19.52155963 -20.58563926 3.40000000
 C	22.19654441 -17.66842525 3.40000000
 C	-21.97544450 -20.75723161 3.40000000
 C	24.65042927 -17.49683290 3.40000000
 C	-24.42950114 -20.92883597 3.40000000
 C	27.10448592 -17.32522855 3.40000000
 C	-26.88338600 -21.10042831 3.40000000
 C	29.55854256 -17.15362419 3.40000000
 C	-29.33744265 -21.27203267 3.40000000
 C	32.01259920 -16.98201983 3.40000000
 C	-31.79149929 -21.44363703 3.40000000
 C	34.46648407 -16.81042749 3.40000000
 C	-34.24555593 -21.61524139 3.40000000
 C	-2.34350669 -19.38443279 3.40000000
 C	5.01849146 -18.86963173 3.40000000
 C	-36.69944080 -21.78683373 3.40000000
 C	-4.79756333 -19.55603714 3.40000000
 C	7.47254811 -18.69802737 3.40000000
 C	-7.25144819 -19.72762949 3.40000000
 C	9.92643297 -18.52643502 3.40000000
 C	-9.80458066 -18.48238359 3.40000000
 C	12.28141379 -16.93798041 3.40000000
 C	0.01147413 -17.79597817 3.40000000
 C	2.46547352 -17.62437782 3.40000000
 C	-12.25852278 -18.65397994 3.40000000
 C	14.73547044 -16.76637605 3.40000000
 C	-14.71252217 -18.82558029 3.40000000
 C	17.18946982 -16.59477570 3.40000000
 C	-17.16657881 -18.99718465 3.40000000
 C	19.64341194 -16.42317935 3.40000000
 C	-19.62046367 -19.16877700 3.40000000
 C	22.09746859 -16.25157499 3.40000000
 C	-22.07452032 -19.34038135 3.40000000
 C	24.55152523 -16.07997064 3.40000000
 C	-24.52857696 -19.51198571 3.40000000
 C	27.00541009 -15.90837829 3.40000000
 C	-26.98251909 -19.68358206 3.40000000
 C	29.45946674 -15.73677393 3.40000000
 C	-29.43651847 -19.85518241 3.40000000
 C	31.91346612 -15.56517358 3.40000000
 C	-31.89057511 -20.02678677 3.40000000
 C	34.36740825 -15.39357723 3.40000000
 C	-34.34445998 -20.19837912 3.40000000
 C	-2.44258251 -17.96758253 3.40000000
 C	4.91941564 -17.45278147 3.40000000
 C	-36.79851662 -20.36998347 3.40000000
 C	-4.89646737 -18.13917488 3.40000000
 C	7.37347229 -17.28117711 3.40000000
 C	-7.35052402 -18.31077923 3.40000000
 C	9.82752893 -17.10957276 3.40000000
 C	1.18896455 -17.00175086 3.40000000
 C	-11.08097511 -17.85974862 3.40000000
 C	13.45890420 -16.14375309 3.40000000
 C	-13.53503176 -18.03135298 3.40000000
 C	15.91296085 -15.97214874 3.40000000
 C	-15.98908840 -18.20295733 3.40000000
 C	18.36701749 -15.80054438 3.40000000
 C	-18.44314504 -18.37456169 3.40000000
 C	20.82090235 -15.62895203 3.40000000
 C	-20.89702991 -18.54615404 3.40000000
 C	23.27495900 -15.45734768 3.40000000
 C	-1.26509210 -17.17335521 3.40000000
 C	-23.35108655 -18.71775839 3.40000000
 C	25.72884386 -15.28575533 3.40000000
 C	3.64302119 -16.83014650 3.40000000
 C	-25.80497141 -18.88935074 3.40000000
 C	28.18290050 -15.11415097 3.40000000
 C	-28.25902806 -19.06095510 3.40000000
 C	30.63695715 -14.94254662 3.40000000
 C	-30.71308470 -19.23255945 3.40000000
 C	33.09101379 -14.77094226 3.40000000
 C	-33.16714135 -19.40416381 3.40000000
 C	35.54489866 -14.59934991 3.40000000
 C	-35.62102621 -19.57575616 3.40000000
 C	-3.71914874 -17.34495957 3.40000000
 C	6.09690605 -16.65855415 3.40000000
 C	-6.17303361 -17.51655192 3.40000000
 C	8.55096270 -16.48694980 3.40000000
 C	-8.62709025 -17.68815627 3.40000000
 C	11.00484756 -16.31535745 3.40000000
 C	1.08986356 -15.58495218 3.40000000
 C	-11.18013336 -16.44295395 3.40000000
 C	13.35980322 -14.72695442 3.40000000
 C	-13.63413274 -16.61455430 3.40000000
 C	15.81385986 -14.55535006 3.40000000
 C	-16.08818938 -16.78615866 3.40000000
 C	18.26785925 -14.38374971 3.40000000
 C	-18.54207425 -16.95775100 3.40000000
 C	20.72180137 -14.21215336 3.40000000
 C	-20.99613089 -17.12935536 3.40000000
 C	23.17585801 -14.04054900 3.40000000
 C	-23.45018754 -17.30095972 3.40000000
 C	-1.36419308 -15.75655654 3.40000000
 C	25.62991466 -13.86894464 3.40000000
 C	3.54386294 -15.41335183 3.40000000
 C	-25.90412966 -17.47255607 3.40000000
 C	28.08379952 -13.69735230 3.40000000
 C	-28.35812904 -17.64415642 3.40000000
 C	30.53785616 -13.52574794 3.40000000
 C	-30.81218569 -17.81576078 3.40000000
 C	32.99185555 -13.35414759 3.40000000
 C	-33.26607055 -17.98735313 3.40000000
 C	35.44579767 -13.18255124 3.40000000
 C	-35.72012719 -18.15895748 3.40000000
 C	-3.81807795 -15.92814888 3.40000000
 C	5.99780507 -15.24175548 3.40000000
 C	-6.27213459 -16.09975324 3.40000000
 C	8.45186171 -15.07015112 3.40000000
 C	-8.72619123 -16.27135760 3.40000000
 C	10.90591836 -14.89854676 3.40000000
 C	-10.00256052 -15.64867105 3.40000000
 C	12.08326215 -14.10427988 3.40000000
 C	-0.18667751 -14.96227764 3.40000000
 C	2.26737913 -14.79067328 3.40000000
 C	-12.45661717 -15.82027540 3.40000000
 C	14.53731879 -13.93267552 3.40000000
 C	-14.91067381 -15.99187976 3.40000000
 C	16.99137544 -13.76107116 3.40000000
 C	-17.36473046 -16.16348412 3.40000000
 C	19.44543208 -13.58946681 3.40000000
 C	-19.81861532 -16.33507646 3.40000000
 C	21.89931694 -13.41787446 3.40000000
 C	-22.27267196 -16.50668082 3.40000000
 C	24.35337359 -13.24627010 3.40000000
 C	-24.72655683 -16.67827317 3.40000000
 C	26.80725845 -13.07467776 3.40000000
 C	-27.18061347 -16.84987752 3.40000000
 C	29.26131509 -12.90307340 3.40000000
 C	-29.63467011 -17.02148188 3.40000000
 C	31.71537174 -12.73146904 3.40000000
 C	-32.08872676 -17.19308624 3.40000000
 C	34.16942838 -12.55986469 3.40000000
 C	-34.54261162 -17.36467858 3.40000000
 C	36.62331324 -12.38827234 3.40000000
 C	-2.64073415 -15.13388200 3.40000000
 C	4.72143578 -14.61906893 3.40000000
 C	-5.09461902 -15.30547434 3.40000000
 C	7.17532064 -14.44747658 3.40000000
 C	-7.54867566 -15.47707870 3.40000000
 C	9.62937729 -14.27587222 3.40000000
 C	-10.10176909 -14.23197956 3.40000000
 C	11.98428262 -12.68757237 3.40000000
 C	-0.28582882 -13.54558215 3.40000000
 C	2.16822782 -13.37397779 3.40000000
 C	-12.55576848 -14.40357991 3.40000000
 C	14.43816748 -12.51598003 3.40000000
 C	-15.00982512 -14.57518427 3.40000000
 C	16.89222413 -12.34437567 3.40000000
 C	-17.46370998 -14.74677661 3.40000000
 C	19.34622351 -12.17277532 3.40000000
