 C	2.52380574 -24.01240758 3.40000000
 C	-9.70871572 -25.29809739 3.40000000
 C	14.75644136 -22.72670576 3.40000000
 C	-12.15528851 -25.55524255 3.40000000
 C	17.20289998 -22.46957260 3.40000000
 C	-14.60174713 -25.81237571 3.40000000
 C	19.64947277 -22.21242744 3.40000000
 C	-17.04826284 -26.06951488 3.40000000
 C	22.09604557 -21.95528228 3.40000000
 C	-19.49483563 -26.32666004 3.40000000
 C	24.54244710 -21.69815511 3.40000000
 C	0.07734711 -24.26954074 3.40000000
 C	-21.94123717 -26.58378720 3.40000000
 C	26.98901990 -21.44100995 3.40000000
 C	4.97037853 -23.75526241 3.40000000
 C	-24.38780996 -26.84093236 3.40000000
 C	29.43553560 -21.18387079 3.40000000
 C	-26.83438276 -27.09807753 3.40000000
 C	31.88199423 -20.92673763 3.40000000
 C	-29.28084138 -27.35521069 3.40000000
 C	-31.72735708 -27.61234985 3.40000000
 C	-34.17392988 -27.86949501 3.40000000
 C	-36.62033141 -28.12662218 3.40000000
 C	-2.36916859 -24.52667990 3.40000000
 C	7.41695132 -23.49811725 3.40000000
 C	-4.81574139 -24.78382506 3.40000000
 C	9.86335286 -23.24099009 3.40000000
 C	-7.26214292 -25.04095223 3.40000000
 C	12.30992565 -22.98384493 3.40000000
 C	-8.55966073 -24.46326008 3.40000000
 C	13.45898063 -22.14900762 3.40000000
 C	1.22645918 -23.43469743 3.40000000
 C	3.67286072 -23.17757027 3.40000000
 C	-11.00623353 -24.72040524 3.40000000
 C	15.90555343 -21.89186246 3.40000000
 C	-13.45263506 -24.97753241 3.40000000
 C	18.35195496 -21.63473529 3.40000000
 C	-15.89920786 -25.23467757 3.40000000
 C	20.79852776 -21.37759013 3.40000000
 C	-18.34578065 -25.49182273 3.40000000
 C	23.24492929 -21.12046297 3.40000000
 C	-20.79235344 -25.74896789 3.40000000
 C	25.69150209 -20.86331781 3.40000000
 C	-23.23875498 -26.00609506 3.40000000
 C	28.13807488 -20.60617264 3.40000000
 C	-25.68532777 -26.26324022 3.40000000
 C	30.58464767 -20.34902748 3.40000000
 C	-28.13172931 -26.52036738 3.40000000
 C	33.03104921 -20.09190032 3.40000000
 C	-30.57830210 -26.77751254 3.40000000
 C	-33.02487490 -27.03465771 3.40000000
 C	-1.22011361 -23.69184259 3.40000000
 C	6.11943351 -22.92042511 3.40000000
 C	-35.47144769 -27.29180287 3.40000000
 C	-37.91784922 -27.54893003 3.40000000
 C	-3.66668640 -23.94898776 3.40000000
 C	8.56583505 -22.66329794 3.40000000
 C	-6.11325920 -24.20613292 3.40000000
 C	11.01240784 -22.40615278 3.40000000
 C	-8.70812356 -23.05073062 3.40000000
 C	13.31051780 -20.73647816 3.40000000
 C	1.07793927 -22.02217397 3.40000000
 C	3.52439789 -21.76504081 3.40000000
 C	-11.15469636 -23.30787578 3.40000000
 C	15.75703351 -20.47933899 3.40000000
 C	-13.60115498 -23.56500894 3.40000000
 C	18.20349213 -20.22220583 3.40000000
 C	-16.04767069 -23.82214811 3.40000000
 C	20.65006493 -19.96506067 3.40000000
 C	-18.49424348 -24.07929327 3.40000000
 C	23.09663772 -19.70791551 3.40000000
 C	-20.94064502 -24.33642043 3.40000000
 C	25.54303926 -19.45078834 3.40000000
 C	-23.38721781 -24.59356559 3.40000000
 C	27.98961205 -19.19364318 3.40000000
 C	-25.83379060 -24.85071076 3.40000000
 C	30.43612776 -18.93650402 3.40000000
 C	-28.28024922 -25.10784392 3.40000000
 C	32.88258638 -18.67937086 3.40000000
 C	-30.72676493 -25.36498308 3.40000000
 C	-33.17333772 -25.62212824 3.40000000
 C	-1.36857644 -22.27931313 3.40000000
 C	5.97097068 -21.50789564 3.40000000
 C	-35.61973926 -25.87925541 3.40000000
 C	-38.06631205 -26.13640057 3.40000000
 C	-3.81514923 -22.53645829 3.40000000
 C	8.41754347 -21.25075048 3.40000000
 C	-6.26155077 -22.79358546 3.40000000
 C	10.86394501 -20.99362332 3.40000000
 C	2.22698129 -21.18748797 3.40000000
 C	-10.00571141 -22.47319579 3.40000000
 C	14.45950275 -19.90179816 3.40000000
 C	-12.45211295 -22.73032295 3.40000000
 C	16.90607554 -19.64465300 3.40000000
 C	-14.89868574 -22.98746811 3.40000000
 C	19.35247708 -19.38752584 3.40000000
 C	-17.34525854 -23.24461327 3.40000000
 C	21.79904987 -19.13038067 3.40000000
 C	24.24545141 -18.87325351 3.40000000
 C	-19.79183133 -23.50175844 3.40000000
 C	-0.21959150 -21.44463314 3.40000000
 C	4.67338283 -20.93036081 3.40000000
 C	-22.23823287 -23.75888560 3.40000000
 C	26.69202420 -18.61610835 3.40000000
 C	-24.68480566 -24.01603076 3.40000000
 C	29.13859699 -18.35896319 3.40000000
 C	-27.13120720 -24.27315792 3.40000000
 C	31.58516979 -18.10181802 3.40000000
 C	-29.57777999 -24.53030309 3.40000000
 C	34.03157132 -17.84469086 3.40000000
 C	-32.02435278 -24.78744825 3.40000000
 C	-34.47092557 -25.04459341 3.40000000
 C	-36.91732711 -25.30172057 3.40000000
 C	-2.66616429 -21.70177830 3.40000000
 C	7.11995562 -20.67321565 3.40000000
 C	9.56635716 -20.41608849 3.40000000
 C	-5.11273708 -21.95892346 3.40000000
 C	-7.55913862 -22.21605062 3.40000000
 C	12.01292995 -20.15894332 3.40000000
 C	2.07846138 -19.77496451 3.40000000
 C	-10.15417424 -21.06066632 3.40000000
 C	14.31103992 -18.48926870 3.40000000
 C	-12.60063286 -21.31779949 3.40000000
 C	16.75755563 -18.23212954 3.40000000
 C	-15.04714857 -21.57493865 3.40000000
 C	19.20401425 -17.97499637 3.40000000
 C	-17.49372137 -21.83208381 3.40000000
 C	21.65058704 -17.71785121 3.40000000
 C	-19.94012290 -22.08921097 3.40000000
 C	24.09715983 -17.46070605 3.40000000
 C	-0.36805433 -20.03210367 3.40000000
 C	4.52492000 -19.51783135 3.40000000
 C	-22.38669569 -22.34635614 3.40000000
 C	26.54356137 -17.20357889 3.40000000
 C	-24.83326849 -22.60350130 3.40000000
 C	28.99013416 -16.94643372 3.40000000
 C	-27.27972711 -22.86063446 3.40000000
 C	31.43664987 -16.68929456 3.40000000
 C	-29.72624282 -23.11777362 3.40000000
 C	33.88310849 -16.43216140 3.40000000
 C	-32.17281561 -23.37491879 3.40000000
 C	-34.61921715 -23.63204595 3.40000000
 C	-37.06578994 -23.88919111 3.40000000
 C	-2.81462712 -20.28924884 3.40000000
 C	6.97149280 -19.26068619 3.40000000
 C	-5.26102866 -20.54637600 3.40000000
 C	9.41806559 -19.00354102 3.40000000
 C	-7.70760145 -20.80352116 3.40000000
 C	11.86446712 -18.74641386 3.40000000
 C	-9.00511926 -20.22582901 3.40000000
 C	13.01352211 -17.91157654 3.40000000
 C	0.78100065 -19.19726636 3.40000000
 C	3.22757345 -18.94012119 3.40000000
 C	-11.45152080 -20.48295617 3.40000000
 C	15.46009490 -17.65443138 3.40000000
