 C	-40.29096572 -31.47875239 3.40000000
 C	-37.85485755 -31.13637972 3.40000000
 C	-35.41891991 -30.79403101 3.40000000
 C	-32.98281174 -30.45165833 3.40000000
 C	-30.54670357 -30.10928566 3.40000000
 C	-28.11059540 -29.76691298 3.40000000
 C	-38.05252651 -29.72989201 3.40000000
 C	-25.67465775 -29.42456427 3.40000000
 C	-35.61641834 -29.38751933 3.40000000
 C	-39.36941507 -29.19783450 3.40000000
 C	-23.23854958 -29.08219160 3.40000000
 C	-33.18048069 -29.04517062 3.40000000
 C	-36.93330690 -28.85546182 3.40000000
 C	-20.80261193 -28.73984289 3.40000000
 C	-30.74437252 -28.70279795 3.40000000
 C	-34.49736926 -28.51311311 3.40000000
 C	-18.36650376 -28.39747021 3.40000000
 C	-28.30832119 -28.36043326 3.40000000
 C	-32.06126109 -28.17074044 3.40000000
 C	-15.93039559 -28.05509753 3.40000000
 C	-25.87232671 -28.01807656 3.40000000
 C	-29.62515292 -27.82836776 3.40000000
 C	-13.49428742 -27.71272486 3.40000000
 C	-23.43621854 -27.67570389 3.40000000
 C	-27.18904475 -27.48599508 3.40000000
 C	-37.13097586 -27.44897411 3.40000000
 C	-11.05834978 -27.37037615 3.40000000
 C	-21.00011037 -27.33333121 3.40000000
 C	-24.75310710 -27.14364637 3.40000000
 C	-34.69486769 -27.10660144 3.40000000
 C	-8.62224161 -27.02800347 3.40000000
 C	-18.56417272 -26.99098250 3.40000000
 C	-38.44792893 -26.91707626 3.40000000
 C	-22.31699893 -26.80127370 3.40000000
 C	-32.25893004 -26.76425273 3.40000000
 C	-6.18630396 -26.68565476 3.40000000
 C	-16.12806455 -26.64860982 3.40000000
 C	-36.01182076 -26.57470358 3.40000000
 C	-19.88106128 -26.45892499 3.40000000
 C	-29.82282187 -26.42188005 3.40000000
 C	-3.75019579 -26.34328209 3.40000000
 C	-13.69201322 -26.30624514 3.40000000
 C	-33.57588311 -26.23235487 3.40000000
 C	-17.44495311 -26.11655231 3.40000000
 C	-27.38677054 -26.07951536 3.40000000
 C	-1.31408762 -26.00090941 3.40000000
 C	-11.25601873 -25.96388844 3.40000000
 C	-31.13977494 -25.88998220 3.40000000
 C	-15.00884494 -25.77417964 3.40000000
 C	-24.95077606 -25.73715866 3.40000000
 C	1.12202055 -25.65853674 3.40000000
 C	-8.81991056 -25.62151576 3.40000000
 C	-28.70366677 -25.54760952 3.40000000
 C	-12.57273677 -25.43180696 3.40000000
 C	-22.51466789 -25.39478599 3.40000000
 C	3.55795820 -25.31618803 3.40000000
 C	-6.38380239 -25.27914309 3.40000000
 C	-26.26755860 -25.20523685 3.40000000
 C	-36.20948972 -25.16821587 3.40000000
 C	-10.13679913 -25.08945825 3.40000000
 C	-20.07855972 -25.05241331 3.40000000
 C	5.99406637 -24.97381535 3.40000000
 C	-3.94786475 -24.93679438 3.40000000
 C	-23.83162096 -24.86288814 3.40000000
 C	-33.77338155 -24.82584320 3.40000000
 C	-7.70069096 -24.74708558 3.40000000
 C	-17.64262207 -24.71006460 3.40000000
 C	-37.52637828 -24.63615835 3.40000000
 C	8.43000401 -24.63146664 3.40000000
 C	-1.51175658 -24.59442170 3.40000000
 C	-21.39551279 -24.52051546 3.40000000
 C	-31.33744390 -24.48349449 3.40000000
 C	-5.26475331 -24.40473687 3.40000000
 C	-15.20651390 -24.36769193 3.40000000
 C	-35.09027011 -24.29378568 3.40000000
 C	10.86611218 -24.28909396 3.40000000
 C	0.92429475 -24.25205701 3.40000000
 C	-18.95957514 -24.17816675 3.40000000
 C	-28.90133573 -24.14112181 3.40000000
 C	-2.82864514 -24.06236419 3.40000000
 C	-12.77046257 -24.02532724 3.40000000
 C	-32.65433246 -23.95143697 3.40000000
 C	13.30222035 -23.94672129 3.40000000
 C	3.36028924 -23.90970032 3.40000000
 C	-16.52346697 -23.83579408 3.40000000
 C	-26.46528440 -23.79875713 3.40000000
 C	-0.39253697 -23.71999151 3.40000000
 C	-10.33446808 -23.68297054 3.40000000
 C	-30.21822429 -23.60906429 3.40000000
 C	15.73832852 -23.60434861 3.40000000
 C	5.79639741 -23.56732764 3.40000000
 C	-14.08735880 -23.49342140 3.40000000
 C	-24.02928991 -23.45640043 3.40000000
 C	2.04357120 -23.37761884 3.40000000
 C	-7.89835991 -23.34059787 3.40000000
 C	-27.78211612 -23.26669162 3.40000000
 C	18.17426617 -23.26199990 3.40000000
 C	8.23250558 -23.22495496 3.40000000
 C	-11.65125063 -23.15104872 3.40000000
 C	-21.59318174 -23.11402775 3.40000000
 C	4.47950885 -23.03527013 3.40000000
 C	-5.46225174 -22.99822519 3.40000000
 C	-25.34600795 -22.92431894 3.40000000
 C	20.61037434 -22.91962723 3.40000000
 C	-35.28793907 -22.88729798 3.40000000
 C	10.66844323 -22.88260625 3.40000000
 C	-9.21531298 -22.80870001 3.40000000
 C	-19.15707357 -22.77165508 3.40000000
 C	6.91561702 -22.69289745 3.40000000
 C	-3.02631410 -22.65587648 3.40000000
 C	-22.91007031 -22.58197023 3.40000000
 C	23.04631199 -22.57727852 3.40000000
 C	-32.85183089 -22.54492530 3.40000000
 C	13.10455140 -22.54023358 3.40000000
 C	-6.77920481 -22.46632734 3.40000000
 C	-16.72113593 -22.42930637 3.40000000
 C	-36.60482763 -22.35524045 3.40000000
 C	9.35155466 -22.35054874 3.40000000
 C	-0.59020593 -22.31350380 3.40000000
 C	-20.47396214 -22.23959755 3.40000000
 C	25.48242016 -22.23490584 3.40000000
 C	-30.41589325 -22.20257659 3.40000000
 C	15.54060273 -22.19786889 3.40000000
 C	-4.34326717 -22.12397863 3.40000000
 C	-14.28502776 -22.08693369 3.40000000
 C	-34.16871946 -22.01286778 3.40000000
 C	11.78766283 -22.00817607 3.40000000
 C	1.84584540 -21.97113912 3.40000000
 C	-18.03802449 -21.89724884 3.40000000
 C	27.91852833 -21.89253317 3.40000000
 C	-27.97978508 -21.86020392 3.40000000
 C	17.97659721 -21.85551219 3.40000000
 C	-1.90715900 -21.78160595 3.40000000
 C	-11.84897643 -21.74456900 3.40000000
 C	-31.73278181 -21.67051907 3.40000000
 C	14.22377100 -21.66580339 3.40000000
 C	4.28183989 -21.62878242 3.40000000
 C	-15.60191632 -21.55487617 3.40000000
 C	30.35463650 -21.55016049 3.40000000
 C	-25.54373375 -21.51783923 3.40000000
 C	20.41270538 -21.51313952 3.40000000
 C	0.52894917 -21.43923328 3.40000000
 C	-9.41298194 -21.40221230 3.40000000
 C	-29.29667364 -21.32814639 3.40000000
 C	16.65987917 -21.32343072 3.40000000
 C	6.71794806 -21.28640974 3.40000000
 C	-13.16580815 -21.21250349 3.40000000
 C	32.79057414 -21.20781178 3.40000000
 C	-23.10773926 -21.17548253 3.40000000
 C	22.84881355 -21.17076684 3.40000000
 C	2.96505734 -21.09686060 3.40000000
 C	-6.97687377 -21.05983963 3.40000000
 C	-26.86056547 -20.98577372 3.40000000
 C	19.09581682 -20.98108201 3.40000000
 C	9.15405623 -20.94403707 3.40000000
 C	-10.72969998 -20.87013082 3.40000000
 C	-20.67163109 -20.83310985 3.40000000
 C	25.28475120 -20.82841813 3.40000000
 C	5.40099499 -20.75451189 3.40000000
 C	-4.54076560 -20.71746695 3.40000000
 C	-24.42445730 -20.64340104 3.40000000
 C	21.53192499 -20.63870933 3.40000000
 C	-34.36640992 -20.60643329 3.40000000
 C	11.58999388 -20.60168836 3.40000000
 C	-8.29376233 -20.52778211 3.40000000
 C	-18.23552292 -20.49073718 3.40000000
 C	27.72085937 -20.48604546 3.40000000
 C	7.83710316 -20.41213922 3.40000000
 C	-2.10482795 -20.37511824 3.40000000
 C	-21.98851966 -20.30105233 3.40000000
 C	23.96786264 -20.29636062 3.40000000
 C	-31.93030175 -20.26406061 3.40000000
 C	14.02610205 -20.25931568 3.40000000
 C	-5.85765416 -20.18540943 3.40000000
 C	-15.79958528 -20.14838847 3.40000000
 C	30.15691070 -20.14368077 3.40000000
 C	-35.68327698 -20.07432256 3.40000000
 C	10.27304081 -20.06979051 3.40000000
 C	0.33128022 -20.03274557 3.40000000
 C	-19.55241149 -19.95867966 3.40000000
 C	26.40397081 -19.95398794 3.40000000
 C	-29.49436410 -19.92171190 3.40000000
 C	16.46215338 -19.91695099 3.40000000
 C	-3.42171652 -19.84306072 3.40000000
 C	-13.36347711 -19.80601579 3.40000000
 C	32.59290519 -19.80132407 3.40000000
 C	-33.24716881 -19.73194988 3.40000000
 C	12.70914898 -19.72741783 3.40000000
 C	2.76733155 -19.69038088 3.40000000
 C	-17.11647384 -19.61633095 3.40000000
 C	28.84007898 -19.61161527 3.40000000
 C	-27.05825593 -19.57933923 3.40000000
 C	18.89814786 -19.57459430 3.40000000
 C	-0.98560835 -19.50068805 3.40000000
 C	-10.92742578 -19.46365111 3.40000000
 C	35.02901336 -19.45895139 3.40000000
 C	-30.81123116 -19.38960117 3.40000000
 C	15.14525715 -19.38504515 3.40000000
 C	5.20332603 -19.34802418 3.40000000
 C	-14.68036567 -19.27395827 3.40000000
 C	31.27618715 -19.26924259 3.40000000
 C	-24.62220460 -19.23697454 3.40000000
 C	21.33425603 -19.23222162 3.40000000
 C	1.45049982 -19.15831537 3.40000000
 C	-8.49143129 -19.12129441 3.40000000
 C	-28.37512299 -19.04722850 3.40000000
 C	17.58136532 -19.04267248 3.40000000
 C	7.63943420 -19.00565151 3.40000000
 C	-12.24425750 -18.93158559 3.40000000
 C	33.71212479 -18.92689388 3.40000000
 C	-22.18621012 -18.89461784 3.40000000
 C	23.77036420 -18.88984894 3.40000000
 C	3.88660799 -18.81594269 3.40000000
 C	-6.05532312 -18.77892173 3.40000000
 C	-25.93901482 -18.70485582 3.40000000
 C	20.01730296 -18.70032377 3.40000000
 C	10.07554237 -18.66327883 3.40000000
 C	-9.80814933 -18.58921292 3.40000000
 C	-19.75010194 -18.55224517 3.40000000
 C	26.20630185 -18.54750023 3.40000000
 C	6.32254564 -18.47359398 3.40000000
 C	-3.61921495 -18.43654906 3.40000000
 C	-23.50290665 -18.36248314 3.40000000
 C	22.45341113 -18.35795109 3.40000000
 C	-33.44490227 -18.32562183 3.40000000
 C	12.51148002 -18.32093012 3.40000000
 C	-7.37221168 -18.24686421 3.40000000
 C	-17.31399377 -18.20987249 3.40000000
 C	28.64241002 -18.20512756 3.40000000
 C	8.75865381 -18.13122131 3.40000000
 C	-1.18327730 -18.09420035 3.40000000
 C	-21.06696901 -18.02013443 3.40000000
 C	24.88934878 -18.01560238 3.40000000
 C	-31.00879410 -17.98324916 3.40000000
 C	14.94758819 -17.97855744 3.40000000
 C	-4.93610351 -17.90449153 3.40000000
 C	-14.87805613 -17.86752378 3.40000000
 C	31.07846135 -17.86276287 3.40000000
 C	-34.76179084 -17.79356432 3.40000000
 C	11.19459146 -17.78887260 3.40000000
 C	1.25283087 -17.75182767 3.40000000
 C	-18.63086084 -17.67776176 3.40000000
 C	27.32545695 -17.67322971 3.40000000
 C	-28.57285646 -17.64090045 3.40000000
 C	17.38363952 -17.63619276 3.40000000
 C	-2.50016587 -17.56214282 3.40000000
 C	-12.44194796 -17.52515111 3.40000000
 C	33.51445584 -17.52040617 3.40000000
 C	-32.32568266 -17.45119164 3.40000000
 C	13.63069963 -17.44649992 3.40000000
 C	3.68888220 -17.40946298 3.40000000
 C	-16.19492319 -17.33541305 3.40000000
 C	29.76156512 -17.33085703 3.40000000
 C	-26.13674829 -17.29852777 3.40000000
 C	19.81963401 -17.29383606 3.40000000
 C	-0.06405770 -17.21977015 3.40000000
 C	-10.00589663 -17.18278642 3.40000000
 C	35.95056401 -17.17803350 3.40000000
 C	-29.88974502 -17.10884293 3.40000000
 C	16.06680780 -17.10412725 3.40000000
 C	6.12487668 -17.06710628 3.40000000
 C	-13.75881502 -16.99304037 3.40000000
 C	32.19767329 -16.98848436 3.40000000
 C	-23.70069696 -16.95616308 3.40000000
 C	22.25574218 -16.95146338 3.40000000
 C	2.37205047 -16.87739747 3.40000000
 C	-7.56990214 -16.84042972 3.40000000
 C	-27.45363685 -16.76647026 3.40000000
 C	18.50291597 -16.76175457 3.40000000
 C	8.56098486 -16.72473361 3.40000000
 C	-11.32270685 -16.65066770 3.40000000
 C	34.63361094 -16.64613565 3.40000000
 C	-21.26470247 -16.61380639 3.40000000
 C	24.69185035 -16.60909071 3.40000000
 C	4.80815864 -16.53502480 3.40000000
 C	-5.13379397 -16.49805704 3.40000000
 C	-25.01752868 -16.42409758 3.40000000
 C	20.93885361 -16.41940586 3.40000000
 C	10.99709303 -16.38236093 3.40000000
 C	-8.88659868 -16.30829502 3.40000000
 C	-18.82859430 -16.27143371 3.40000000
 C	27.12778799 -16.26674200 3.40000000
 C	7.24409629 -16.19267609 3.40000000
 C	-2.69768580 -16.15568437 3.40000000
 C	-22.58142051 -16.08172491 3.40000000
 C	23.37496178 -16.07703319 3.40000000
 C	-32.52335162 -16.04470393 3.40000000
 C	13.43303067 -16.04001222 3.40000000
 C	-6.45066103 -15.96594631 3.40000000
 C	-16.39248613 -15.92906103 3.40000000
 C	29.56389616 -15.92436932 3.40000000
 C	9.68020446 -15.85030341 3.40000000
 C	-0.26174816 -15.81333566 3.40000000
 C	-20.14548286 -15.73937620 3.40000000
 C	25.81089943 -15.73468448 3.40000000
 C	-30.08724345 -15.70233126 3.40000000
 C	15.86913884 -15.69763955 3.40000000
 C	-4.01455286 -15.62357364 3.40000000
 C	-13.95654848 -15.58671232 3.40000000
 C	31.99994749 -15.58200463 3.40000000
 C	-33.84024018 -15.51264642 3.40000000
 C	12.11614211 -15.50795470 3.40000000
 C	2.17436002 -15.47096298 3.40000000
 C	-17.70937469 -15.39700352 3.40000000
 C	28.24700760 -15.39231180 3.40000000
 C	-27.65130581 -15.35998255 3.40000000
 C	18.30519017 -15.35527486 3.40000000
 C	-1.57861522 -15.28122493 3.40000000
 C	-11.52044031 -15.24433965 3.40000000
 C	34.43594198 -15.23964794 3.40000000
 C	-31.40413201 -15.17027375 3.40000000
 C	14.55225028 -15.16558202 3.40000000
 C	4.61041134 -15.12859830 3.40000000
 C	-15.27343705 -15.05465481 3.40000000
 C	30.68311577 -15.04993912 3.40000000
 C	-25.21519763 -15.01760987 3.40000000
 C	20.74118466 -15.01291816 3.40000000
 C	0.85749295 -14.93885225 3.40000000
 C	-9.08438898 -14.90197496 3.40000000
 C	36.87205015 -14.89727526 3.40000000
 C	-28.96819437 -14.82792504 3.40000000
 C	16.98835845 -14.82320935 3.40000000
 C	7.04640583 -14.78624160 3.40000000
 C	-12.83732888 -14.71228214 3.40000000
 C	33.11922394 -14.70756645 3.40000000
 C	-22.77914631 -14.67524519 3.40000000
 C	23.17729283 -14.67054549 3.40000000
 C	3.29360113 -14.59647957 3.40000000
 C	-6.64839450 -14.55961826 3.40000000
 C	-26.53208620 -14.48555236 3.40000000
 C	19.42446662 -14.48083667 3.40000000
 C	9.48251400 -14.44386892 3.40000000
 C	-10.40122070 -14.36990946 3.40000000
 C	35.55516159 -14.36521774 3.40000000
 C	-20.34315182 -14.33288849 3.40000000
 C	25.61340100 -14.32817281 3.40000000
 C	5.72970930 -14.25410690 3.40000000
 C	-4.21228633 -14.21724559 3.40000000
 C	-24.09597803 -14.14317969 3.40000000
 C	21.86040426 -14.13848796 3.40000000
 C	11.91862217 -14.10149625 3.40000000
 C	-7.96511253 -14.02753678 3.40000000
 C	-17.90704365 -13.99051581 3.40000000
 C	28.04933864 -13.98582410 3.40000000
 C	8.16564694 -13.91175819 3.40000000
 C	-1.77617816 -13.87487291 3.40000000
 C	-21.65986986 -13.80080701 3.40000000
 C	24.29651243 -13.79611529 3.40000000
 C	-31.60180097 -13.76378604 3.40000000
 C	14.35455982 -13.75914754 3.40000000
 C	-5.52917489 -13.68518807 3.40000000
 C	-15.47093548 -13.64814314 3.40000000
 C	30.48544682 -13.64345142 3.40000000
 C	10.60175511 -13.56938551 3.40000000
 C	0.65975949 -13.53252420 3.40000000
 C	-19.22393221 -13.45845830 3.40000000
 C	26.73245008 -13.45376658 3.40000000
 C	-29.16569280 -13.42141336 3.40000000
 C	16.79066799 -13.41677486 3.40000000
 C	-3.09306672 -13.34281540 3.40000000
 C	-13.03499783 -13.30579443 3.40000000
 C	32.92149814 -13.30108674 3.40000000
 C	-32.91875404 -13.23188819 3.40000000
 C	13.03769276 -13.22703680 3.40000000
 C	3.09586766 -13.19015153 3.40000000
 C	-16.78782404 -13.11608562 3.40000000
 C	29.16855825 -13.11139390 3.40000000
 C	-26.72975515 -13.07906465 3.40000000
 C	19.22671932 -13.07441017 3.40000000
 C	-0.65712907 -13.00046669 3.40000000
 C	-10.59888966 -12.96342175 3.40000000
 C	35.35749263 -12.95873004 3.40000000
 C	-30.48264587 -12.88951551 3.40000000
 C	15.47380093 -12.88466413 3.40000000
 C	5.53191899 -12.84778684 3.40000000
 C	-14.35188639 -12.77373691 3.40000000
 C	31.60466642 -12.76902123 3.40000000
 C	-24.29364698 -12.73669198 3.40000000
 C	21.66271381 -12.73205347 3.40000000
 C	1.77897910 -12.65809401 3.40000000
 C	-8.16283833 -12.62105706 3.40000000
 C	37.79360080 -12.61635736 3.40000000
 C	-28.04670822 -12.54716680 3.40000000
 C	17.90990910 -12.54229145 3.40000000
 C	7.96791348 -12.50543014 3.40000000
 C	-11.91577822 -12.43136424 3.40000000
 C	34.04077459 -12.42664855 3.40000000
 C	-21.85759566 -12.39432729 3.40000000
 C	24.09882198 -12.38968080 3.40000000
 C	4.21508727 -12.31572134 3.40000000
 C	-5.72684385 -12.27870036 3.40000000
 C	-25.61060005 -12.20479412 3.40000000
 C	20.34601727 -12.19991878 3.40000000
 C	10.40402165 -12.16305746 3.40000000
 C	-9.47967005 -12.08899156 3.40000000
 C	36.47671224 -12.08429984 3.40000000
 C	-19.42160117 -12.05197059 3.40000000
 C	26.53493015 -12.04730812 3.40000000
 C	6.65119544 -11.97334866 3.40000000
 C	-3.29073567 -11.93632769 3.40000000
 C	-23.17449188 -11.86242145 3.40000000
 C	22.78195492 -11.85757007 3.40000000
 C	12.84012982 -11.82068479 3.40000000
 C	-7.04356188 -11.74661889 3.40000000
 C	-16.98549300 -11.70959791 3.40000000
 C	28.97086779 -11.70495941 3.40000000
 C	9.08713309 -11.63099995 3.40000000
 C	-0.85462750 -11.59395501 3.40000000
 C	-20.73838371 -11.52004877 3.40000000
 C	25.21806309 -11.51519739 3.40000000
 C	-30.68031483 -11.48302780 3.40000000
 C	15.27606746 -11.47833608 3.40000000
 C	-4.60762424 -11.40427018 3.40000000
 C	-14.54938483 -11.36722524 3.40000000
 C	31.40697596 -11.36258674 3.40000000
 C	11.52324126 -11.28862728 3.40000000
 C	1.58131014 -11.25160630 3.40000000
 C	-18.30244607 -11.17770006 3.40000000
 C	27.65400073 -11.17284868 3.40000000
 C	-28.24420666 -11.14065512 3.40000000
 C	17.71217563 -11.13596340 3.40000000
 C	-2.17151607 -11.06189750 3.40000000
 C	-12.11344718 -11.02487653 3.40000000
 C	33.84302729 -11.02022205 3.40000000
 C	-31.99720339 -10.95097028 3.40000000
 C	13.95917890 -10.94627857 3.40000000
 C	4.01741831 -10.90923363 3.40000000
 C	-15.86633790 -10.83532739 3.40000000
 C	30.09010890 -10.83047600 3.40000000
 C	-25.80826901 -10.79830641 3.40000000
 C	20.14822696 -10.79359872 3.40000000
 C	0.26442158 -10.71954879 3.40000000
 C	-9.67733901 -10.68250385 3.40000000
 C	36.27902178 -10.67786535 3.40000000
 C	-29.56109522 -10.60859760 3.40000000
 C	16.39528707 -10.60390589 3.40000000
 C	6.45346964 -10.56686894 3.40000000
 C	-13.43040025 -10.49297868 3.40000000
 C	32.52621707 -10.48810333 3.40000000
 C	-23.37216084 -10.45593374 3.40000000
 C	22.58422145 -10.45124202 3.40000000
 C	2.70052975 -10.37717612 3.40000000
 C	-7.24128768 -10.34013917 3.40000000
 C	38.71512995 -10.33549268 3.40000000
 C	-27.12515758 -10.26624889 3.40000000
 C	18.83139524 -10.26153321 3.40000000
 C	8.88946413 -10.22451224 3.40000000
 C	-10.99429208 -10.15060600 3.40000000
 C	34.96232524 -10.14573065 3.40000000
 C	-20.93610951 -10.11356905 3.40000000
 C	25.02032962 -10.10886934 3.40000000
 C	5.13663792 -10.03480344 3.40000000
 C	-4.80529319 -9.99778247 3.40000000
 C	-24.68904941 -9.92387622 3.40000000
 C	21.26750341 -9.91916054 3.40000000
 C	11.32557230 -9.88213957 3.40000000
 C	-8.55818391 -9.80823333 3.40000000
 C	37.39826289 -9.80338194 3.40000000
 C	-18.50011502 -9.77121235 3.40000000
 C	27.45643779 -9.76649667 3.40000000
 C	7.57274609 -9.69243076 3.40000000
 C	-2.36918502 -9.65540979 3.40000000
 C	-22.25294123 -9.58150354 3.40000000
 C	23.70344106 -9.57681183 3.40000000
 C	13.76168047 -9.53976689 3.40000000
 C	-6.12207574 -9.46586065 3.40000000
 C	-16.06400685 -9.42883968 3.40000000
 C	29.89237544 -9.42414796 3.40000000
 C	10.00868374 -9.35008205 3.40000000
 C	0.06692315 -9.31303712 3.40000000
 C	-19.81683306 -9.23913087 3.40000000
 C	26.13954923 -9.23443915 3.40000000
 C	-29.75876418 -9.20210990 3.40000000
 C	16.19761812 -9.19741818 3.40000000
